Device Id	Operator	Recipe
AD001-3_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air Quench) 	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.2000	0	-0.1000	1.2000	65	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.97948564	0.00156355	20.26113518	0.00117154	0.72952709	0.85467109	55.8070	11.0752	118.194143	3797.199	0.00122817	NaN	NaN	NaN	5.750	20:23:05	04/18/2024

Vmeas	Imeas
1.20000000	-0.00233837
1.17970000	-0.00209824
1.15935000	-0.00185979
1.13905000	-0.00162144
1.11875000	-0.00139323
1.09845000	-0.00117182
1.07810000	-0.00094715
1.05780000	-0.00073531
1.03750000	-0.00052949
1.01720000	-0.00033299
0.99685000	-0.00014652
0.97655000	0.00003150
0.95625000	0.00019707
0.93595000	0.00035341
0.91560000	0.00049555
0.89530000	0.00062290
0.87500000	0.00073556
0.85470000	0.00083344
0.83435000	0.00091731
0.81405000	0.00098588
0.79375000	0.00104478
0.77345000	0.00108707
0.75310000	0.00112966
0.73280000	0.00116782
0.71250000	0.00119830
0.69220000	0.00122495
0.67185000	0.00124840
0.65155000	0.00126884
0.63125000	0.00128774
0.61095000	0.00130620
0.59060000	0.00132164
0.57030000	0.00133727
0.55000000	0.00135152
0.52970000	0.00136432
0.50935000	0.00137794
0.48905000	0.00138929
0.46875000	0.00140063
0.44845000	0.00141151
0.42810000	0.00142253
0.40780000	0.00143258
0.38750000	0.00144146
0.36720000	0.00145069
0.34690000	0.00145978
0.32655000	0.00146744
0.30625000	0.00147551
0.28595000	0.00148265
0.26565000	0.00148917
0.24530000	0.00149615
0.22500000	0.00150271
0.20470000	0.00151030
0.18440000	0.00151708
0.16405000	0.00152308
0.14375000	0.00152866
0.12345000	0.00153433
0.10315000	0.00153963
0.08280000	0.00154493
0.06250000	0.00154995
0.04220000	0.00155565
0.02190000	0.00155972
0.00155000	0.00156419
-0.01875000	0.00156874
-0.03905000	0.00157266
-0.05935000	0.00157695
-0.07970000	0.00158073
-0.10000000	0.00158404
