Vmeas,Imeas,name,substrate,position
1.2,-0.00241021,AD001-1,1,1
1.1797,-0.00215464,AD001-1,1,1
1.15935,-0.00190132,AD001-1,1,1
1.13905,-0.00165752,AD001-1,1,1
1.11875,-0.00141771,AD001-1,1,1
1.09845,-0.00118512,AD001-1,1,1
1.0781,-0.00095498,AD001-1,1,1
1.0578,-0.00073777,AD001-1,1,1
1.0375,-0.00052968,AD001-1,1,1
1.0172,-0.00032732,AD001-1,1,1
0.99685,-0.00013584,AD001-1,1,1
0.97655,4.265e-05,AD001-1,1,1
0.95625,0.00021392,AD001-1,1,1
0.93595,0.00037328,AD001-1,1,1
0.9156,0.00051954,AD001-1,1,1
0.8953,0.0006505,AD001-1,1,1
0.875,0.00077077,AD001-1,1,1
0.8547,0.00087422,AD001-1,1,1
0.83435,0.00096597,AD001-1,1,1
0.81405,0.00103915,AD001-1,1,1
0.79375,0.00108767,AD001-1,1,1
0.77345,0.00114605,AD001-1,1,1
0.7531,0.0011962,AD001-1,1,1
0.7328,0.00123635,AD001-1,1,1
0.7125,0.00126702,AD001-1,1,1
0.6922,0.0012934,AD001-1,1,1
0.67185,0.00131597,AD001-1,1,1
0.65155,0.00133487,AD001-1,1,1
0.63125,0.00135238,AD001-1,1,1
0.61095,0.00136622,AD001-1,1,1
0.5906,0.00137894,AD001-1,1,1
0.5703,0.00139281,AD001-1,1,1
0.55,0.00140378,AD001-1,1,1
0.5297,0.00141336,AD001-1,1,1
0.50935,0.00142272,AD001-1,1,1
0.48905,0.00143142,AD001-1,1,1
0.46875,0.00143995,AD001-1,1,1
0.44845,0.00144772,AD001-1,1,1
0.4281,0.00145561,AD001-1,1,1
0.4078,0.00146187,AD001-1,1,1
0.3875,0.00146758,AD001-1,1,1
0.3672,0.00147401,AD001-1,1,1
0.3469,0.00147909,AD001-1,1,1
0.32655,0.00148388,AD001-1,1,1
0.30625,0.00148931,AD001-1,1,1
0.28595,0.00149355,AD001-1,1,1
0.26565,0.00149777,AD001-1,1,1
0.2453,0.0015023,AD001-1,1,1
0.225,0.00150662,AD001-1,1,1
0.2047,0.00151043,AD001-1,1,1
0.1844,0.00151403,AD001-1,1,1
0.16405,0.00151723,AD001-1,1,1
0.14375,0.00151994,AD001-1,1,1
0.12345,0.0015237,AD001-1,1,1
0.10315,0.00152698,AD001-1,1,1
0.0828,0.00152947,AD001-1,1,1
0.0625,0.00153237,AD001-1,1,1
0.0422,0.00153514,AD001-1,1,1
0.0219,0.0015371,AD001-1,1,1
0.00155,0.00153931,AD001-1,1,1
-0.01875,0.00154552,AD001-1,1,1
-0.03905,0.00154484,AD001-1,1,1
-0.05935,0.00154674,AD001-1,1,1
-0.0797,0.00154819,AD001-1,1,1
-0.1,0.00155049,AD001-1,1,1
1.2,-0.00267345,AD001-2,1,2
1.1797,-0.00237564,AD001-2,1,2
1.15935,-0.0020833,AD001-2,1,2
1.13905,-0.00179871,AD001-2,1,2
1.11875,-0.00152137,AD001-2,1,2
1.09845,-0.00125104,AD001-2,1,2
1.0781,-0.00098603,AD001-2,1,2
1.0578,-0.00073248,AD001-2,1,2
1.0375,-0.00048935,AD001-2,1,2
1.0172,-0.00025708,AD001-2,1,2
0.99685,-3.684e-05,AD001-2,1,2
0.97655,0.00017062,AD001-2,1,2
0.95625,0.00036496,AD001-2,1,2
0.93595,0.00054205,AD001-2,1,2
0.9156,0.0007011,AD001-2,1,2
0.8953,0.00084237,AD001-2,1,2
0.875,0.00096403,AD001-2,1,2
0.8547,0.00105913,AD001-2,1,2
0.83435,0.00114626,AD001-2,1,2
0.81405,0.00121443,AD001-2,1,2
0.79375,0.00126791,AD001-2,1,2
0.77345,0.00130943,AD001-2,1,2
0.7531,0.0013404,AD001-2,1,2
0.7328,0.00136442,AD001-2,1,2
0.7125,0.00138255,AD001-2,1,2
0.6922,0.0013972,AD001-2,1,2
0.67185,0.00140874,AD001-2,1,2
0.65155,0.00141824,AD001-2,1,2
0.63125,0.0014266,AD001-2,1,2
0.61095,0.00143276,AD001-2,1,2
0.5906,0.00143906,AD001-2,1,2
0.5703,0.00144464,AD001-2,1,2
0.55,0.00144861,AD001-2,1,2
0.5297,0.00145354,AD001-2,1,2
0.50935,0.00145767,AD001-2,1,2
0.48905,0.00146186,AD001-2,1,2
0.46875,0.00146582,AD001-2,1,2
0.44845,0.00146922,AD001-2,1,2
0.4281,0.00147227,AD001-2,1,2
0.4078,0.00147547,AD001-2,1,2
0.3875,0.00147882,AD001-2,1,2
0.3672,0.00148103,AD001-2,1,2
0.3469,0.00148414,AD001-2,1,2
0.32655,0.00148618,AD001-2,1,2
0.30625,0.00148821,AD001-2,1,2
0.28595,0.00149171,AD001-2,1,2
0.26565,0.00149389,AD001-2,1,2
0.2453,0.00149562,AD001-2,1,2
0.225,0.00149751,AD001-2,1,2
0.2047,0.0014994,AD001-2,1,2
0.1844,0.00150107,AD001-2,1,2
0.16405,0.00150274,AD001-2,1,2
0.14375,0.00150422,AD001-2,1,2
0.12345,0.00150573,AD001-2,1,2
0.10315,0.00150691,AD001-2,1,2
0.0828,0.00150825,AD001-2,1,2
0.0625,0.00151015,AD001-2,1,2
0.0422,0.0015113,AD001-2,1,2
0.0219,0.00151233,AD001-2,1,2
0.00155,0.00151364,AD001-2,1,2
-0.01875,0.00151641,AD001-2,1,2
-0.03905,0.00151551,AD001-2,1,2
-0.05935,0.00151568,AD001-2,1,2
-0.0797,0.00151689,AD001-2,1,2
-0.1,0.00151769,AD001-2,1,2
1.2,-0.00233837,AD001-3,1,3
1.1797,-0.00209824,AD001-3,1,3
1.15935,-0.00185979,AD001-3,1,3
1.13905,-0.00162144,AD001-3,1,3
1.11875,-0.00139323,AD001-3,1,3
1.09845,-0.00117182,AD001-3,1,3
1.0781,-0.00094715,AD001-3,1,3
1.0578,-0.00073531,AD001-3,1,3
