Labels,Glass S,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,8.58000000E+2,
310.00,4.47600000E+3,
320.00,1.76520000E+4,
330.00,3.50130000E+4,
340.00,4.89300000E+4,
350.00,5.70710000E+4,
360.00,6.00240000E+4,
370.00,6.32020000E+4,
380.00,6.89970000E+4,
390.00,7.72450000E+4,
400.00,8.32100000E+4,
410.00,7.73600000E+4,
420.00,8.12860000E+4,
430.00,7.99500000E+4,
440.00,8.36460000E+4,
450.00,9.72330000E+4,
460.00,9.59850000E+4,
470.00,1.06644000E+5,
480.00,9.11920000E+4,
490.00,8.47490000E+4,
500.00,7.99610000E+4,
510.00,7.93140000E+4,
520.00,7.91530000E+4,
530.00,7.77160000E+4,
540.00,7.66260000E+4,
550.00,7.50900000E+4,
560.00,7.32550000E+4,
570.00,7.17010000E+4,
580.00,6.96320000E+4,
590.00,6.72680000E+4,
600.00,6.22640000E+4,
610.00,5.96950000E+4,
620.00,5.87540000E+4,
630.00,5.33370000E+4,
640.00,4.47510000E+4,
650.00,5.06680000E+4,
660.00,5.45900000E+4,
670.00,6.01220000E+4,
680.00,5.97770000E+4,
690.00,6.49270000E+4,
700.00,5.18850000E+4,
710.00,5.39560000E+4,
720.00,4.61710000E+4,
730.00,4.94150000E+4,
740.00,4.64970000E+4,
750.00,4.09660000E+4,
760.00,3.99680000E+4,
770.00,3.38270000E+4,
780.00,2.63290000E+4,
790.00,3.33390000E+4,
800.00,2.85940000E+4,
810.00,2.71790000E+4,
820.00,6.82910000E+4,
830.00,6.93610000E+4,
840.00,5.31750000E+4,
850.00,1.83670000E+4,
860.00,2.10560000E+4,
870.00,3.35110000E+4,
880.00,2.07395000E+5,
890.00,7.54930000E+4,
900.00,7.28890000E+4,
910.00,5.59560000E+4,
920.00,1.08142000E+5,
930.00,5.08510000E+4,
940.00,1.09014000E+5,
950.00,1.21271000E+5,
960.00,4.24500000E+4,
970.00,7.31400000E+4,
980.00,2.90181000E+5,
990.00,2.22290000E+5,
1000.00,4.50350000E+4,
