Labels,LN2-002 (RT) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,5.60000000E+2,
310.00,5.61000000E+2,
320.00,5.62000000E+2,
330.00,5.63000000E+2,
340.00,5.65000000E+2,
350.00,5.67000000E+2,
360.00,5.72000000E+2,
370.00,5.73000000E+2,
380.00,5.75000000E+2,
390.00,5.80000000E+2,
400.00,5.84000000E+2,
410.00,5.77000000E+2,
420.00,5.83000000E+2,
430.00,5.85000000E+2,
440.00,5.83000000E+2,
450.00,5.93000000E+2,
460.00,5.92000000E+2,
470.00,6.02000000E+2,
480.00,5.91000000E+2,
490.00,5.89000000E+2,
500.00,5.85000000E+2,
510.00,5.84000000E+2,
520.00,5.88000000E+2,
530.00,5.90000000E+2,
540.00,5.98000000E+2,
550.00,6.15000000E+2,
560.00,6.53000000E+2,
570.00,7.10000000E+2,
580.00,8.06000000E+2,
590.00,9.31000000E+2,
600.00,1.07600000E+3,
610.00,1.26300000E+3,
620.00,1.51500000E+3,
630.00,1.70100000E+3,
640.00,1.76600000E+3,
650.00,2.26100000E+3,
660.00,2.76300000E+3,
670.00,3.41200000E+3,
680.00,3.85800000E+3,
690.00,4.62300000E+3,
700.00,4.20500000E+3,
710.00,4.76100000E+3,
720.00,4.50600000E+3,
730.00,5.13200000E+3,
740.00,5.17300000E+3,
750.00,4.86300000E+3,
760.00,4.96200000E+3,
770.00,4.53300000E+3,
780.00,4.21400000E+3,
790.00,7.59800000E+3,
800.00,1.09510000E+4,
810.00,1.45600000E+4,
820.00,4.19190000E+4,
830.00,4.39040000E+4,
840.00,3.40370000E+4,
850.00,1.20620000E+4,
860.00,1.38750000E+4,
870.00,2.21470000E+4,
880.00,1.37611000E+5,
890.00,5.12330000E+4,
900.00,5.06830000E+4,
910.00,3.99770000E+4,
920.00,7.81480000E+4,
930.00,3.79710000E+4,
940.00,8.25300000E+4,
950.00,9.26900000E+4,
960.00,3.38830000E+4,
970.00,5.83150000E+4,
980.00,2.29115000E+5,
990.00,1.80304000E+5,
1000.00,3.72810000E+4,
