Labels,LN2-004 (RT) - processed,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.82978898E-1,
310.00,8.99610996E-1,
320.00,1.49551487E+0,
330.00,1.79218090E+0,
340.00,1.93446290E+0,
350.00,2.00130320E+0,
360.00,2.01790237E+0,
370.00,2.04106307E+0,
380.00,2.07690239E+0,
390.00,2.12220192E+0,
400.00,2.15006018E+0,
410.00,2.12359357E+0,
420.00,2.14063835E+0,
430.00,2.13196635E+0,
440.00,2.15085769E+0,
450.00,2.20893931E+0,
460.00,2.20477653E+0,
470.00,2.24118495E+0,
480.00,2.18252993E+0,
490.00,2.15434813E+0,
500.00,2.13202620E+0,
510.00,2.12702823E+0,
520.00,2.12176609E+0,
530.00,2.11453605E+0,
540.00,2.10262084E+0,
550.00,2.08249044E+0,
560.00,2.04595184E+0,
570.00,2.00304532E+0,
580.00,1.93755281E+0,
590.00,1.86260676E+0,
600.00,1.76893115E+0,
610.00,1.68251622E+0,
620.00,1.59760356E+0,
630.00,1.50639760E+0,
640.00,1.41426551E+0,
650.00,1.36191642E+0,
660.00,1.30736077E+0,
670.00,1.25724173E+0,
680.00,1.20146179E+0,
690.00,1.16037250E+0,
700.00,1.10406244E+0,
710.00,1.06664634E+0,
720.00,1.02141035E+0,
730.00,9.93587852E-1,
740.00,9.63961601E-1,
750.00,9.35273051E-1,
760.00,9.16687608E-1,
770.00,8.83644760E-1,
780.00,8.09987128E-1,
790.00,6.65680408E-1,
800.00,4.43479866E-1,
810.00,2.89846092E-1,
820.00,2.25944415E-1,
830.00,2.11206496E-1,
840.00,1.99820846E-1,
850.00,1.85291499E-1,
860.00,1.82302549E-1,
870.00,1.79637223E-1,
880.00,1.75038189E-1,
890.00,1.64811134E-1,
900.00,1.55807719E-1,
910.00,1.43836722E-1,
920.00,1.39839008E-1,
930.00,1.25910595E-1,
940.00,1.20949373E-1,
950.00,1.17019363E-1,
960.00,9.62327570E-2,
970.00,9.93289873E-2,
980.00,1.04617946E-1,
990.00,9.38461646E-2,
1000.00,8.22373852E-2,
