Labels,LN2-006 (DryIce) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,5.66000000E+2,
310.00,5.68000000E+2,
320.00,5.72000000E+2,
330.00,5.75000000E+2,
340.00,5.77000000E+2,
350.00,5.80000000E+2,
360.00,5.86000000E+2,
370.00,5.86000000E+2,
380.00,5.89000000E+2,
390.00,5.94000000E+2,
400.00,5.99000000E+2,
410.00,5.88000000E+2,
420.00,5.92000000E+2,
430.00,5.95000000E+2,
440.00,5.95000000E+2,
450.00,6.05000000E+2,
460.00,6.03000000E+2,
470.00,6.13000000E+2,
480.00,6.01000000E+2,
490.00,5.98000000E+2,
500.00,5.94000000E+2,
510.00,5.98000000E+2,
520.00,6.11000000E+2,
530.00,6.30000000E+2,
540.00,6.74000000E+2,
550.00,7.53000000E+2,
560.00,8.84000000E+2,
570.00,1.06500000E+3,
580.00,1.31400000E+3,
590.00,1.62200000E+3,
600.00,1.93100000E+3,
610.00,2.30600000E+3,
620.00,2.78800000E+3,
630.00,3.08200000E+3,
640.00,3.10800000E+3,
650.00,3.99600000E+3,
660.00,4.84200000E+3,
670.00,5.92900000E+3,
680.00,6.59300000E+3,
690.00,7.74700000E+3,
700.00,6.81900000E+3,
710.00,7.60800000E+3,
720.00,7.05400000E+3,
730.00,7.92300000E+3,
740.00,7.86600000E+3,
750.00,7.30700000E+3,
760.00,7.40100000E+3,
770.00,6.69700000E+3,
780.00,6.02100000E+3,
790.00,1.02050000E+4,
800.00,1.35600000E+4,
810.00,1.76190000E+4,
820.00,5.14570000E+4,
830.00,5.49640000E+4,
840.00,4.29310000E+4,
850.00,1.52040000E+4,
860.00,1.72370000E+4,
870.00,2.68960000E+4,
880.00,1.62197000E+5,
890.00,5.88660000E+4,
900.00,5.61690000E+4,
910.00,4.30040000E+4,
920.00,8.07970000E+4,
930.00,3.83340000E+4,
940.00,8.12240000E+4,
950.00,8.96760000E+4,
960.00,3.30630000E+4,
970.00,5.59040000E+4,
980.00,2.19376000E+5,
990.00,1.74531000E+5,
1000.00,3.72300000E+4,
