Labels,LN2-007 (DryIce) - processed,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.79138958E-1,
310.00,8.92735481E-1,
320.00,1.48411536E+0,
330.00,1.77633166E+0,
340.00,1.91725349E+0,
350.00,1.98044109E+0,
360.00,1.99585235E+0,
370.00,2.01754212E+0,
380.00,2.05136967E+0,
390.00,2.09477878E+0,
400.00,2.12152481E+0,
410.00,2.09823132E+0,
420.00,2.11413574E+0,
430.00,2.10555100E+0,
440.00,2.12310457E+0,
450.00,2.17690945E+0,
460.00,2.17129898E+0,
470.00,2.20642281E+0,
480.00,2.15039706E+0,
490.00,2.12263370E+0,
500.00,2.10010457E+0,
510.00,2.08979011E+0,
520.00,2.06980753E+0,
530.00,2.03317785E+0,
540.00,1.97482014E+0,
550.00,1.89331090E+0,
560.00,1.79258740E+0,
570.00,1.68673325E+0,
580.00,1.57493341E+0,
590.00,1.46570325E+0,
600.00,1.36094737E+0,
610.00,1.26970363E+0,
620.00,1.18686044E+0,
630.00,1.10992336E+0,
640.00,1.04099500E+0,
650.00,9.90068793E-1,
660.00,9.42973733E-1,
670.00,9.01086450E-1,
680.00,8.56097698E-1,
690.00,8.20579290E-1,
700.00,7.79988229E-1,
710.00,7.50628889E-1,
720.00,7.18162715E-1,
730.00,6.96035743E-1,
740.00,6.72975779E-1,
750.00,6.51810110E-1,
760.00,6.37452781E-1,
770.00,6.13494396E-1,
780.00,5.58780491E-1,
790.00,4.43590403E-1,
800.00,2.79027075E-1,
810.00,1.80265814E-1,
820.00,1.50578216E-1,
830.00,1.47203818E-1,
840.00,1.48491532E-1,
850.00,1.37711972E-1,
860.00,1.35911554E-1,
870.00,1.33934617E-1,
880.00,1.34934694E-1,
890.00,1.22146130E-1,
900.00,1.12485424E-1,
910.00,1.00033522E-1,
920.00,9.70686749E-2,
930.00,8.13267976E-2,
940.00,7.65836015E-2,
950.00,7.12403059E-2,
960.00,4.45768796E-2,
970.00,4.59422618E-2,
980.00,4.61116731E-2,
990.00,3.02284528E-2,
1000.00,1.11845862E-2,
