Labels,LN2-009 DryIce) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,5.66000000E+2,
310.00,5.71000000E+2,
320.00,5.74000000E+2,
330.00,5.77000000E+2,
340.00,5.82000000E+2,
350.00,5.84000000E+2,
360.00,5.91000000E+2,
370.00,5.91000000E+2,
380.00,5.94000000E+2,
390.00,5.98000000E+2,
400.00,6.04000000E+2,
410.00,5.93000000E+2,
420.00,5.98000000E+2,
430.00,6.02000000E+2,
440.00,6.03000000E+2,
450.00,6.14000000E+2,
460.00,6.14000000E+2,
470.00,6.26000000E+2,
480.00,6.13000000E+2,
490.00,6.10000000E+2,
500.00,6.10000000E+2,
510.00,6.26000000E+2,
520.00,6.67000000E+2,
530.00,7.32000000E+2,
540.00,8.55000000E+2,
550.00,1.04900000E+3,
560.00,1.32800000E+3,
570.00,1.68500000E+3,
580.00,2.13800000E+3,
590.00,2.66000000E+3,
600.00,3.12900000E+3,
610.00,3.68000000E+3,
620.00,4.36500000E+3,
630.00,4.70400000E+3,
640.00,4.60800000E+3,
650.00,5.86700000E+3,
660.00,7.04100000E+3,
670.00,8.55000000E+3,
680.00,9.43200000E+3,
690.00,1.10650000E+4,
700.00,9.70100000E+3,
710.00,1.07340000E+4,
720.00,9.85900000E+3,
730.00,1.10180000E+4,
740.00,1.08590000E+4,
750.00,9.98400000E+3,
760.00,9.99300000E+3,
770.00,8.92000000E+3,
780.00,7.84100000E+3,
790.00,1.27020000E+4,
800.00,1.52410000E+4,
810.00,1.75380000E+4,
820.00,4.69240000E+4,
830.00,4.88870000E+4,
840.00,3.78850000E+4,
850.00,1.36910000E+4,
860.00,1.59980000E+4,
870.00,2.59170000E+4,
880.00,1.61931000E+5,
890.00,6.13020000E+4,
900.00,6.09930000E+4,
910.00,4.85770000E+4,
920.00,9.46290000E+4,
930.00,4.62390000E+4,
940.00,1.00041000E+5,
950.00,1.12166000E+5,
960.00,4.17660000E+4,
970.00,7.09930000E+4,
980.00,2.77694000E+5,
990.00,2.19808000E+5,
1000.00,4.64030000E+4,
