Labels,LN2-009 DryIce) - processed,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.80670857E-1,
310.00,8.94253969E-1,
320.00,1.48788202E+0,
330.00,1.78305352E+0,
340.00,1.92465222E+0,
350.00,1.99000263E+0,
360.00,2.00673747E+0,
370.00,2.02914333E+0,
380.00,2.06504369E+0,
390.00,2.11116910E+0,
400.00,2.13913870E+0,
410.00,2.11546183E+0,
420.00,2.13331461E+0,
430.00,2.12322187E+0,
440.00,2.14212775E+0,
450.00,2.19964528E+0,
460.00,2.19403505E+0,
470.00,2.23136210E+0,
480.00,2.17249632E+0,
490.00,2.14280486E+0,
500.00,2.11754847E+0,
510.00,2.10277557E+0,
520.00,2.07434154E+0,
530.00,2.02599931E+0,
540.00,1.95240998E+0,
550.00,1.85480666E+0,
560.00,1.74163926E+0,
570.00,1.62892532E+0,
580.00,1.51280117E+0,
590.00,1.40292692E+0,
600.00,1.29883146E+0,
610.00,1.21009016E+0,
620.00,1.12905324E+0,
630.00,1.05456126E+0,
640.00,9.87290263E-1,
650.00,9.36317682E-1,
660.00,8.89478743E-1,
670.00,8.47067297E-1,
680.00,8.01930308E-1,
690.00,7.68473923E-1,
700.00,7.28225291E-1,
710.00,7.01278150E-1,
720.00,6.70536399E-1,
730.00,6.51756048E-1,
740.00,6.31635129E-1,
750.00,6.13119006E-1,
760.00,6.02016509E-1,
770.00,5.78898609E-1,
780.00,5.26062906E-1,
790.00,4.19080466E-1,
800.00,2.73261458E-1,
810.00,1.90253407E-1,
820.00,1.62968442E-1,
830.00,1.51921958E-1,
840.00,1.47240207E-1,
850.00,1.27603054E-1,
860.00,1.19310178E-1,
870.00,1.11602657E-1,
880.00,1.07468285E-1,
890.00,9.04320404E-2,
900.00,7.73819983E-2,
910.00,6.14159703E-2,
920.00,5.79701476E-2,
930.00,4.12910655E-2,
940.00,3.73042524E-2,
950.00,3.38957272E-2,
960.00,7.05481041E-3,
970.00,1.29394270E-2,
980.00,1.91024765E-2,
990.00,4.87643108E-3,
1000.00,-1.29958922E-2,
