Labels,LN2-012 (LN2) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,5.71000000E+2,
310.00,5.87000000E+2,
320.00,6.14000000E+2,
330.00,6.37000000E+2,
340.00,6.50000000E+2,
350.00,6.59000000E+2,
360.00,6.65000000E+2,
370.00,6.66000000E+2,
380.00,6.74000000E+2,
390.00,6.84000000E+2,
400.00,6.95000000E+2,
410.00,6.84000000E+2,
420.00,7.09000000E+2,
430.00,7.37000000E+2,
440.00,7.75000000E+2,
450.00,8.48000000E+2,
460.00,8.59000000E+2,
470.00,9.10000000E+2,
480.00,8.67000000E+2,
490.00,8.68000000E+2,
500.00,9.04000000E+2,
510.00,1.05400000E+3,
520.00,1.28700000E+3,
530.00,1.62600000E+3,
540.00,2.19000000E+3,
550.00,2.90900000E+3,
560.00,3.62600000E+3,
570.00,4.41100000E+3,
580.00,5.28100000E+3,
590.00,6.17800000E+3,
600.00,6.78500000E+3,
610.00,7.52900000E+3,
620.00,8.49800000E+3,
630.00,8.71500000E+3,
640.00,8.13700000E+3,
650.00,1.00510000E+4,
660.00,1.16740000E+4,
670.00,1.38070000E+4,
680.00,1.47340000E+4,
690.00,1.69820000E+4,
700.00,1.44130000E+4,
710.00,1.56560000E+4,
720.00,1.41080000E+4,
730.00,1.56040000E+4,
740.00,1.52110000E+4,
750.00,1.38250000E+4,
760.00,1.37620000E+4,
770.00,1.20690000E+4,
780.00,1.00560000E+4,
790.00,1.47440000E+4,
800.00,1.57810000E+4,
810.00,1.75170000E+4,
820.00,4.65270000E+4,
830.00,4.88260000E+4,
840.00,3.73350000E+4,
850.00,1.33600000E+4,
860.00,1.53960000E+4,
870.00,2.44850000E+4,
880.00,1.49285000E+5,
890.00,5.60210000E+4,
900.00,5.49060000E+4,
910.00,4.30280000E+4,
920.00,8.26620000E+4,
930.00,3.97490000E+4,
940.00,8.48550000E+4,
950.00,9.41460000E+4,
960.00,3.56110000E+4,
970.00,5.98500000E+4,
980.00,2.35363000E+5,
990.00,1.84454000E+5,
1000.00,4.00880000E+4,
