Labels,LN2-014 (LN2) - processed,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,-1.77438959E-1,
310.00,1.55068738E-2,
320.00,2.55302042E-1,
330.00,3.68804485E-1,
340.00,4.17222977E-1,
350.00,4.38811749E-1,
360.00,4.47100163E-1,
370.00,4.53928143E-1,
380.00,4.54709858E-1,
390.00,4.61619437E-1,
400.00,4.65254486E-1,
410.00,4.68412131E-1,
420.00,4.69106674E-1,
430.00,4.70025510E-1,
440.00,4.72226858E-1,
450.00,4.72774804E-1,
460.00,4.76388872E-1,
470.00,4.76925820E-1,
480.00,4.83110636E-1,
490.00,4.84121025E-1,
500.00,4.88858014E-1,
510.00,4.89670277E-1,
520.00,4.89701837E-1,
530.00,4.89178836E-1,
540.00,4.87723559E-1,
550.00,4.86291945E-1,
560.00,4.85241711E-1,
570.00,4.80337292E-1,
580.00,4.75266606E-1,
590.00,4.68979329E-1,
600.00,4.64351207E-1,
610.00,4.59841758E-1,
620.00,4.51851934E-1,
630.00,4.46313679E-1,
640.00,4.43383813E-1,
650.00,4.39845145E-1,
660.00,4.39111978E-1,
670.00,4.40756261E-1,
680.00,4.39654291E-1,
690.00,4.43153799E-1,
700.00,4.41947907E-1,
710.00,4.46122557E-1,
720.00,4.45545048E-1,
730.00,4.50647056E-1,
740.00,4.52793002E-1,
750.00,4.52525645E-1,
760.00,4.55274284E-1,
770.00,4.51568604E-1,
780.00,4.36627716E-1,
790.00,4.17544574E-1,
800.00,3.84172142E-1,
810.00,3.69812936E-1,
820.00,3.69933546E-1,
830.00,4.01640534E-1,
840.00,4.13530141E-1,
850.00,4.04599696E-1,
860.00,4.21481848E-1,
870.00,4.44164306E-1,
880.00,4.42159951E-1,
890.00,4.84331489E-1,
900.00,4.96986866E-1,
910.00,5.01249611E-1,
920.00,5.31321526E-1,
930.00,5.20530760E-1,
940.00,5.50655246E-1,
950.00,5.54557681E-1,
960.00,5.43087006E-1,
970.00,5.59922993E-1,
980.00,6.12709343E-1,
990.00,5.35097003E-1,
1000.00,5.68902433E-1,
