Device Id	Operator	Recipe
AD002-3_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air Quench) 	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.2000	0	-0.1000	1.2000	65	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.98961701	0.00176530	22.87551113	0.00156285	0.78045184	1.21972919	69.8195	15.8057	80.171734	16030.189	0.00154567	NaN	NaN	NaN	5.750	20:31:00	04/18/2024

Vmeas	Imeas
1.20000000	-0.00311784
1.17970000	-0.00279021
1.15935000	-0.00246372
1.13905000	-0.00214269
1.11875000	-0.00182752
1.09845000	-0.00151820
1.07810000	-0.00121514
1.05780000	-0.00091620
1.03750000	-0.00062978
1.01720000	-0.00035313
0.99685000	-0.00008709
0.97655000	0.00016643
0.95625000	0.00040617
0.93595000	0.00062818
0.91560000	0.00082888
0.89530000	0.00100906
0.87500000	0.00115413
0.85470000	0.00128711
0.83435000	0.00139297
0.81405000	0.00147414
0.79375000	0.00153368
0.77345000	0.00157606
0.75310000	0.00160608
0.73280000	0.00162885
0.71250000	0.00164478
0.69220000	0.00165687
0.67185000	0.00166623
0.65155000	0.00167432
0.63125000	0.00168147
0.61095000	0.00168684
0.59060000	0.00169324
0.57030000	0.00169833
0.55000000	0.00170319
0.52970000	0.00170787
0.50935000	0.00171217
0.48905000	0.00171584
0.46875000	0.00171955
0.44845000	0.00172316
0.42810000	0.00172667
0.40780000	0.00172976
0.38750000	0.00173232
0.36720000	0.00173521
0.34690000	0.00173790
0.32655000	0.00174050
0.30625000	0.00174291
0.28595000	0.00174523
0.26565000	0.00174706
0.24530000	0.00174897
0.22500000	0.00175079
0.20470000	0.00175262
0.18440000	0.00175434
0.16405000	0.00175661
0.14375000	0.00175730
0.12345000	0.00175917
0.10315000	0.00175992
0.08280000	0.00176140
0.06250000	0.00176312
0.04220000	0.00176370
0.02190000	0.00176388
0.00155000	0.00176527
-0.01875000	0.00176683
-0.03905000	0.00176719
-0.05935000	0.00176855
-0.07970000	0.00176885
-0.10000000	0.00176929
