Device Id	Operator	Recipe
A1-1_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air Quench)  2024-04-18 20-16-15	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.01801175	0.00146359	18.96578123	0.00099346	0.60835665	0.60437974	40.5637	7.8318	376.136110	3374.370	0.00100442	NaN	-7.024	NaN	8.656	19:11:35	05/06/2024

Vmeas	Imeas
1.20000000	-0.00069647
1.18700000	-0.00069515
1.17400000	-0.00061126
1.16100000	-0.00052358
1.14800000	-0.00044379
1.13500000	-0.00038513
1.12200000	-0.00031393
1.10900000	-0.00026430
1.09600000	-0.00021833
1.08300000	-0.00017168
1.07000000	-0.00012955
1.05700000	-0.00008667
1.04400000	-0.00004794
1.03100000	-0.00002279
1.01800000	0.00001331
1.00500000	0.00004353
0.99200000	0.00007061
0.97900000	0.00010461
0.96600000	0.00013284
0.95300000	0.00016658
0.94000000	0.00019666
0.92700000	0.00022807
0.91400000	0.00025867
0.90100000	0.00029052
0.88800000	0.00032614
0.87500000	0.00035963
0.86200000	0.00039377
0.84900000	0.00042863
0.83600000	0.00046396
0.82300000	0.00050001
0.81000000	0.00053395
0.79700000	0.00056955
0.78400000	0.00060054
0.77100000	0.00063628
0.75800000	0.00066906
0.74500000	0.00070151
0.73200000	0.00073399
0.71900000	0.00076423
0.70600000	0.00079623
0.69300000	0.00082542
0.68000000	0.00085453
0.66700000	0.00088097
0.65400000	0.00090785
0.64100000	0.00093344
0.62800000	0.00095876
0.61500000	0.00098463
0.60200000	0.00100642
0.58900000	0.00102822
0.57600000	0.00104897
0.56300000	0.00104923
0.55000000	0.00107227
0.53700000	0.00109367
0.52400000	0.00111392
0.51100000	0.00113271
0.49800000	0.00115044
0.48500000	0.00116797
0.47200000	0.00118314
0.45900000	0.00119798
0.44600000	0.00121308
0.43300000	0.00122752
0.42000000	0.00124128
0.40700000	0.00125542
0.39400000	0.00126624
0.38100000	0.00127789
0.36800000	0.00128979
0.35500000	0.00130059
0.34200000	0.00131162
0.32900000	0.00132181
0.31600000	0.00133002
0.30300000	0.00133960
0.29000000	0.00134925
0.27700000	0.00135766
0.26400000	0.00136537
0.25100000	0.00137342
0.23800000	0.00138021
0.22500000	0.00138802
0.21200000	0.00139501
0.19900000	0.00140085
0.18600000	0.00140708
0.17300000	0.00141289
0.16000000	0.00141811
0.14700000	0.00142367
0.13400000	0.00142813
0.12100000	0.00143252
0.10800000	0.00143673
0.09500000	0.00144114
0.08200000	0.00144490
0.06900000	0.00144926
0.05600000	0.00145259
0.04300000	0.00145671
0.03000000	0.00145940
0.01700000	0.00146270
0.00400000	0.00146522
-0.00900000	0.00146814
-0.02200000	0.00147041
-0.03500000	0.00147289
-0.04800000	0.00147519
-0.06100000	0.00147815
-0.07400000	0.00147967
-0.08700000	0.00148161
-0.10000000	0.00148361
