Device Id	Operator	Recipe
A1-2_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air Quench)  2024-04-18 20-16-15	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.06129782	0.00151764	19.66619233	0.00100503	0.66899907	0.67236602	41.7445	8.7128	263.189191	3903.867	0.00112627	NaN	NaN	NaN	8.297	19:13:55	05/06/2024

Vmeas	Imeas
1.20000000	-0.00066880
1.18700000	-0.00059936
1.17400000	-0.00052724
1.16100000	-0.00045497
1.14800000	-0.00038407
1.13500000	-0.00031547
1.12200000	-0.00024953
1.10900000	-0.00018704
1.09600000	-0.00012797
1.08300000	-0.00007130
1.07000000	-0.00001851
1.05700000	0.00003179
1.04400000	0.00007955
1.03100000	0.00012216
1.01800000	0.00016872
1.00500000	0.00021255
0.99200000	0.00025444
0.97900000	0.00029506
0.96600000	0.00033453
0.95300000	0.00037266
0.94000000	0.00040994
0.92700000	0.00044636
0.91400000	0.00048171
0.90100000	0.00051658
0.88800000	0.00055033
0.87500000	0.00058352
0.86200000	0.00061582
0.84900000	0.00064719
0.83600000	0.00067799
0.82300000	0.00070826
0.81000000	0.00073763
0.79700000	0.00076581
0.78400000	0.00079363
0.77100000	0.00082059
0.75800000	0.00084676
0.74500000	0.00087261
0.73200000	0.00089721
0.71900000	0.00092120
0.70600000	0.00094481
0.69300000	0.00096724
0.68000000	0.00098917
0.66700000	0.00101106
0.65400000	0.00103154
0.64100000	0.00105006
0.62800000	0.00105712
0.61500000	0.00107658
0.60200000	0.00109717
0.58900000	0.00111671
0.57600000	0.00113518
0.56300000	0.00115302
0.55000000	0.00117048
0.53700000	0.00118755
0.52400000	0.00120307
0.51100000	0.00121923
0.49800000	0.00123399
0.48500000	0.00124933
0.47200000	0.00126381
0.45900000	0.00127808
0.44600000	0.00129194
0.43300000	0.00130480
0.42000000	0.00131729
0.40700000	0.00132989
0.39400000	0.00134149
0.38100000	0.00135327
0.36800000	0.00136454
0.35500000	0.00137502
0.34200000	0.00138578
0.32900000	0.00139417
0.31600000	0.00140406
0.30300000	0.00141311
0.29000000	0.00142149
0.27700000	0.00142963
0.26400000	0.00143756
0.25100000	0.00144423
0.23800000	0.00145073
0.22500000	0.00145731
0.21200000	0.00146320
0.19900000	0.00146866
0.18600000	0.00147306
0.17300000	0.00147821
0.16000000	0.00148271
0.14700000	0.00148713
0.13400000	0.00149090
0.12100000	0.00149407
0.10800000	0.00149722
0.09500000	0.00150087
0.08200000	0.00150464
0.06900000	0.00150740
0.05600000	0.00150984
0.04300000	0.00151196
0.03000000	0.00151394
0.01700000	0.00151569
0.00400000	0.00151835
-0.00900000	0.00152079
-0.02200000	0.00152208
-0.03500000	0.00152424
-0.04800000	0.00152588
-0.06100000	0.00152737
-0.07400000	0.00152890
-0.08700000	0.00153063
-0.10000000	0.00153190
