Device Id	Operator	Recipe
A1-1-A_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	1	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.14304722	0.00163466	21.18261962	0.00137101	0.85712743	1.17512953	62.8917	15.2278	119.943181	17432.680	0.00158971	NaN	NaN	NaN	8.422	14:28:13	05/15/2024

Vmeas	Imeas
-0.10000000	0.00163781
-0.08700000	0.00163746
-0.07400000	0.00163749
-0.06100000	0.00163676
-0.04800000	0.00163656
-0.03500000	0.00163563
-0.02200000	0.00163510
-0.00900000	0.00163492
0.00400000	0.00163566
0.01700000	0.00163443
0.03000000	0.00163346
0.04300000	0.00163313
0.05600000	0.00163238
0.06900000	0.00163204
0.08200000	0.00163127
0.09500000	0.00163046
0.10800000	0.00162936
0.12100000	0.00162917
0.13400000	0.00162873
0.14700000	0.00162787
0.16000000	0.00162667
0.17300000	0.00162580
0.18600000	0.00162558
0.19900000	0.00162479
0.21200000	0.00162335
0.22500000	0.00162222
0.23800000	0.00162162
0.25100000	0.00162060
0.26400000	0.00161960
0.27700000	0.00161827
0.29000000	0.00161705
0.30300000	0.00161558
0.31600000	0.00161506
0.32900000	0.00161358
0.34200000	0.00161137
0.35500000	0.00160993
0.36800000	0.00160820
0.38100000	0.00160618
0.39400000	0.00160477
0.40700000	0.00160256
0.42000000	0.00160059
0.43300000	0.00159812
0.44600000	0.00159602
0.45900000	0.00159342
0.47200000	0.00159059
0.48500000	0.00158751
0.49800000	0.00158474
0.51100000	0.00158262
0.52400000	0.00157900
0.53700000	0.00157584
0.55000000	0.00157164
0.56300000	0.00156760
0.57600000	0.00156343
0.58900000	0.00155928
0.60200000	0.00155473
0.61500000	0.00154987
0.62800000	0.00154358
0.64100000	0.00153886
0.65400000	0.00153303
0.66700000	0.00152705
0.68000000	0.00108530
0.69300000	0.00151201
0.70600000	0.00150495
0.71900000	0.00149731
0.73200000	0.00148966
0.74500000	0.00149682
0.75800000	0.00148470
0.77100000	0.00147327
0.78400000	0.00146048
0.79700000	0.00144742
0.81000000	0.00143338
0.82300000	0.00141804
0.83600000	0.00140184
0.84900000	0.00138352
0.86200000	0.00136334
0.87500000	0.00134150
0.88800000	0.00131721
0.90100000	0.00129006
0.91400000	0.00126004
0.92700000	0.00122673
0.94000000	0.00118963
0.95300000	0.00114819
0.96600000	0.00110208
0.97900000	0.00105173
0.99200000	0.00100305
1.00500000	0.00094120
1.01800000	0.00087478
1.03100000	0.00080319
1.04400000	0.00072677
1.05700000	0.00064542
1.07000000	0.00055944
1.08300000	0.00046938
1.09600000	0.00037508
1.10900000	0.00027689
1.12200000	0.00017528
1.13500000	0.00007387
1.14800000	-0.00003504
1.16100000	-0.00014860
1.17400000	-0.00026501
1.18700000	-0.00038433
1.20000000	-0.00050658
