Device Id	Operator	Recipe
A1-1-B_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	1	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.13217326	0.00165594	21.45838000	0.00129260	0.81761024	1.05684369	56.3706	13.6950	137.816897	10419.071	0.00153025	NaN	NaN	NaN	8.219	14:29:42	05/15/2024

Vmeas	Imeas
-0.10000000	0.00166150
-0.08700000	0.00166048
-0.07400000	0.00165979
-0.06100000	0.00165932
-0.04800000	0.00165854
-0.03500000	0.00165789
-0.02200000	0.00165760
-0.00900000	0.00165642
0.00400000	0.00165639
0.01700000	0.00165543
0.03000000	0.00165408
0.04300000	0.00165339
0.05600000	0.00165213
0.06900000	0.00165116
0.08200000	0.00165055
0.09500000	0.00164899
0.10800000	0.00164838
0.12100000	0.00164760
0.13400000	0.00164588
0.14700000	0.00164443
0.16000000	0.00164332
0.17300000	0.00164185
0.18600000	0.00164004
0.19900000	0.00163932
0.21200000	0.00163750
0.22500000	0.00163587
0.23800000	0.00163340
0.25100000	0.00163182
0.26400000	0.00163010
0.27700000	0.00162787
0.29000000	0.00162586
0.30300000	0.00162328
0.31600000	0.00162060
0.32900000	0.00161791
0.34200000	0.00161563
0.35500000	0.00161263
0.36800000	0.00160902
0.38100000	0.00160580
0.39400000	0.00160205
0.40700000	0.00159902
0.42000000	0.00159512
0.43300000	0.00159100
0.44600000	0.00158631
0.45900000	0.00158142
0.47200000	0.00157680
0.48500000	0.00157172
0.49800000	0.00156650
0.51100000	0.00156083
0.52400000	0.00155472
0.53700000	0.00154820
0.55000000	0.00154169
0.56300000	0.00153494
0.57600000	0.00152737
0.58900000	0.00151982
0.60200000	0.00151171
0.61500000	0.00150315
0.62800000	0.00149415
0.64100000	0.00148468
0.65400000	0.00147440
0.66700000	0.00146421
0.68000000	0.00145343
0.69300000	0.00144187
0.70600000	0.00142964
0.71900000	0.00141712
0.73200000	0.00140366
0.74500000	0.00138954
0.75800000	0.00137419
0.77100000	0.00135811
0.78400000	0.00134149
0.79700000	0.00132303
0.81000000	0.00130426
0.82300000	0.00128383
0.83600000	0.00126200
0.84900000	0.00123856
0.86200000	0.00121339
0.87500000	0.00118626
0.88800000	0.00115711
0.90100000	0.00112607
0.91400000	0.00109192
0.92700000	0.00105509
0.94000000	0.00101576
0.95300000	0.00098236
0.96600000	0.00093405
0.97900000	0.00088290
0.99200000	0.00082851
1.00500000	0.00077039
1.01800000	0.00070835
1.03100000	0.00064244
1.04400000	0.00057234
1.05700000	0.00049839
1.07000000	0.00042055
1.08300000	0.00033924
1.09600000	0.00025431
1.10900000	0.00016603
1.12200000	0.00008010
1.13500000	-0.00001562
1.14800000	-0.00010673
1.16100000	-0.00020871
1.17400000	-0.00031295
1.18700000	-0.00041948
1.20000000	-0.00052838
