Device Id	Operator	Recipe
A1-4-D_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	1	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.12292526	0.00172566	22.36178680	0.00150359	0.83559266	1.25639208	64.8365	16.2808	123.396625	37202.584	0.00167467	NaN	NaN	NaN	8.437	14:41:54	05/15/2024

Vmeas	Imeas
-0.10000000	0.00172638
-0.08700000	0.00172620
-0.07400000	0.00172666
-0.06100000	0.00172648
-0.04800000	0.00172585
-0.03500000	0.00172592
-0.02200000	0.00172611
-0.00900000	0.00172585
0.00400000	0.00172609
0.01700000	0.00172571
0.03000000	0.00172530
0.04300000	0.00172475
0.05600000	0.00172482
0.06900000	0.00172526
0.08200000	0.00172496
0.09500000	0.00172472
0.10800000	0.00172412
0.12100000	0.00172321
0.13400000	0.00172320
0.14700000	0.00172341
0.16000000	0.00172254
0.17300000	0.00172160
0.18600000	0.00172165
0.19900000	0.00172031
0.21200000	0.00171964
0.22500000	0.00172002
0.23800000	0.00171959
0.25100000	0.00171857
0.26400000	0.00171814
0.27700000	0.00171790
0.29000000	0.00171684
0.30300000	0.00171629
0.31600000	0.00171524
0.32900000	0.00171490
0.34200000	0.00171398
0.35500000	0.00171283
0.36800000	0.00171209
0.38100000	0.00171088
0.39400000	0.00171034
0.40700000	0.00170926
0.42000000	0.00170804
0.43300000	0.00170721
0.44600000	0.00170590
0.45900000	0.00170453
0.47200000	0.00170280
0.48500000	0.00170079
0.49800000	0.00169941
0.51100000	0.00169743
0.52400000	0.00169549
0.53700000	0.00169345
0.55000000	0.00169141
0.56300000	0.00168912
0.57600000	0.00168634
0.58900000	0.00168270
0.60200000	0.00167972
0.61500000	0.00167660
0.62800000	0.00167275
0.64100000	0.00166851
0.65400000	0.00166346
0.66700000	0.00165803
0.68000000	0.00165283
0.69300000	0.00164641
0.70600000	0.00163993
0.71900000	0.00163227
0.73200000	0.00162365
0.74500000	0.00161421
0.75800000	0.00160300
0.77100000	0.00159066
0.78400000	0.00157684
0.79700000	0.00156239
0.81000000	0.00154493
0.82300000	0.00152482
0.83600000	0.00150276
0.84900000	0.00147821
0.86200000	0.00144934
0.87500000	0.00141800
0.88800000	0.00138281
0.90100000	0.00134438
0.91400000	0.00130092
0.92700000	0.00125091
0.94000000	0.00119745
0.95300000	0.00114009
0.96600000	0.00107882
0.97900000	0.00101147
0.99200000	0.00096347
1.00500000	0.00088265
1.01800000	0.00079877
1.03100000	0.00070959
1.04400000	0.00061625
1.05700000	0.00051836
1.07000000	0.00041739
1.08300000	0.00031199
1.09600000	0.00020328
1.10900000	0.00013647
1.12200000	0.00002592
1.13500000	-0.00010144
1.14800000	-0.00021517
1.16100000	-0.00035062
1.17400000	-0.00048898
1.18700000	-0.00062837
1.20000000	-0.00077270
