Device Id	Operator	Recipe
A1-4-E_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	1	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.11089649	0.00163770	21.22198572	0.00140108	0.81056230	1.13566385	62.4226	14.7164	135.577034	27817.639	0.00154814	NaN	NaN	NaN	8.422	14:43:06	05/15/2024

Vmeas	Imeas
-0.10000000	0.00163866
-0.08700000	0.00163842
-0.07400000	0.00163836
-0.06100000	0.00163910
-0.04800000	0.00163851
-0.03500000	0.00163853
-0.02200000	0.00163828
-0.00900000	0.00163749
0.00400000	0.00163814
0.01700000	0.00163737
0.03000000	0.00163744
0.04300000	0.00163747
0.05600000	0.00163698
0.06900000	0.00163639
0.08200000	0.00163613
0.09500000	0.00163529
0.10800000	0.00163570
0.12100000	0.00163514
0.13400000	0.00163425
0.14700000	0.00163404
0.16000000	0.00163331
0.17300000	0.00163285
0.18600000	0.00163232
0.19900000	0.00163122
0.21200000	0.00163094
0.22500000	0.00163027
0.23800000	0.00162922
0.25100000	0.00162808
0.26400000	0.00162752
0.27700000	0.00162671
0.29000000	0.00162600
0.30300000	0.00162517
0.31600000	0.00162400
0.32900000	0.00162294
0.34200000	0.00162206
0.35500000	0.00162081
0.36800000	0.00161987
0.38100000	0.00161856
0.39400000	0.00161718
0.40700000	0.00161559
0.42000000	0.00161440
0.43300000	0.00161305
0.44600000	0.00161110
0.45900000	0.00160893
0.47200000	0.00160707
0.48500000	0.00160511
0.49800000	0.00160313
0.51100000	0.00160064
0.52400000	0.00159822
0.53700000	0.00159508
0.55000000	0.00159210
0.56300000	0.00158843
0.57600000	0.00158495
0.58900000	0.00158072
0.60200000	0.00157734
0.61500000	0.00157254
0.62800000	0.00156769
0.64100000	0.00156134
0.65400000	0.00155504
0.66700000	0.00154810
0.68000000	0.00154028
0.69300000	0.00153208
0.70600000	0.00152340
0.71900000	0.00151255
0.73200000	0.00150120
0.74500000	0.00148920
0.75800000	0.00147489
0.77100000	0.00145934
0.78400000	0.00144217
0.79700000	0.00142293
0.81000000	0.00140223
0.82300000	0.00137863
0.83600000	0.00135235
0.84900000	0.00132349
0.86200000	0.00129144
0.87500000	0.00125623
0.88800000	0.00121760
0.90100000	0.00117555
0.91400000	0.00113000
0.92700000	0.00108036
0.94000000	0.00102680
0.95300000	0.00099180
0.96600000	0.00092691
0.97900000	0.00085857
0.99200000	0.00078714
1.00500000	0.00071192
1.01800000	0.00063376
1.03100000	0.00055204
1.04400000	0.00046700
1.05700000	0.00037862
1.07000000	0.00028677
1.08300000	0.00019177
1.09600000	0.00012894
1.10900000	0.00003242
1.12200000	-0.00007707
1.13500000	-0.00017470
1.14800000	-0.00029022
1.16100000	-0.00040779
1.17400000	-0.00052712
1.18700000	-0.00064805
1.20000000	-0.00077124
