Device Id	Operator	Recipe
A1-5-D_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	1	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.09858651	0.00164699	21.34237297	0.00142911	0.82846624	1.18396828	65.4357	15.3423	114.886849	28858.959	0.00157145	NaN	NaN	NaN	8.359	14:48:32	05/15/2024

Vmeas	Imeas
-0.10000000	0.00164970
-0.08700000	0.00164829
-0.07400000	0.00164845
-0.06100000	0.00164807
-0.04800000	0.00164782
-0.03500000	0.00164775
-0.02200000	0.00164733
-0.00900000	0.00164687
0.00400000	0.00164699
0.01700000	0.00164666
0.03000000	0.00164569
0.04300000	0.00164598
0.05600000	0.00164580
0.06900000	0.00164589
0.08200000	0.00164476
0.09500000	0.00164492
0.10800000	0.00164389
0.12100000	0.00164358
0.13400000	0.00164385
0.14700000	0.00164279
0.16000000	0.00164219
0.17300000	0.00164223
0.18600000	0.00164150
0.19900000	0.00164096
0.21200000	0.00164059
0.22500000	0.00163990
0.23800000	0.00163887
0.25100000	0.00163836
0.26400000	0.00163766
0.27700000	0.00163676
0.29000000	0.00163627
0.30300000	0.00163538
0.31600000	0.00163367
0.32900000	0.00163321
0.34200000	0.00163223
0.35500000	0.00163132
0.36800000	0.00163025
0.38100000	0.00162889
0.39400000	0.00162771
0.40700000	0.00162576
0.42000000	0.00162436
0.43300000	0.00162357
0.44600000	0.00162158
0.45900000	0.00161968
0.47200000	0.00161777
0.48500000	0.00161617
0.49800000	0.00161389
0.51100000	0.00161224
0.52400000	0.00161010
0.53700000	0.00160800
0.55000000	0.00160479
0.56300000	0.00160198
0.57600000	0.00159979
0.58900000	0.00159639
0.60200000	0.00159305
0.61500000	0.00158905
0.62800000	0.00158537
0.64100000	0.00158118
0.65400000	0.00157657
0.66700000	0.00157123
0.68000000	0.00156602
0.69300000	0.00155991
0.70600000	0.00155302
0.71900000	0.00154541
0.73200000	0.00153676
0.74500000	0.00152754
0.75800000	0.00151661
0.77100000	0.00150497
0.78400000	0.00149127
0.79700000	0.00147554
0.81000000	0.00145835
0.82300000	0.00143830
0.83600000	0.00141543
0.84900000	0.00138981
0.86200000	0.00136064
0.87500000	0.00132794
0.88800000	0.00129138
0.90100000	0.00125003
0.91400000	0.00120309
0.92700000	0.00115224
0.94000000	0.00109621
0.95300000	0.00103461
0.96600000	0.00099958
0.97900000	0.00092303
0.99200000	0.00084148
1.00500000	0.00075545
1.01800000	0.00066475
1.03100000	0.00056861
1.04400000	0.00046743
1.05700000	0.00036079
1.07000000	0.00024904
1.08300000	0.00013219
1.09600000	0.00003061
1.10900000	-0.00009864
1.12200000	-0.00020064
1.13500000	-0.00034184
1.14800000	-0.00048601
1.16100000	-0.00063267
1.17400000	-0.00078190
1.18700000	-0.00093341
1.20000000	-0.00107737
