Device Id	Operator	Recipe
A1-6-B_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	1	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.11858531	0.00150671	19.52451888	0.00116192	0.82852975	0.96268138	57.1195	12.4748	155.386295	7822.491	0.00137201	NaN	NaN	NaN	8.297	14:58:21	05/15/2024

Vmeas	Imeas
-0.10000000	0.00151449
-0.08700000	0.00151331
-0.07400000	0.00151166
-0.06100000	0.00151109
-0.04800000	0.00151027
-0.03500000	0.00150944
-0.02200000	0.00150858
-0.00900000	0.00150762
0.00400000	0.00150744
0.01700000	0.00150537
0.03000000	0.00150442
0.04300000	0.00150316
0.05600000	0.00150195
0.06900000	0.00150095
0.08200000	0.00149937
0.09500000	0.00149808
0.10800000	0.00149686
0.12100000	0.00149481
0.13400000	0.00149348
0.14700000	0.00149121
0.16000000	0.00148927
0.17300000	0.00148722
0.18600000	0.00148541
0.19900000	0.00148392
0.21200000	0.00148160
0.22500000	0.00147947
0.23800000	0.00147681
0.25100000	0.00147448
0.26400000	0.00147185
0.27700000	0.00146938
0.29000000	0.00146653
0.30300000	0.00146354
0.31600000	0.00146079
0.32900000	0.00145707
0.34200000	0.00145394
0.35500000	0.00145046
0.36800000	0.00144735
0.38100000	0.00144356
0.39400000	0.00144011
0.40700000	0.00143602
0.42000000	0.00143213
0.43300000	0.00142758
0.44600000	0.00142288
0.45900000	0.00141808
0.47200000	0.00141352
0.48500000	0.00140828
0.49800000	0.00140304
0.51100000	0.00139783
0.52400000	0.00139196
0.53700000	0.00138602
0.55000000	0.00138021
0.56300000	0.00137399
0.57600000	0.00136735
0.58900000	0.00136074
0.60200000	0.00135374
0.61500000	0.00134669
0.62800000	0.00133882
0.64100000	0.00133120
0.65400000	0.00132284
0.66700000	0.00131441
0.68000000	0.00130578
0.69300000	0.00129663
0.70600000	0.00128717
0.71900000	0.00127678
0.73200000	0.00126607
0.74500000	0.00125449
0.75800000	0.00124292
0.77100000	0.00123037
0.78400000	0.00121674
0.79700000	0.00120287
0.81000000	0.00118724
0.82300000	0.00117048
0.83600000	0.00115205
0.84900000	0.00113185
0.86200000	0.00110991
0.87500000	0.00108561
0.88800000	0.00105866
0.90100000	0.00102882
0.91400000	0.00100432
0.92700000	0.00096648
0.94000000	0.00092455
0.95300000	0.00087861
0.96600000	0.00082867
0.97900000	0.00077441
0.99200000	0.00071688
1.00500000	0.00065540
1.01800000	0.00059071
1.03100000	0.00052265
1.04400000	0.00045182
1.05700000	0.00037809
1.07000000	0.00030166
1.08300000	0.00022279
1.09600000	0.00014164
1.10900000	0.00006659
1.12200000	-0.00002064
1.13500000	-0.00009276
1.14800000	-0.00018724
1.16100000	-0.00028420
1.17400000	-0.00038352
1.18700000	-0.00048499
1.20000000	-0.00058884
