Device Id	Operator	Recipe
A1-6-C_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	1	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.08953362	0.00172724	22.38226213	0.00144659	0.78026835	1.12872614	59.9785	14.6265	141.059617	26664.737	0.00157328	NaN	NaN	NaN	8.219	14:59:13	05/15/2024

Vmeas	Imeas
-0.10000000	0.00172905
-0.08700000	0.00172884
-0.07400000	0.00172848
-0.06100000	0.00172777
-0.04800000	0.00172833
-0.03500000	0.00172842
-0.02200000	0.00172755
-0.00900000	0.00172709
0.00400000	0.00172760
0.01700000	0.00172692
0.03000000	0.00172698
0.04300000	0.00172597
0.05600000	0.00172584
0.06900000	0.00172575
0.08200000	0.00172566
0.09500000	0.00172518
0.10800000	0.00172494
0.12100000	0.00172384
0.13400000	0.00172379
0.14700000	0.00172316
0.16000000	0.00172257
0.17300000	0.00172204
0.18600000	0.00172116
0.19900000	0.00172090
0.21200000	0.00171990
0.22500000	0.00171908
0.23800000	0.00171846
0.25100000	0.00171713
0.26400000	0.00171660
0.27700000	0.00171583
0.29000000	0.00171486
0.30300000	0.00171371
0.31600000	0.00171199
0.32900000	0.00171063
0.34200000	0.00170869
0.35500000	0.00170733
0.36800000	0.00170575
0.38100000	0.00170387
0.39400000	0.00170199
0.40700000	0.00169930
0.42000000	0.00169661
0.43300000	0.00169389
0.44600000	0.00169130
0.45900000	0.00168851
0.47200000	0.00168513
0.48500000	0.00168207
0.49800000	0.00167742
0.51100000	0.00167369
0.52400000	0.00166961
0.53700000	0.00166455
0.55000000	0.00165951
0.56300000	0.00165351
0.57600000	0.00164734
0.58900000	0.00164092
0.60200000	0.00163367
0.61500000	0.00162628
0.62800000	0.00161793
0.64100000	0.00160907
0.65400000	0.00159985
0.66700000	0.00158952
0.68000000	0.00157839
0.69300000	0.00156565
0.70600000	0.00155230
0.71900000	0.00153767
0.73200000	0.00152162
0.74500000	0.00150393
0.75800000	0.00148461
0.77100000	0.00146323
0.78400000	0.00143951
0.79700000	0.00141349
0.81000000	0.00138478
0.82300000	0.00135334
0.83600000	0.00131867
0.84900000	0.00128093
0.86200000	0.00123954
0.87500000	0.00119490
0.88800000	0.00114686
0.90100000	0.00109513
0.91400000	0.00103961
0.92700000	0.00099977
0.94000000	0.00093615
0.95300000	0.00086862
0.96600000	0.00079817
0.97900000	0.00072477
0.99200000	0.00064858
1.00500000	0.00056988
1.01800000	0.00048839
1.03100000	0.00040430
1.04400000	0.00031746
1.05700000	0.00022809
1.07000000	0.00013612
1.08300000	0.00005335
1.09600000	-0.00004421
1.10900000	-0.00012524
1.12200000	-0.00022881
1.13500000	-0.00033486
1.14800000	-0.00044236
1.16100000	-0.00055177
1.17400000	-0.00066275
1.18700000	-0.00077565
1.20000000	-0.00089026
