Device Id	Operator	Recipe
A1-6-E_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	1	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.10171284	0.00178329	23.10861278	0.00145483	0.77308582	1.12471003	57.2466	14.5744	146.435375	16461.547	0.00161093	NaN	NaN	NaN	8.219	15:01:12	05/15/2024

Vmeas	Imeas
-0.10000000	0.00178593
-0.08700000	0.00178564
-0.07400000	0.00178543
-0.06100000	0.00178505
-0.04800000	0.00178503
-0.03500000	0.00178393
-0.02200000	0.00178403
-0.00900000	0.00178397
0.00400000	0.00178353
0.01700000	0.00178278
0.03000000	0.00178236
0.04300000	0.00178166
0.05600000	0.00178143
0.06900000	0.00178075
0.08200000	0.00177968
0.09500000	0.00177945
0.10800000	0.00177859
0.12100000	0.00177867
0.13400000	0.00177764
0.14700000	0.00177614
0.16000000	0.00177583
0.17300000	0.00177506
0.18600000	0.00177385
0.19900000	0.00177325
0.21200000	0.00177212
0.22500000	0.00177047
0.23800000	0.00176949
0.25100000	0.00176820
0.26400000	0.00176676
0.27700000	0.00176545
0.29000000	0.00176357
0.30300000	0.00176219
0.31600000	0.00175999
0.32900000	0.00175772
0.34200000	0.00175607
0.35500000	0.00175401
0.36800000	0.00175185
0.38100000	0.00174861
0.39400000	0.00174573
0.40700000	0.00174344
0.42000000	0.00173965
0.43300000	0.00173643
0.44600000	0.00173312
0.45900000	0.00172818
0.47200000	0.00172471
0.48500000	0.00172002
0.49800000	0.00171498
0.51100000	0.00170986
0.52400000	0.00170391
0.53700000	0.00169763
0.55000000	0.00169155
0.56300000	0.00168411
0.57600000	0.00167646
0.58900000	0.00166830
0.60200000	0.00165872
0.61500000	0.00164918
0.62800000	0.00163897
0.64100000	0.00162840
0.65400000	0.00161571
0.66700000	0.00160304
0.68000000	0.00158951
0.69300000	0.00157484
0.70600000	0.00155903
0.71900000	0.00154177
0.73200000	0.00152312
0.74500000	0.00150335
0.75800000	0.00148171
0.77100000	0.00145866
0.78400000	0.00143383
0.79700000	0.00140668
0.81000000	0.00137682
0.82300000	0.00134525
0.83600000	0.00131065
0.84900000	0.00127402
0.86200000	0.00123465
0.87500000	0.00119205
0.88800000	0.00114665
0.90100000	0.00109832
0.91400000	0.00104746
0.92700000	0.00101566
0.94000000	0.00095619
0.95300000	0.00089339
0.96600000	0.00082828
0.97900000	0.00076035
0.99200000	0.00069044
1.00500000	0.00061737
1.01800000	0.00054163
1.03100000	0.00046356
1.04400000	0.00038283
1.05700000	0.00029945
1.07000000	0.00021352
1.08300000	0.00012520
1.09600000	0.00004698
1.10900000	-0.00004771
1.12200000	-0.00012466
1.13500000	-0.00022620
1.14800000	-0.00032958
1.16100000	-0.00043495
1.17400000	-0.00054183
1.18700000	-0.00065070
1.20000000	-0.00076123
