Measurement	Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
A1-1-E_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-05-15 14-34-35	1.05335030	0.00168674	21.85748117	0.00114557	0.74124603	0.84915176	47.7930	11.0037	140.921961	3484.394	0.00133716	NaN	NaN	NaN	8.422	14:34:35	05/15/2024
A1-4-A_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-05-15 14-37-20	1.14519218	0.00184141	23.86170458	0.00132051	0.80127263	1.05808520	50.1756	13.7111	164.491201	2849.281	0.00160171	NaN	NaN	NaN	8.422	14:37:20	05/15/2024
A1-4-B_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-05-15 14-38-17	1.14213283	0.00187037	24.23697719	0.00137534	0.79613921	1.09496250	51.2573	14.1890	163.309076	3049.672	0.00163911	NaN	NaN	NaN	8.219	14:38:17	05/15/2024
A1-4-C_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-05-15 14-39-16	1.13189402	0.00163222	21.15092257	0.00130710	0.80242615	1.04884766	56.7713	13.5914	162.453172	14475.203	0.00150820	NaN	NaN	NaN	8.234	14:39:16	05/15/2024
A1-4-D_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-05-15 14-41-54	1.12292526	0.00172566	22.36178680	0.00150359	0.83559266	1.25639208	64.8365	16.2808	123.396625	37202.584	0.00167467	NaN	NaN	NaN	8.437	14:41:54	05/15/2024
A1-4-E_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-05-15 14-43-06	1.11089649	0.00163770	21.22198572	0.00140108	0.81056230	1.13566385	62.4226	14.7164	135.577034	27817.639	0.00154814	NaN	NaN	NaN	8.422	14:43:06	05/15/2024
A1-5-A_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench) 2024-05-15 14-45-02	1.12922446	0.00153298	19.86500335	0.00115148	0.79837973	0.91931940	53.1067	11.9129	179.694065	5607.803	0.00136129	NaN	NaN	NaN	8.297	14:45:02	05/15/2024
A1-5-B_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench) 2024-05-15 14-46-31	1.13879458	0.00162488	21.05590565	0.00131913	0.85502574	1.12788674	60.9534	14.6156	118.424646	14147.202	0.00156109	NaN	NaN	NaN	8.234	14:46:31	05/15/2024
A1-5-C_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench) 2024-05-15 14-47-09	1.02359506	0.00158421	20.52887599	0.00096374	0.69848399	0.67315513	41.5120	8.7230	189.368721	1533.449	0.00111167	NaN	NaN	NaN	8.422	14:47:09	05/15/2024
A1-5-D_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench) 2024-05-15 14-48-32	1.09858651	0.00164699	21.34237297	0.00142911	0.82846624	1.18396828	65.4357	15.3423	114.886849	28858.959	0.00157145	NaN	NaN	NaN	8.359	14:48:32	05/15/2024
A1-5-E_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench) 2024-05-15 14-49-59	1.11387987	0.00182653	23.66895207	0.00162530	0.88079391	1.43155210	70.3625	18.5506	80.285226	30097.195	0.00182135	NaN	NaN	NaN	8.359	14:49:59	05/15/2024
A1-6-A_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench) 2024-05-15 14-57-12	1.07768802	0.00091767	11.89160158	0.00062789	0.74071515	0.46509093	47.0279	6.0268	279.351816	4541.434	0.00072928	NaN	NaN	NaN	8.359	14:57:12	05/15/2024
A1-6-B_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench) 2024-05-15 14-58-21	1.11858531	0.00150671	19.52451888	0.00116192	0.82852975	0.96268138	57.1195	12.4748	155.386295	7822.491	0.00137201	NaN	NaN	NaN	8.297	14:58:21	05/15/2024
A1-6-C_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench) 2024-05-15 14-59-13	1.08953362	0.00172724	22.38226213	0.00144659	0.78026835	1.12872614	59.9785	14.6265	141.059617	26664.737	0.00157328	NaN	NaN	NaN	8.219	14:59:13	05/15/2024
A1-6-D_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench) 2024-05-15 15-00-00	0.86907878	0.00157078	20.35484815	0.00096009	0.50586193	0.48567388	35.5770	6.2936	293.195165	1249.475	0.00085255	NaN	NaN	NaN	8.375	15:00:00	05/15/2024
