Device Id	Operator	Recipe
A3-1-A_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.00954833	0.00013870	1.79736929	0.00000000	NaN	NaN	NaN	NaN	84.756968	54.614	0.00000059	NaN	NaN	NaN	8.375	15:07:54	06/04/2024

Vmeas	Imeas
1.20000000	-0.02056880
1.18700000	-0.01761409
1.17400000	-0.01796302
1.16100000	-0.01787927
1.14800000	-0.01853002
1.13500000	-0.01705423
1.12200000	-0.01686820
1.10900000	-0.01778492
1.09600000	-0.01729259
1.08300000	-0.01706580
1.07000000	-0.01691177
1.05700000	-0.01644966
1.04400000	-0.01631941
1.03100000	-0.01574783
1.01800000	-0.01613907
1.00500000	-0.01594940
0.99200000	-0.01470360
0.97900000	-0.01492285
0.96600000	-0.01494206
0.95300000	-0.01389188
0.94000000	-0.01431278
0.92700000	-0.01443909
0.91400000	-0.01410012
0.90100000	-0.01409770
0.88800000	-0.01376844
0.87500000	-0.01334588
0.86200000	-0.01291525
0.84900000	-0.01211913
0.83600000	-0.01200024
0.82300000	-0.01172678
0.81000000	-0.01153762
0.79700000	-0.01152328
0.78400000	-0.01129918
0.77100000	-0.01128496
0.75800000	-0.01106785
0.74500000	-0.01082653
0.73200000	-0.01062154
0.71900000	-0.01037380
0.70600000	-0.01013697
0.69300000	-0.00990430
0.68000000	-0.00964774
0.66700000	-0.00945222
0.65400000	-0.00915985
0.64100000	-0.00902538
0.62800000	-0.00884075
0.61500000	-0.00863373
0.60200000	-0.00842164
0.58900000	-0.00822094
0.57600000	-0.00797660
0.56300000	-0.00780943
0.55000000	-0.00758725
0.53700000	-0.00741012
0.52400000	-0.00719289
0.51100000	-0.00701408
0.49800000	-0.00683411
0.48500000	-0.00663872
0.47200000	-0.00643092
0.45900000	-0.00623983
0.44600000	-0.00604686
0.43300000	-0.00584666
0.42000000	-0.00565470
0.40700000	-0.00544892
0.39400000	-0.00524556
0.38100000	-0.00505300
0.36800000	-0.00486826
0.35500000	-0.00468078
0.34200000	-0.00449223
0.32900000	-0.00430482
0.31600000	-0.00411315
0.30300000	-0.00393183
0.29000000	-0.00374207
0.27700000	-0.00355560
0.26400000	-0.00337344
0.25100000	-0.00319571
0.23800000	-0.00301002
0.22500000	-0.00283168
0.21200000	-0.00265308
0.19900000	-0.00247593
0.18600000	-0.00229741
0.17300000	-0.00211737
0.16000000	-0.00194115
0.14700000	-0.00176401
0.13400000	-0.00158926
0.12100000	-0.00141477
0.10800000	-0.00124299
0.09500000	-0.00107397
0.08200000	-0.00089534
0.06900000	-0.00073173
0.05600000	-0.00056900
0.04300000	-0.00040749
0.03000000	-0.00024956
0.01700000	-0.00008792
0.00400000	0.00006546
-0.00900000	0.00030350
-0.02200000	0.00042542
-0.03500000	0.00054589
-0.04800000	0.00066469
-0.06100000	0.00078296
-0.07400000	0.00090045
-0.08700000	0.00101744
-0.10000000	0.00112962
