Device Id	Operator	Recipe
A3-1-C_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.02061272	0.00028740	3.72424717	0.00023281	0.00400000	0.00093124	15.7196	0.0121	71.240297	73.274	0.00000297	NaN	NaN	NaN	8.359	15:10:53	06/04/2024

Vmeas	Imeas
1.20000000	-0.01863068
1.18700000	-0.01859047
1.17400000	-0.01883072
1.16100000	-0.01876238
1.14800000	-0.01762056
1.13500000	-0.01747691
1.12200000	-0.01732102
1.10900000	-0.01695554
1.09600000	-0.01681583
1.08300000	-0.01674690
1.07000000	-0.01642850
1.05700000	-0.01604179
1.04400000	-0.01591756
1.03100000	-0.01541817
1.01800000	-0.01553654
1.00500000	-0.01522197
0.99200000	-0.01530103
0.97900000	-0.01513099
0.96600000	-0.01487760
0.95300000	-0.01473720
0.94000000	-0.01450289
0.92700000	-0.01410677
0.91400000	-0.01386271
0.90100000	-0.01382456
0.88800000	-0.01367002
0.87500000	-0.01343264
0.86200000	-0.01323225
0.84900000	-0.01334800
0.83600000	-0.01310758
0.82300000	-0.01294804
0.81000000	-0.01269152
0.79700000	-0.01235866
0.78400000	-0.01222766
0.77100000	-0.01209897
0.75800000	-0.01183623
0.74500000	-0.01162788
0.73200000	-0.01134794
0.71900000	-0.01102780
0.70600000	-0.01084396
0.69300000	-0.01065125
0.68000000	-0.01032769
0.66700000	-0.01015892
0.65400000	-0.00991674
0.64100000	-0.00986711
0.62800000	-0.00962093
0.61500000	-0.00936638
0.60200000	-0.00915503
0.58900000	-0.00880631
0.57600000	-0.00860603
0.56300000	-0.00834828
0.55000000	-0.00815187
0.53700000	-0.00791765
0.52400000	-0.00771344
0.51100000	-0.00748750
0.49800000	-0.00725985
0.48500000	-0.00706526
0.47200000	-0.00681496
0.45900000	-0.00662625
0.44600000	-0.00648712
0.43300000	-0.00628587
0.42000000	-0.00601188
0.40700000	-0.00582024
0.39400000	-0.00560643
0.38100000	-0.00541704
0.36800000	-0.00524667
0.35500000	-0.00505000
0.34200000	-0.00484728
0.32900000	-0.00462177
0.31600000	-0.00441801
0.30300000	-0.00423207
0.29000000	-0.00402516
0.27700000	-0.00382005
0.26400000	-0.00362219
0.25100000	-0.00342914
0.23800000	-0.00323076
0.22500000	-0.00302869
0.21200000	-0.00281178
0.19900000	-0.00261715
0.18600000	-0.00242662
0.17300000	-0.00224251
0.16000000	-0.00205023
0.14700000	-0.00185601
0.13400000	-0.00166187
0.12100000	-0.00145923
0.10800000	-0.00127023
0.09500000	-0.00106564
0.08200000	-0.00086265
0.06900000	-0.00068159
0.05600000	-0.00049953
0.04300000	-0.00031592
0.03000000	-0.00013177
0.01700000	0.00005071
0.00400000	0.00023281
-0.00900000	0.00041023
-0.02200000	0.00058728
-0.03500000	0.00076393
-0.04800000	0.00093969
-0.06100000	0.00112058
-0.07400000	0.00130312
-0.08700000	0.00148419
-0.10000000	0.00166410
