Device Id	Operator	Recipe
A3-1-D_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.05712520	0.00147044	19.05461528	0.00115152	0.76311402	0.87874468	56.5311	11.3871	148.653533	7346.290	0.00126114	NaN	NaN	NaN	8.484	15:09:34	06/04/2024

Vmeas	Imeas
1.20000000	-0.00096392
1.18700000	-0.00088247
1.17400000	-0.00079617
1.16100000	-0.00070774
1.14800000	-0.00061844
1.13500000	-0.00052902
1.12200000	-0.00043973
1.10900000	-0.00035140
1.09600000	-0.00026415
1.08300000	-0.00017802
1.07000000	-0.00008561
1.05700000	0.00000394
1.04400000	0.00009609
1.03100000	0.00018370
1.01800000	0.00025928
1.00500000	0.00033249
0.99200000	0.00040356
0.97900000	0.00047186
0.96600000	0.00053734
0.95300000	0.00059919
0.94000000	0.00065832
0.92700000	0.00071387
0.91400000	0.00076599
0.90100000	0.00081490
0.88800000	0.00086023
0.87500000	0.00090223
0.86200000	0.00094099
0.84900000	0.00097669
0.83600000	0.00100977
0.82300000	0.00103991
0.81000000	0.00106930
0.79700000	0.00109453
0.78400000	0.00111767
0.77100000	0.00113910
0.75800000	0.00115902
0.74500000	0.00117725
0.73200000	0.00119411
0.71900000	0.00120955
0.70600000	0.00122403
0.69300000	0.00123768
0.68000000	0.00125029
0.66700000	0.00126222
0.65400000	0.00127338
0.64100000	0.00128327
0.62800000	0.00129267
0.61500000	0.00130215
0.60200000	0.00131056
0.58900000	0.00131882
0.57600000	0.00132630
0.56300000	0.00133376
0.55000000	0.00134026
0.53700000	0.00134683
0.52400000	0.00135364
0.51100000	0.00135899
0.49800000	0.00136484
0.48500000	0.00136996
0.47200000	0.00137519
0.45900000	0.00138032
0.44600000	0.00138501
0.43300000	0.00138968
0.42000000	0.00139408
0.40700000	0.00139771
0.39400000	0.00140169
0.38100000	0.00140550
0.36800000	0.00140892
0.35500000	0.00141235
0.34200000	0.00141577
0.32900000	0.00141921
0.31600000	0.00142229
0.30300000	0.00142491
0.29000000	0.00142774
0.27700000	0.00143070
0.26400000	0.00143367
0.25100000	0.00143592
0.23800000	0.00143809
0.22500000	0.00144036
0.21200000	0.00144311
0.19900000	0.00144509
0.18600000	0.00144684
0.17300000	0.00144851
0.16000000	0.00145090
0.14700000	0.00145254
0.13400000	0.00145473
0.12100000	0.00145662
0.10800000	0.00145802
0.09500000	0.00145990
0.08200000	0.00146117
0.06900000	0.00146271
0.05600000	0.00146400
0.04300000	0.00146539
0.03000000	0.00146725
0.01700000	0.00146886
0.00400000	0.00146972
-0.00900000	0.00147425
-0.02200000	0.00147328
-0.03500000	0.00147443
-0.04800000	0.00147548
-0.06100000	0.00147645
-0.07400000	0.00147767
-0.08700000	0.00147890
-0.10000000	0.00148000
