Device Id	Operator	Recipe
A3-2-B_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.00152336	0.00010676	1.38340557	0.00000000	NaN	NaN	NaN	NaN	14.269370	14.269	0.00000008	NaN	NaN	NaN	8.172	15:13:50	06/04/2024

Vmeas	Imeas
1.20000000	-0.02646297
1.18700000	-0.04425025
1.17400000	-0.04800282
1.16100000	-0.05531282
1.14800000	-0.06242038
1.13500000	-0.07018166
1.12200000	-0.06931193
1.10900000	-0.06853002
1.09600000	-0.07027349
1.08300000	-0.06880021
1.07000000	-0.07221312
1.05700000	-0.07187697
1.04400000	-0.07162113
1.03100000	-0.07052341
1.01800000	-0.06758715
1.00500000	-0.06867141
0.99200000	-0.06827915
0.97900000	-0.06742027
0.96600000	-0.06864984
0.95300000	-0.06791433
0.94000000	-0.06673213
0.92700000	-0.06733195
0.91400000	-0.06217189
0.90100000	-0.06212163
0.88800000	-0.06109792
0.87500000	-0.06113940
0.86200000	-0.05942817
0.84900000	-0.05893008
0.83600000	-0.05918134
0.82300000	-0.05871985
0.81000000	-0.05705692
0.79700000	-0.05605799
0.78400000	-0.05538548
0.77100000	-0.05579411
0.75800000	-0.05593002
0.74500000	-0.05548688
0.73200000	-0.05413831
0.71900000	-0.05443150
0.70600000	-0.05321052
0.69300000	-0.05398706
0.68000000	-0.05169737
0.66700000	-0.05008541
0.65400000	-0.04951600
0.64100000	-0.04811672
0.62800000	-0.04685146
0.61500000	-0.04606111
0.60200000	-0.04499879
0.58900000	-0.04436997
0.57600000	-0.04353791
0.56300000	-0.04256061
0.55000000	-0.04203282
0.53700000	-0.04081958
0.52400000	-0.04002445
0.51100000	-0.03887832
0.49800000	-0.03776963
0.48500000	-0.03668404
0.47200000	-0.03572612
0.45900000	-0.03480470
0.44600000	-0.03372743
0.43300000	-0.03263522
0.42000000	-0.03155715
0.40700000	-0.03037451
0.39400000	-0.02936731
0.38100000	-0.02839814
0.36800000	-0.02740829
0.35500000	-0.02666002
0.34200000	-0.02562466
0.32900000	-0.02463994
0.31600000	-0.02364978
0.30300000	-0.02262682
0.29000000	-0.02162967
0.27700000	-0.02064693
0.26400000	-0.01960392
0.25100000	-0.01858823
0.23800000	-0.01760314
0.22500000	-0.01659634
0.21200000	-0.01560416
0.19900000	-0.01459501
0.18600000	-0.01359351
0.17300000	-0.01256358
0.16000000	-0.01159750
0.14700000	-0.01062642
0.13400000	-0.00963455
0.12100000	-0.00867464
0.10800000	-0.00772392
0.09500000	-0.00676907
0.08200000	-0.00581767
0.06900000	-0.00487176
0.05600000	-0.00391491
0.04300000	-0.00296744
0.03000000	-0.00203242
0.01700000	-0.00110046
0.00400000	-0.00017356
-0.00900000	0.00073748
-0.02200000	0.00159908
-0.03500000	0.00246744
-0.04800000	0.00333263
-0.06100000	0.00419437
-0.07400000	0.00504900
-0.08700000	0.00589819
-0.10000000	0.00671802
