Device Id	Operator	Recipe
A3-2-C_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.00550437	0.00019973	2.58821698	0.00000000	NaN	NaN	NaN	NaN	27.129927	27.723	0.00000055	NaN	NaN	NaN	8.359	15:14:15	06/04/2024

Vmeas	Imeas
1.20000000	-0.04595583
1.18700000	-0.04567334
1.17400000	-0.05117268
1.16100000	-0.05097653
1.14800000	-0.05018789
1.13500000	-0.04960337
1.12200000	-0.04916335
1.10900000	-0.04793578
1.09600000	-0.04749767
1.08300000	-0.04727163
1.07000000	-0.04684819
1.05700000	-0.04597701
1.04400000	-0.04533041
1.03100000	-0.04473454
1.01800000	-0.04379189
1.00500000	-0.04341595
0.99200000	-0.04255662
0.97900000	-0.04180975
0.96600000	-0.04132420
0.95300000	-0.04062702
0.94000000	-0.04016316
0.92700000	-0.03975335
0.91400000	-0.03974975
0.90100000	-0.03878684
0.88800000	-0.03842680
0.87500000	-0.03722333
0.86200000	-0.03649716
0.84900000	-0.03573003
0.83600000	-0.03515732
0.82300000	-0.03434236
0.81000000	-0.03387290
0.79700000	-0.03403922
0.78400000	-0.03309254
0.77100000	-0.03270742
0.75800000	-0.03120185
0.74500000	-0.03077719
0.73200000	-0.03073112
0.71900000	-0.03000758
0.70600000	-0.02935424
0.69300000	-0.02869380
0.68000000	-0.02842159
0.66700000	-0.02811090
0.65400000	-0.02772393
0.64100000	-0.02734136
0.62800000	-0.02623608
0.61500000	-0.02537332
0.60200000	-0.02520397
0.58900000	-0.02457912
0.57600000	-0.02437377
0.56300000	-0.02320374
0.55000000	-0.02248589
0.53700000	-0.02178883
0.52400000	-0.02149074
0.51100000	-0.02124361
0.49800000	-0.02023720
0.48500000	-0.01958820
0.47200000	-0.01878828
0.45900000	-0.01815952
0.44600000	-0.01777717
0.43300000	-0.01721691
0.42000000	-0.01663094
0.40700000	-0.01611704
0.39400000	-0.01564166
0.38100000	-0.01486490
0.36800000	-0.01429764
0.35500000	-0.01381142
0.34200000	-0.01340134
0.32900000	-0.01285021
0.31600000	-0.01227510
0.30300000	-0.01175784
0.29000000	-0.01125561
0.27700000	-0.01069275
0.26400000	-0.01017720
0.25100000	-0.00964172
0.23800000	-0.00910743
0.22500000	-0.00857207
0.21200000	-0.00803269
0.19900000	-0.00750211
0.18600000	-0.00697625
0.17300000	-0.00645370
0.16000000	-0.00593286
0.14700000	-0.00541805
0.13400000	-0.00490444
0.12100000	-0.00439330
0.10800000	-0.00388470
0.09500000	-0.00338075
0.08200000	-0.00288106
0.06900000	-0.00238757
0.05600000	-0.00189192
0.04300000	-0.00140150
0.03000000	-0.00090904
0.01700000	-0.00042373
0.00400000	0.00005545
-0.00900000	0.00052437
-0.02200000	0.00100220
-0.03500000	0.00146143
-0.04800000	0.00193686
-0.06100000	0.00241519
-0.07400000	0.00289361
-0.08700000	0.00337600
-0.10000000	0.00385499
