Device Id	Operator	Recipe
A3-2-D_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.02949604	0.00026054	3.37621066	0.00000000	NaN	NaN	NaN	NaN	121.127370	109.457	0.00000374	NaN	NaN	NaN	8.437	15:15:43	06/04/2024

Vmeas	Imeas
1.20000000	-0.00896320
1.18700000	-0.00911090
1.17400000	-0.00852084
1.16100000	-0.00817239
1.14800000	-0.00889774
1.13500000	-0.00940824
1.12200000	-0.00861227
1.10900000	-0.00908491
1.09600000	-0.00855962
1.08300000	-0.00852410
1.07000000	-0.00840526
1.05700000	-0.00922188
1.04400000	-0.00881475
1.03100000	-0.00872621
1.01800000	-0.00852925
1.00500000	-0.00824961
0.99200000	-0.00754748
0.97900000	-0.00819762
0.96600000	-0.00781507
0.95300000	-0.00730443
0.94000000	-0.00765365
0.92700000	-0.00739408
0.91400000	-0.00751884
0.90100000	-0.00734359
0.88800000	-0.00723160
0.87500000	-0.00718354
0.86200000	-0.00750046
0.84900000	-0.00788070
0.83600000	-0.00780604
0.82300000	-0.00774562
0.81000000	-0.00757744
0.79700000	-0.00746814
0.78400000	-0.00725054
0.77100000	-0.00729671
0.75800000	-0.00716990
0.74500000	-0.00701936
0.73200000	-0.00668976
0.71900000	-0.00653801
0.70600000	-0.00636137
0.69300000	-0.00625922
0.68000000	-0.00661378
0.66700000	-0.00651056
0.65400000	-0.00643810
0.64100000	-0.00620704
0.62800000	-0.00608002
0.61500000	-0.00592320
0.60200000	-0.00577089
0.58900000	-0.00555872
0.57600000	-0.00544497
0.56300000	-0.00529196
0.55000000	-0.00510732
0.53700000	-0.00490163
0.52400000	-0.00488448
0.51100000	-0.00472169
0.49800000	-0.00458100
0.48500000	-0.00444563
0.47200000	-0.00436913
0.45900000	-0.00420604
0.44600000	-0.00407799
0.43300000	-0.00395044
0.42000000	-0.00381949
0.40700000	-0.00369234
0.39400000	-0.00355549
0.38100000	-0.00341591
0.36800000	-0.00328802
0.35500000	-0.00315041
0.34200000	-0.00301918
0.32900000	-0.00289497
0.31600000	-0.00276607
0.30300000	-0.00263585
0.29000000	-0.00251801
0.27700000	-0.00239797
0.26400000	-0.00226867
0.25100000	-0.00213678
0.23800000	-0.00200330
0.22500000	-0.00185236
0.21200000	-0.00172367
0.19900000	-0.00159781
0.18600000	-0.00146868
0.17300000	-0.00134441
0.16000000	-0.00121736
0.14700000	-0.00108728
0.13400000	-0.00096834
0.12100000	-0.00084466
0.10800000	-0.00072039
0.09500000	-0.00059655
0.08200000	-0.00046927
0.06900000	-0.00034817
0.05600000	-0.00022773
0.04300000	-0.00010735
0.03000000	-0.00000416
0.01700000	0.00010316
0.00400000	0.00022400
-0.00900000	0.00034277
-0.02200000	0.00045976
-0.03500000	0.00057641
-0.04800000	0.00069188
-0.06100000	0.00080788
-0.07400000	0.00092297
-0.08700000	0.00103796
-0.10000000	0.00115622
