Device Id	Operator	Recipe
A3-3-A_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.70147697	0.00137680	17.84110315	0.00076328	0.36768302	0.28064667	29.0587	3.6367	373.557806	819.348	0.00053552	NaN	NaN	NaN	8.547	15:19:25	06/04/2024

Vmeas	Imeas
1.20000000	-0.00191128
1.18700000	-0.00182084
1.17400000	-0.00179455
1.16100000	-0.00177380
1.14800000	-0.00175079
1.13500000	-0.00170068
1.12200000	-0.00164401
1.10900000	-0.00158526
1.09600000	-0.00151735
1.08300000	-0.00146051
1.07000000	-0.00140307
1.05700000	-0.00132542
1.04400000	-0.00125680
1.03100000	-0.00119608
1.01800000	-0.00114279
1.00500000	-0.00108593
0.99200000	-0.00101986
0.97900000	-0.00095070
0.96600000	-0.00088434
0.95300000	-0.00084107
0.94000000	-0.00077558
0.92700000	-0.00072247
0.91400000	-0.00067637
0.90100000	-0.00062657
0.88800000	-0.00057627
0.87500000	-0.00052790
0.86200000	-0.00048166
0.84900000	-0.00043268
0.83600000	-0.00038402
0.82300000	-0.00034737
0.81000000	-0.00030642
0.79700000	-0.00026272
0.78400000	-0.00022341
0.77100000	-0.00018654
0.75800000	-0.00015607
0.74500000	-0.00011743
0.73200000	-0.00007762
0.71900000	-0.00004282
0.70600000	-0.00001517
0.69300000	0.00002603
0.68000000	0.00006092
0.66700000	0.00009272
0.65400000	0.00012243
0.64100000	0.00016035
0.62800000	0.00019442
0.61500000	0.00022508
0.60200000	0.00025647
0.58900000	0.00028729
0.57600000	0.00031568
0.56300000	0.00034442
0.55000000	0.00037638
0.53700000	0.00040496
0.52400000	0.00043139
0.51100000	0.00045677
0.49800000	0.00048709
0.48500000	0.00051931
0.47200000	0.00054479
0.45900000	0.00057647
0.44600000	0.00060135
0.43300000	0.00062586
0.42000000	0.00065407
0.40700000	0.00067954
0.39400000	0.00070899
0.38100000	0.00073394
0.36800000	0.00076482
0.35500000	0.00078870
0.34200000	0.00081381
0.32900000	0.00084565
0.31600000	0.00086521
0.30300000	0.00089650
0.29000000	0.00091428
0.27700000	0.00093862
0.26400000	0.00096577
0.25100000	0.00098351
0.23800000	0.00101092
0.22500000	0.00103270
0.21200000	0.00106054
0.19900000	0.00107545
0.18600000	0.00109864
0.17300000	0.00111575
0.16000000	0.00113921
0.14700000	0.00116119
0.13400000	0.00117634
0.12100000	0.00120604
0.10800000	0.00122203
0.09500000	0.00124765
0.08200000	0.00126804
0.06900000	0.00128506
0.05600000	0.00130291
0.04300000	0.00131856
0.03000000	0.00133992
0.01700000	0.00136043
0.00400000	0.00137817
-0.00900000	0.00139257
-0.02200000	0.00140701
-0.03500000	0.00142197
-0.04800000	0.00143516
-0.06100000	0.00144818
-0.07400000	0.00146074
-0.08700000	0.00147219
-0.10000000	0.00148119
