Device Id	Operator	Recipe
A3-4-B_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.41538167	0.00111158	14.40427976	0.00055537	0.21179213	0.11762269	25.4744	1.5242	354.291855	391.008	0.00023379	NaN	NaN	NaN	8.359	15:20:38	06/04/2024

Vmeas	Imeas
1.20000000	-0.00339732
1.18700000	-0.00323698
1.17400000	-0.00315937
1.16100000	-0.00297319
1.14800000	-0.00286750
1.13500000	-0.00287332
1.12200000	-0.00277939
1.10900000	-0.00278065
1.09600000	-0.00270465
1.08300000	-0.00262258
1.07000000	-0.00254914
1.05700000	-0.00248010
1.04400000	-0.00240690
1.03100000	-0.00233706
1.01800000	-0.00226421
1.00500000	-0.00219394
0.99200000	-0.00212118
0.97900000	-0.00205513
0.96600000	-0.00198716
0.95300000	-0.00192881
0.94000000	-0.00186193
0.92700000	-0.00180513
0.91400000	-0.00174504
0.90100000	-0.00168655
0.88800000	-0.00163104
0.87500000	-0.00157731
0.86200000	-0.00152219
0.84900000	-0.00146813
0.83600000	-0.00141657
0.82300000	-0.00136426
0.81000000	-0.00131215
0.79700000	-0.00126050
0.78400000	-0.00120753
0.77100000	-0.00115433
0.75800000	-0.00108574
0.74500000	-0.00101847
0.73200000	-0.00099440
0.71900000	-0.00093875
0.70600000	-0.00088906
0.69300000	-0.00084225
0.68000000	-0.00078735
0.66700000	-0.00075269
0.65400000	-0.00071355
0.64100000	-0.00067826
0.62800000	-0.00063386
0.61500000	-0.00058266
0.60200000	-0.00054290
0.58900000	-0.00050561
0.57600000	-0.00046796
0.56300000	-0.00042785
0.55000000	-0.00039091
0.53700000	-0.00035213
0.52400000	-0.00031381
0.51100000	-0.00027569
0.49800000	-0.00023805
0.48500000	-0.00020043
0.47200000	-0.00016229
0.45900000	-0.00012438
0.44600000	-0.00008706
0.43300000	-0.00005021
0.42000000	-0.00001180
0.40700000	0.00002420
0.39400000	0.00006078
0.38100000	0.00009595
0.36800000	0.00013266
0.35500000	0.00016773
0.34200000	0.00020324
0.32900000	0.00023904
0.31600000	0.00027509
0.30300000	0.00031019
0.29000000	0.00034558
0.27700000	0.00037986
0.26400000	0.00041475
0.25100000	0.00045051
0.23800000	0.00048615
0.22500000	0.00052049
0.21200000	0.00055441
0.19900000	0.00058936
0.18600000	0.00062302
0.17300000	0.00065855
0.16000000	0.00069305
0.14700000	0.00072730
0.13400000	0.00076107
0.12100000	0.00079507
0.10800000	0.00082931
0.09500000	0.00086397
0.08200000	0.00089778
0.06900000	0.00093140
0.05600000	0.00096589
0.04300000	0.00099860
0.03000000	0.00103357
0.01700000	0.00106775
0.00400000	0.00110147
-0.00900000	0.00113540
-0.02200000	0.00116727
-0.03500000	0.00120103
-0.04800000	0.00123360
-0.06100000	0.00126471
-0.07400000	0.00129856
-0.08700000	0.00133264
-0.10000000	0.00136722
