Device Id	Operator	Recipe
A3-4-C_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.25026825	0.00094867	12.29323870	0.00048007	0.12488627	0.05995464	25.2524	0.7769	263.200554	267.622	0.00011973	NaN	NaN	NaN	8.562	15:21:52	06/04/2024

Vmeas	Imeas
1.20000000	-0.00446468
1.18700000	-0.00467342
1.17400000	-0.00446443
1.16100000	-0.00432732
1.14800000	-0.00416093
1.13500000	-0.00430835
1.12200000	-0.00411341
1.10900000	-0.00401677
1.09600000	-0.00395125
1.08300000	-0.00397301
1.07000000	-0.00388200
1.05700000	-0.00379584
1.04400000	-0.00369706
1.03100000	-0.00359847
1.01800000	-0.00351299
1.00500000	-0.00340236
0.99200000	-0.00337158
0.97900000	-0.00339281
0.96600000	-0.00326509
0.95300000	-0.00322623
0.94000000	-0.00317403
0.92700000	-0.00309816
0.91400000	-0.00288204
0.90100000	-0.00296678
0.88800000	-0.00280284
0.87500000	-0.00275364
0.86200000	-0.00264268
0.84900000	-0.00251608
0.83600000	-0.00257184
0.82300000	-0.00251985
0.81000000	-0.00246480
0.79700000	-0.00241962
0.78400000	-0.00232950
0.77100000	-0.00231230
0.75800000	-0.00221564
0.74500000	-0.00219584
0.73200000	-0.00211594
0.71900000	-0.00205125
0.70600000	-0.00199092
0.69300000	-0.00193584
0.68000000	-0.00186259
0.66700000	-0.00181322
0.65400000	-0.00172527
0.64100000	-0.00166629
0.62800000	-0.00159665
0.61500000	-0.00154333
0.60200000	-0.00145760
0.58900000	-0.00141026
0.57600000	-0.00134812
0.56300000	-0.00128693
0.55000000	-0.00121779
0.53700000	-0.00116421
0.52400000	-0.00108597
0.51100000	-0.00105856
0.49800000	-0.00100727
0.48500000	-0.00095987
0.47200000	-0.00089916
0.45900000	-0.00082747
0.44600000	-0.00076513
0.43300000	-0.00071576
0.42000000	-0.00066139
0.40700000	-0.00060855
0.39400000	-0.00056407
0.38100000	-0.00051178
0.36800000	-0.00046071
0.35500000	-0.00040655
0.34200000	-0.00035524
0.32900000	-0.00030646
0.31600000	-0.00025668
0.30300000	-0.00020721
0.29000000	-0.00015686
0.27700000	-0.00010646
0.26400000	-0.00005246
0.25100000	-0.00000220
0.23800000	0.00004632
0.22500000	0.00009769
0.21200000	0.00014966
0.19900000	0.00019905
0.18600000	0.00024986
0.17300000	0.00030120
0.16000000	0.00034766
0.14700000	0.00039712
0.13400000	0.00044557
0.12100000	0.00049510
0.10800000	0.00054506
0.09500000	0.00059417
0.08200000	0.00064316
0.06900000	0.00069152
0.05600000	0.00073994
0.04300000	0.00078846
0.03000000	0.00083731
0.01700000	0.00088566
0.00400000	0.00093372
-0.00900000	0.00098230
-0.02200000	0.00102958
-0.03500000	0.00107237
-0.04800000	0.00112276
-0.06100000	0.00117282
-0.07400000	0.00122209
-0.08700000	0.00127158
-0.10000000	0.00132085
