Device Id	Operator	Recipe
A3-5-D_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.19220388	0.00123046	15.94478723	0.00062225	0.09495353	0.05908486	24.9831	0.7656	191.857772	160.531	0.00011762	NaN	NaN	NaN	8.344	15:28:24	06/04/2024

Vmeas	Imeas
1.20000000	-0.00923461
1.18700000	-0.00888673
1.17400000	-0.00863109
1.16100000	-0.00837076
1.14800000	-0.00827828
1.13500000	-0.00828770
1.12200000	-0.00798889
1.10900000	-0.00797514
1.09600000	-0.00786435
1.08300000	-0.00779045
1.07000000	-0.00748524
1.05700000	-0.00742837
1.04400000	-0.00712797
1.03100000	-0.00700527
1.01800000	-0.00685461
1.00500000	-0.00668400
0.99200000	-0.00655571
0.97900000	-0.00642457
0.96600000	-0.00633634
0.95300000	-0.00625394
0.94000000	-0.00612187
0.92700000	-0.00588711
0.91400000	-0.00589195
0.90100000	-0.00576519
0.88800000	-0.00564078
0.87500000	-0.00548379
0.86200000	-0.00535115
0.84900000	-0.00522365
0.83600000	-0.00502532
0.82300000	-0.00492204
0.81000000	-0.00479325
0.79700000	-0.00467741
0.78400000	-0.00455736
0.77100000	-0.00445652
0.75800000	-0.00432182
0.74500000	-0.00419473
0.73200000	-0.00403678
0.71900000	-0.00393182
0.70600000	-0.00384465
0.69300000	-0.00466320
0.68000000	-0.00463650
0.66700000	-0.00453239
0.65400000	-0.00431667
0.64100000	-0.00328500
0.62800000	-0.00317567
0.61500000	-0.00307353
0.60200000	-0.00296255
0.58900000	-0.00285382
0.57600000	-0.00276424
0.56300000	-0.00265002
0.55000000	-0.00254730
0.53700000	-0.00245747
0.52400000	-0.00236635
0.51100000	-0.00227925
0.49800000	-0.00219223
0.48500000	-0.00208711
0.47200000	-0.00198360
0.45900000	-0.00187840
0.44600000	-0.00177479
0.43300000	-0.00168667
0.42000000	-0.00158133
0.40700000	-0.00149159
0.39400000	-0.00138634
0.38100000	-0.00128898
0.36800000	-0.00119425
0.35500000	-0.00111081
0.34200000	-0.00101536
0.32900000	-0.00092900
0.31600000	-0.00083789
0.30300000	-0.00073841
0.29000000	-0.00064430
0.27700000	-0.00055554
0.26400000	-0.00046598
0.25100000	-0.00037643
0.23800000	-0.00029006
0.22500000	-0.00020343
0.21200000	-0.00011488
0.19900000	-0.00002787
0.18600000	0.00002044
0.17300000	0.00010444
0.16000000	0.00019164
0.14700000	0.00027964
0.13400000	0.00036603
0.12100000	0.00045142
0.10800000	0.00053694
0.09500000	0.00062195
0.08200000	0.00070776
0.06900000	0.00079204
0.05600000	0.00087626
0.04300000	0.00096053
0.03000000	0.00104207
0.01700000	0.00112478
0.00400000	0.00120554
-0.00900000	0.00128652
-0.02200000	0.00136516
-0.03500000	0.00144389
-0.04800000	0.00152152
-0.06100000	0.00159673
-0.07400000	0.00166994
-0.08700000	0.00174347
-0.10000000	0.00181466
