Device Id	Operator	Recipe
A3-5-E_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.08135895	0.00098092	12.71116835	0.00049665	0.04295481	0.02133339	26.7313	0.2764	63.924147	87.581	0.00004202	NaN	NaN	NaN	8.359	15:28:46	06/04/2024

Vmeas	Imeas
1.20000000	-0.02066488
1.18700000	-0.02030163
1.17400000	-0.02006284
1.16100000	-0.01986709
1.14800000	-0.01976257
1.13500000	-0.01948635
1.12200000	-0.01934384
1.10900000	-0.01913766
1.09600000	-0.01888515
1.08300000	-0.01866818
1.07000000	-0.01835665
1.05700000	-0.01823628
1.04400000	-0.01808201
1.03100000	-0.01753227
1.01800000	-0.01716123
1.00500000	-0.01684484
0.99200000	-0.01658707
0.97900000	-0.01629986
0.96600000	-0.01616240
0.95300000	-0.01617206
0.94000000	-0.01557030
0.92700000	-0.01542091
0.91400000	-0.01503410
0.90100000	-0.01477156
0.88800000	-0.01456276
0.87500000	-0.01431833
0.86200000	-0.01397968
0.84900000	-0.01372688
0.83600000	-0.01344650
0.82300000	-0.01326260
0.81000000	-0.01299991
0.79700000	-0.01299005
0.78400000	-0.01279269
0.77100000	-0.01247843
0.75800000	-0.01223008
0.74500000	-0.01194996
0.73200000	-0.01165651
0.71900000	-0.01141654
0.70600000	-0.01115781
0.69300000	-0.01089865
0.68000000	-0.01065193
0.66700000	-0.01038161
0.65400000	-0.01011164
0.64100000	-0.00987826
0.62800000	-0.00960070
0.61500000	-0.00927874
0.60200000	-0.00901794
0.58900000	-0.00877815
0.57600000	-0.00853322
0.56300000	-0.00830486
0.55000000	-0.00805255
0.53700000	-0.00778657
0.52400000	-0.00753258
0.51100000	-0.00728238
0.49800000	-0.00702346
0.48500000	-0.00677266
0.47200000	-0.00650073
0.45900000	-0.00627819
0.44600000	-0.00602501
0.43300000	-0.00580856
0.42000000	-0.00555684
0.40700000	-0.00532424
0.39400000	-0.00506675
0.38100000	-0.00484440
0.36800000	-0.00460265
0.35500000	-0.00435523
0.34200000	-0.00411947
0.32900000	-0.00388547
0.31600000	-0.00367718
0.30300000	-0.00345992
0.29000000	-0.00323178
0.27700000	-0.00303056
0.26400000	-0.00281139
0.25100000	-0.00260134
0.23800000	-0.00239447
0.22500000	-0.00216861
0.21200000	-0.00195523
0.19900000	-0.00174811
0.18600000	-0.00154994
0.17300000	-0.00135210
0.16000000	-0.00116013
0.14700000	-0.00094934
0.13400000	-0.00076735
0.12100000	-0.00057514
0.10800000	-0.00039051
0.09500000	-0.00021061
0.08200000	-0.00001003
0.06900000	0.00019334
0.05600000	0.00034582
0.04300000	0.00049612
0.03000000	0.00064742
0.01700000	0.00079212
0.00400000	0.00093525
-0.00900000	0.00108368
-0.02200000	0.00120545
-0.03500000	0.00132001
-0.04800000	0.00143081
-0.06100000	0.00153849
-0.07400000	0.00163214
-0.08700000	0.00172359
-0.10000000	0.00181459
