Device Id	Operator	Recipe
A3-6-A_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.14660310	0.00098669	12.78597532	0.00049854	0.07376162	0.03677309	25.4217	0.4765	134.589556	152.387	0.00007338	NaN	NaN	NaN	8.562	15:34:41	06/04/2024

Vmeas	Imeas
1.20000000	-0.00401431
1.18700000	-0.00913987
1.17400000	-0.00891473
1.16100000	-0.00840674
1.14800000	-0.00851141
1.13500000	-0.00834614
1.12200000	-0.00812171
1.10900000	-0.00883555
1.09600000	-0.00881830
1.08300000	-0.00859828
1.07000000	-0.00772508
1.05700000	-0.00804709
1.04400000	-0.00811210
1.03100000	-0.00770120
1.01800000	-0.00668990
1.00500000	-0.00692316
0.99200000	-0.00651784
0.97900000	-0.00627677
0.96600000	-0.00326861
0.95300000	-0.00629629
0.94000000	-0.00627345
0.92700000	-0.00621990
0.91400000	-0.00576963
0.90100000	-0.00553580
0.88800000	-0.00478864
0.87500000	-0.00515350
0.86200000	-0.00447584
0.84900000	-0.00469553
0.83600000	-0.00439196
0.82300000	-0.00457104
0.81000000	-0.00523039
0.79700000	-0.00481591
0.78400000	-0.00517304
0.77100000	-0.00517800
0.75800000	-0.00476474
0.74500000	-0.00502844
0.73200000	-0.00495202
0.71900000	-0.00485128
0.70600000	-0.00470996
0.69300000	-0.00461166
0.68000000	-0.00447545
0.66700000	-0.00431300
0.65400000	-0.00420034
0.64100000	-0.00409457
0.62800000	-0.00394947
0.61500000	-0.00384934
0.60200000	-0.00372630
0.58900000	-0.00360786
0.57600000	-0.00350169
0.56300000	-0.00327350
0.55000000	-0.00311899
0.53700000	-0.00300707
0.52400000	-0.00292592
0.51100000	-0.00285102
0.49800000	-0.00266370
0.48500000	-0.00257882
0.47200000	-0.00245184
0.45900000	-0.00233427
0.44600000	-0.00227158
0.43300000	-0.00216836
0.42000000	-0.00203688
0.40700000	-0.00190596
0.39400000	-0.00182747
0.38100000	-0.00171269
0.36800000	-0.00158897
0.35500000	-0.00147084
0.34200000	-0.00139899
0.32900000	-0.00129365
0.31600000	-0.00121073
0.30300000	-0.00112019
0.29000000	-0.00101581
0.27700000	-0.00092570
0.26400000	-0.00083440
0.25100000	-0.00074457
0.23800000	-0.00064996
0.22500000	-0.00055722
0.21200000	-0.00046382
0.19900000	-0.00037146
0.18600000	-0.00028062
0.17300000	-0.00019133
0.16000000	-0.00010029
0.14700000	-0.00000142
0.13400000	0.00009286
0.12100000	0.00018235
0.10800000	0.00027090
0.09500000	0.00035821
0.08200000	0.00044315
0.06900000	0.00053076
0.05600000	0.00061814
0.04300000	0.00070459
0.03000000	0.00078960
0.01700000	0.00087519
0.00400000	0.00096044
-0.00900000	0.00104575
-0.02200000	0.00107262
-0.03500000	0.00117232
-0.04800000	0.00127046
-0.06100000	0.00136873
-0.07400000	0.00146386
-0.08700000	0.00155971
-0.10000000	0.00165358
