Device Id	Operator	Recipe
A3-6-C_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Air quench)	Unknown	Jacob PVSKT _ 0.077cm^2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.077170	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.05800220	0.00072035	9.33460362	0.00000000	NaN	NaN	NaN	NaN	70.859473	85.058	0.00002131	NaN	NaN	NaN	8.344	15:35:50	06/04/2024

Vmeas	Imeas
1.20000000	-0.01181219
1.18700000	-0.01455468
1.17400000	-0.01827222
1.16100000	-0.01769349
1.14800000	-0.01730187
1.13500000	-0.01660027
1.12200000	-0.01638578
1.10900000	-0.01649300
1.09600000	-0.01527176
1.08300000	-0.01482668
1.07000000	-0.01445862
1.05700000	-0.01469397
1.04400000	-0.01433208
1.03100000	-0.01442288
1.01800000	-0.01436088
1.00500000	-0.01414216
0.99200000	-0.01393687
0.97900000	-0.01383851
0.96600000	-0.01347040
0.95300000	-0.01331186
0.94000000	-0.01302547
0.92700000	-0.01289044
0.91400000	-0.01253109
0.90100000	-0.01248210
0.88800000	-0.01237716
0.87500000	-0.01201661
0.86200000	-0.01199591
0.84900000	-0.01209627
0.83600000	-0.01149750
0.82300000	-0.01133960
0.81000000	-0.01118789
0.79700000	-0.01085245
0.78400000	-0.01061810
0.77100000	-0.01036385
0.75800000	-0.01021599
0.74500000	-0.00997667
0.73200000	-0.00978396
0.71900000	-0.00955870
0.70600000	-0.00931768
0.69300000	-0.00913904
0.68000000	-0.00894566
0.66700000	-0.00872981
0.65400000	-0.00847029
0.64100000	-0.00826971
0.62800000	-0.00810422
0.61500000	-0.00789994
0.60200000	-0.00767140
0.58900000	-0.00747858
0.57600000	-0.00722728
0.56300000	-0.00708900
0.55000000	-0.00684576
0.53700000	-0.00664830
0.52400000	-0.00642536
0.51100000	-0.00622977
0.49800000	-0.00601204
0.48500000	-0.00583149
0.47200000	-0.00562108
0.45900000	-0.00541361
0.44600000	-0.00525123
0.43300000	-0.00507381
0.42000000	-0.00488093
0.40700000	-0.00469244
0.39400000	-0.00450591
0.38100000	-0.00432975
0.36800000	-0.00414963
0.35500000	-0.00391454
0.34200000	-0.00375712
0.32900000	-0.00359434
0.31600000	-0.00341200
0.30300000	-0.00323724
0.29000000	-0.00306350
0.27700000	-0.00288332
0.26400000	-0.00270164
0.25100000	-0.00252979
0.23800000	-0.00235285
0.22500000	-0.00217032
0.21200000	-0.00200912
0.19900000	-0.00184096
0.18600000	-0.00167327
0.17300000	-0.00150032
0.16000000	-0.00132989
0.14700000	-0.00116316
0.13400000	-0.00099242
0.12100000	-0.00082406
0.10800000	-0.00065048
0.09500000	-0.00048657
0.08200000	-0.00032139
0.06900000	-0.00015521
0.05600000	0.00002826
0.04300000	0.00020265
0.03000000	0.00035657
0.01700000	0.00051242
0.00400000	0.00067332
-0.00900000	0.00082616
-0.02200000	0.00097532
-0.03500000	0.00110455
-0.04800000	0.00126919
-0.06100000	0.00142549
-0.07400000	0.00158015
-0.08700000	0.00173349
-0.10000000	0.00188701
