Measurement	Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
A3-5-E_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-28-46	0.08135895	0.00098092	12.71116835	0.00049665	0.04295481	0.02133339	26.7313	0.2764	63.924147	87.581	0.00004202	NaN	NaN	NaN	8.359	15:28:46	06/04/2024
A3-1-A_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-07-54	0.00954833	0.00013870	1.79736929	0.00000000	NaN	NaN	NaN	NaN	84.756968	54.614	0.00000059	NaN	NaN	NaN	8.375	15:07:54	06/04/2024
A3-1-C_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-10-53	0.02061272	0.00028740	3.72424717	0.00023281	0.00400000	0.00093124	15.7196	0.0121	71.240297	73.274	0.00000297	NaN	NaN	NaN	8.359	15:10:53	06/04/2024
A3-1-D_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-09-34	1.05712520	0.00147044	19.05461528	0.00115152	0.76311402	0.87874468	56.5311	11.3871	148.653533	7346.290	0.00126114	NaN	NaN	NaN	8.484	15:09:34	06/04/2024
A3-2-A_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-12-56	0.00327542	0.00015752	2.04120499	0.00000000	NaN	NaN	NaN	NaN	20.793690	20.794	0.00000026	NaN	NaN	NaN	8.359	15:12:56	06/04/2024
A3-2-B_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-13-50	0.00152336	0.00010676	1.38340557	0.00000000	NaN	NaN	NaN	NaN	14.269370	14.269	0.00000008	NaN	NaN	NaN	8.172	15:13:50	06/04/2024
A3-2-C_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-14-15	0.00550437	0.00019973	2.58821698	0.00000000	NaN	NaN	NaN	NaN	27.129927	27.723	0.00000055	NaN	NaN	NaN	8.359	15:14:15	06/04/2024
A3-2-D_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-15-43	0.02949604	0.00026054	3.37621066	0.00000000	NaN	NaN	NaN	NaN	121.127370	109.457	0.00000374	NaN	NaN	NaN	8.437	15:15:43	06/04/2024
A3-3-A_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-19-25	0.70147697	0.00137680	17.84110315	0.00076328	0.36768302	0.28064667	29.0587	3.6367	373.557806	819.348	0.00053552	NaN	NaN	NaN	8.547	15:19:25	06/04/2024
A3-4-B_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-20-38	0.41538167	0.00111158	14.40427976	0.00055537	0.21179213	0.11762269	25.4744	1.5242	354.291855	391.008	0.00023379	NaN	NaN	NaN	8.359	15:20:38	06/04/2024
A3-4-C_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-21-52	0.25026825	0.00094867	12.29323870	0.00048007	0.12488627	0.05995464	25.2524	0.7769	263.200554	267.622	0.00011973	NaN	NaN	NaN	8.562	15:21:52	06/04/2024
A3-5-A_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-25-28	0.12417215	0.00089326	11.57521935	0.00045275	0.06176368	0.02796334	25.2108	0.3624	135.113506	144.698	0.00005629	NaN	NaN	NaN	8.359	15:25:28	06/04/2024
A3-5-B_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-25-52	0.21412592	0.00109143	14.14313454	0.00055496	0.10672935	0.05923069	25.3445	0.7675	189.796250	200.484	0.00011793	NaN	NaN	NaN	8.359	15:25:52	06/04/2024
A3-5-C_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-26-14	0.18799045	0.00107484	13.92815263	0.00058153	0.09482793	0.05514575	27.2919	0.7146	153.599457	211.399	0.00010641	NaN	NaN	NaN	8.375	15:26:14	06/04/2024
A3-5-D_ITO+SnO2+PVSK+C6Br+Spiro+Carbon (Antisolvent) 2024-06-04 15-28-24	0.19220388	0.00123046	15.94478723	0.00062225	0.09495353	0.05908486	24.9831	0.7656	191.857772	160.531	0.00011762	NaN	NaN	NaN	8.344	15:28:24	06/04/2024
