Device Id	Operator	Recipe
FZ_002-1_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (RT) 	Unknown	Jacob PVSKT _ 0.08cm2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.080000	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.95318682	0.00119316	14.91446761	0.00075324	0.58605232	0.44143641	38.8144	5.5180	354.635481	2244.867	0.00075111	NaN	NaN	NaN	8.484	10:06:50	06/19/2024

Vmeas	Imeas
1.20000000	-0.00071974
1.18700000	-0.00068998
1.17400000	-0.00065482
1.16100000	-0.00062080
1.14800000	-0.00058260
1.13500000	-0.00054534
1.12200000	-0.00050515
1.10900000	-0.00046725
1.09600000	-0.00042244
1.08300000	-0.00038270
1.07000000	-0.00034133
1.05700000	-0.00030478
1.04400000	-0.00025977
1.03100000	-0.00022053
1.01800000	-0.00018436
1.00500000	-0.00014725
0.99200000	-0.00011055
0.97900000	-0.00007203
0.96600000	-0.00003442
0.95300000	0.00000325
0.94000000	0.00004109
0.92700000	0.00007777
0.91400000	0.00011246
0.90100000	0.00014697
0.88800000	0.00018129
0.87500000	0.00021454
0.86200000	0.00024574
0.84900000	0.00027914
0.83600000	0.00031038
0.82300000	0.00033844
0.81000000	0.00036674
0.79700000	0.00039502
0.78400000	0.00042341
0.77100000	0.00045157
0.75800000	0.00047805
0.74500000	0.00050310
0.73200000	0.00052756
0.71900000	0.00055140
0.70600000	0.00057292
0.69300000	0.00059533
0.68000000	0.00061685
0.66700000	0.00063789
0.65400000	0.00065803
0.64100000	0.00067795
0.62800000	0.00069637
0.61500000	0.00071447
0.60200000	0.00073240
0.58900000	0.00074956
0.57600000	0.00076613
0.56300000	0.00078219
0.55000000	0.00079793
0.53700000	0.00081285
0.52400000	0.00082794
0.51100000	0.00084302
0.49800000	0.00085701
0.48500000	0.00087050
0.47200000	0.00088362
0.45900000	0.00089656
0.44600000	0.00090817
0.43300000	0.00091892
0.42000000	0.00093194
0.40700000	0.00094308
0.39400000	0.00095660
0.38100000	0.00096436
0.36800000	0.00097441
0.35500000	0.00098613
0.34200000	0.00099863
0.32900000	0.00100496
0.31600000	0.00101620
0.30300000	0.00102331
0.29000000	0.00103554
0.27700000	0.00104442
0.26400000	0.00105210
0.25100000	0.00105923
0.23800000	0.00106741
0.22500000	0.00107681
0.21200000	0.00108384
0.19900000	0.00109176
0.18600000	0.00109903
0.17300000	0.00110652
0.16000000	0.00111437
0.14700000	0.00112155
0.13400000	0.00112884
0.12100000	0.00113598
0.10800000	0.00114274
0.09500000	0.00114924
0.08200000	0.00115576
0.06900000	0.00116221
0.05600000	0.00117226
0.04300000	0.00117803
0.03000000	0.00118352
0.01700000	0.00118887
0.00400000	0.00119389
-0.00900000	0.00120171
-0.02200000	0.00120501
-0.03500000	0.00120962
-0.04800000	0.00121425
-0.06100000	0.00121887
-0.07400000	0.00122386
-0.08700000	0.00122854
-0.10000000	0.00123291
