Device Id	Operator	Recipe
FZ_005-6_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice) 	Unknown	Jacob PVSKT _ 0.08cm2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.080000	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.04730936	0.00153276	19.15950186	0.00101609	0.76969007	0.78207772	48.7193	9.7760	162.062590	3889.905	0.00122021	NaN	NaN	NaN	8.359	11:00:06	06/19/2024

Vmeas	Imeas
1.20000000	-0.00108213
1.18700000	-0.00101054
1.17400000	-0.00091529
1.16100000	-0.00081614
1.14800000	-0.00071554
1.13500000	-0.00061449
1.12200000	-0.00051487
1.10900000	-0.00041670
1.09600000	-0.00032043
1.08300000	-0.00022706
1.07000000	-0.00013618
1.05700000	-0.00005169
1.04400000	0.00003311
1.03100000	0.00010357
1.01800000	0.00018184
1.00500000	0.00025540
0.99200000	0.00032463
0.97900000	0.00039024
0.96600000	0.00045203
0.95300000	0.00050909
0.94000000	0.00056084
0.92700000	0.00061142
0.91400000	0.00065866
0.90100000	0.00070251
0.88800000	0.00074364
0.87500000	0.00078226
0.86200000	0.00081804
0.84900000	0.00085255
0.83600000	0.00088461
0.82300000	0.00091460
0.81000000	0.00094316
0.79700000	0.00097043
0.78400000	0.00099617
0.77100000	0.00102031
0.75800000	0.00104340
0.74500000	0.00105018
0.73200000	0.00104012
0.71900000	0.00106847
0.70600000	0.00108987
0.69300000	0.00111338
0.68000000	0.00113457
0.66700000	0.00115411
0.65400000	0.00117235
0.64100000	0.00118963
0.62800000	0.00120442
0.61500000	0.00121999
0.60200000	0.00123510
0.58900000	0.00124965
0.57600000	0.00126418
0.56300000	0.00127707
0.55000000	0.00128878
0.53700000	0.00130078
0.52400000	0.00131213
0.51100000	0.00132341
0.49800000	0.00133331
0.48500000	0.00134236
0.47200000	0.00135182
0.45900000	0.00136134
0.44600000	0.00137014
0.43300000	0.00137778
0.42000000	0.00138629
0.40700000	0.00139348
0.39400000	0.00140084
0.38100000	0.00140798
0.36800000	0.00141519
0.35500000	0.00142138
0.34200000	0.00142797
0.32900000	0.00143419
0.31600000	0.00143990
0.30300000	0.00144521
0.29000000	0.00145025
0.27700000	0.00145615
0.26400000	0.00146143
0.25100000	0.00146598
0.23800000	0.00147034
0.22500000	0.00147535
0.21200000	0.00147975
0.19900000	0.00148446
0.18600000	0.00148854
0.17300000	0.00149207
0.16000000	0.00149582
0.14700000	0.00149893
0.13400000	0.00150242
0.12100000	0.00150568
0.10800000	0.00150945
0.09500000	0.00151240
0.08200000	0.00151575
0.06900000	0.00151871
0.05600000	0.00152131
0.04300000	0.00152447
0.03000000	0.00152655
0.01700000	0.00152939
0.00400000	0.00153183
-0.00900000	0.00153913
-0.02200000	0.00153877
-0.03500000	0.00154032
-0.04800000	0.00154259
-0.06100000	0.00154439
-0.07400000	0.00154697
-0.08700000	0.00154857
-0.10000000	0.00155038
