Device Id	Operator	Recipe
FZ_007-4_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (LN2) 	Unknown	Jacob PVSKT _ 0.08cm2 (nature recipe).IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.080000	1.0000	0.5000	0	-0.1000	1.2000	101	10	130	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.00922583	0.00107104	13.38799658	0.00089564	0.77529302	0.69438046	64.2397	8.6798	128.314813	16356.067	0.00093406	NaN	NaN	NaN	8.359	11:18:20	06/19/2024

Vmeas	Imeas
1.20000000	-0.00227383
1.18700000	-0.00208324
1.17400000	-0.00189244
1.16100000	-0.00170310
1.14800000	-0.00151831
1.13500000	-0.00133888
1.12200000	-0.00116554
1.10900000	-0.00099474
1.09600000	-0.00083762
1.08300000	-0.00068730
1.07000000	-0.00054500
1.05700000	-0.00041066
1.04400000	-0.00028458
1.03100000	-0.00016670
1.01800000	-0.00006113
1.00500000	0.00004395
0.99200000	0.00013085
0.97900000	0.00022375
0.96600000	0.00030764
0.95300000	0.00038371
0.94000000	0.00045287
0.92700000	0.00051525
0.91400000	0.00057154
0.90100000	0.00062192
0.88800000	0.00066686
0.87500000	0.00070682
0.86200000	0.00074255
0.84900000	0.00077420
0.83600000	0.00080175
0.82300000	0.00082663
0.81000000	0.00084867
0.79700000	0.00086778
0.78400000	0.00088521
0.77100000	0.00090043
0.75800000	0.00091397
0.74500000	0.00092645
0.73200000	0.00093774
0.71900000	0.00094707
0.70600000	0.00095576
0.69300000	0.00096371
0.68000000	0.00097103
0.66700000	0.00097803
0.65400000	0.00098389
0.64100000	0.00098933
0.62800000	0.00099445
0.61500000	0.00099913
0.60200000	0.00100342
0.58900000	0.00100731
0.57600000	0.00101128
0.56300000	0.00101477
0.55000000	0.00101803
0.53700000	0.00102104
0.52400000	0.00102369
0.51100000	0.00102632
0.49800000	0.00102891
0.48500000	0.00103128
0.47200000	0.00103319
0.45900000	0.00103527
0.44600000	0.00103764
0.43300000	0.00103980
0.42000000	0.00104125
0.40700000	0.00104296
0.39400000	0.00104426
0.38100000	0.00104663
0.36800000	0.00104794
0.35500000	0.00104899
0.34200000	0.00104997
0.32900000	0.00105019
0.31600000	0.00105019
0.30300000	0.00104816
0.29000000	0.00104977
0.27700000	0.00105188
0.26400000	0.00105337
0.25100000	0.00105483
0.23800000	0.00105611
0.22500000	0.00105753
0.21200000	0.00105862
0.19900000	0.00105924
0.18600000	0.00106050
0.17300000	0.00106102
0.16000000	0.00106234
0.14700000	0.00106331
0.13400000	0.00106428
0.12100000	0.00106472
0.10800000	0.00106580
0.09500000	0.00106687
0.08200000	0.00106735
0.06900000	0.00106790
0.05600000	0.00106855
0.04300000	0.00106938
0.03000000	0.00107011
0.01700000	0.00107007
0.00400000	0.00107058
-0.00900000	0.00107234
-0.02200000	0.00107196
-0.03500000	0.00107263
-0.04800000	0.00107339
-0.06100000	0.00107381
-0.07400000	0.00107412
-0.08700000	0.00107474
-0.10000000	0.00107504
