Vmeas,Imeas,name,substrate,position
1.2,-0.00069647,A1-1,1,1
1.187,-0.00069515,A1-1,1,1
1.174,-0.00061126,A1-1,1,1
1.161,-0.00052358,A1-1,1,1
1.148,-0.00044379,A1-1,1,1
1.135,-0.00038513,A1-1,1,1
1.122,-0.00031393,A1-1,1,1
1.109,-0.0002643,A1-1,1,1
1.096,-0.00021833,A1-1,1,1
1.083,-0.00017168,A1-1,1,1
1.07,-0.00012955,A1-1,1,1
1.057,-8.667e-05,A1-1,1,1
1.044,-4.794e-05,A1-1,1,1
1.031,-2.279e-05,A1-1,1,1
1.018,1.331e-05,A1-1,1,1
1.005,4.353e-05,A1-1,1,1
0.992,7.061e-05,A1-1,1,1
0.979,0.00010461,A1-1,1,1
0.966,0.00013284,A1-1,1,1
0.953,0.00016658,A1-1,1,1
0.94,0.00019666,A1-1,1,1
0.927,0.00022807,A1-1,1,1
0.914,0.00025867,A1-1,1,1
0.901,0.00029052,A1-1,1,1
0.888,0.00032614,A1-1,1,1
0.875,0.00035963,A1-1,1,1
0.862,0.00039377,A1-1,1,1
0.849,0.00042863,A1-1,1,1
0.836,0.00046396,A1-1,1,1
0.823,0.00050001,A1-1,1,1
0.81,0.00053395,A1-1,1,1
0.797,0.00056955,A1-1,1,1
0.784,0.00060054,A1-1,1,1
0.771,0.00063628,A1-1,1,1
0.758,0.00066906,A1-1,1,1
0.745,0.00070151,A1-1,1,1
0.732,0.00073399,A1-1,1,1
0.719,0.00076423,A1-1,1,1
0.706,0.00079623,A1-1,1,1
0.693,0.00082542,A1-1,1,1
0.68,0.00085453,A1-1,1,1
0.667,0.00088097,A1-1,1,1
0.654,0.00090785,A1-1,1,1
0.641,0.00093344,A1-1,1,1
0.628,0.00095876,A1-1,1,1
0.615,0.00098463,A1-1,1,1
0.602,0.00100642,A1-1,1,1
0.589,0.00102822,A1-1,1,1
0.576,0.00104897,A1-1,1,1
0.563,0.00104923,A1-1,1,1
0.55,0.00107227,A1-1,1,1
0.537,0.00109367,A1-1,1,1
0.524,0.00111392,A1-1,1,1
0.511,0.00113271,A1-1,1,1
0.498,0.00115044,A1-1,1,1
0.485,0.00116797,A1-1,1,1
0.472,0.00118314,A1-1,1,1
0.459,0.00119798,A1-1,1,1
0.446,0.00121308,A1-1,1,1
0.433,0.00122752,A1-1,1,1
0.42,0.00124128,A1-1,1,1
0.407,0.00125542,A1-1,1,1
0.394,0.00126624,A1-1,1,1
0.381,0.00127789,A1-1,1,1
0.368,0.00128979,A1-1,1,1
0.355,0.00130059,A1-1,1,1
0.342,0.00131162,A1-1,1,1
0.329,0.00132181,A1-1,1,1
0.316,0.00133002,A1-1,1,1
0.303,0.0013396,A1-1,1,1
0.29,0.00134925,A1-1,1,1
0.277,0.00135766,A1-1,1,1
0.264,0.00136537,A1-1,1,1
0.251,0.00137342,A1-1,1,1
0.238,0.00138021,A1-1,1,1
0.225,0.00138802,A1-1,1,1
0.212,0.00139501,A1-1,1,1
0.199,0.00140085,A1-1,1,1
0.186,0.00140708,A1-1,1,1
0.173,0.00141289,A1-1,1,1
0.16,0.00141811,A1-1,1,1
0.147,0.00142367,A1-1,1,1
0.134,0.00142813,A1-1,1,1
0.121,0.00143252,A1-1,1,1
0.108,0.00143673,A1-1,1,1
0.095,0.00144114,A1-1,1,1
0.082,0.0014449,A1-1,1,1
0.069,0.00144926,A1-1,1,1
0.056,0.00145259,A1-1,1,1
0.043,0.00145671,A1-1,1,1
0.03,0.0014594,A1-1,1,1
0.017,0.0014627,A1-1,1,1
0.004,0.00146522,A1-1,1,1
-0.009,0.00146814,A1-1,1,1
-0.022,0.00147041,A1-1,1,1
-0.035,0.00147289,A1-1,1,1
-0.048,0.00147519,A1-1,1,1
-0.061,0.00147815,A1-1,1,1
-0.074,0.00147967,A1-1,1,1
-0.087,0.00148161,A1-1,1,1
-0.1,0.00148361,A1-1,1,1
1.2,-0.00054231,A1-2,1,2
1.187,-0.00047047,A1-2,1,2
1.174,-0.00039896,A1-2,1,2
1.161,-0.00033048,A1-2,1,2
1.148,-0.00026513,A1-2,1,2
1.135,-0.00020468,A1-2,1,2
1.122,-0.00014829,A1-2,1,2
1.109,-9.592e-05,A1-2,1,2
1.096,-4.959e-05,A1-2,1,2
1.083,-5.52e-06,A1-2,1,2
1.07,3.673e-05,A1-2,1,2
1.057,7.297e-05,A1-2,1,2
1.044,0.0001084,A1-2,1,2
1.031,0.00014257,A1-2,1,2
1.018,0.00017501,A1-2,1,2
1.005,0.00020656,A1-2,1,2
0.992,0.00023757,A1-2,1,2
0.979,0.00026837,A1-2,1,2
0.966,0.00029957,A1-2,1,2
0.953,0.00033124,A1-2,1,2
0.94,0.00036282,A1-2,1,2
0.927,0.00039476,A1-2,1,2
0.914,0.00042742,A1-2,1,2
0.901,0.00046032,A1-2,1,2
0.888,0.00049323,A1-2,1,2
0.875,0.00052637,A1-2,1,2
0.862,0.00055935,A1-2,1,2
0.849,0.00059263,A1-2,1,2
0.836,0.00062556,A1-2,1,2
0.823,0.00065836,A1-2,1,2
0.81,0.0006907,A1-2,1,2
0.797,0.00072242,A1-2,1,2
0.784,0.00075366,A1-2,1,2
0.771,0.00078445,A1-2,1,2
0.758,0.00081438,A1-2,1,2
0.745,0.00084325,A1-2,1,2
0.732,0.00087225,A1-2,1,2
0.719,0.00089999,A1-2,1,2
0.706,0.00092321,A1-2,1,2
0.693,0.0009518,A1-2,1,2
0.68,0.00097758,A1-2,1,2
0.667,0.00100296,A1-2,1,2
0.654,0.00102714,A1-2,1,2
0.641,0.00104945,A1-2,1,2
0.628,0.0010579,A1-2,1,2
0.615,0.00108085,A1-2,1,2
0.602,0.00110364,A1-2,1,2
0.589,0.00112525,A1-2,1,2
0.576,0.00114606,A1-2,1,2
0.563,0.00116594,A1-2,1,2
0.55,0.00118531,A1-2,1,2
0.537,0.00120426,A1-2,1,2
0.524,0.00122222,A1-2,1,2
0.511,0.0012398,A1-2,1,2
0.498,0.00125694,A1-2,1,2
0.485,0.0012728,A1-2,1,2
0.472,0.00128824,A1-2,1,2
0.459,0.00130379,A1-2,1,2
0.446,0.00131883,A1-2,1,2
0.433,0.00133217,A1-2,1,2
0.42,0.00134646,A1-2,1,2
0.407,0.00135957,A1-2,1,2
0.394,0.00137243,A1-2,1,2
0.381,0.00138565,A1-2,1,2
0.368,0.00139745,A1-2,1,2
0.355,0.00140882,A1-2,1,2
0.342,0.00141981,A1-2,1,2
0.329,0.00143032,A1-2,1,2
0.316,0.00144084,A1-2,1,2
0.303,0.00145033,A1-2,1,2
0.29,0.00145985,A1-2,1,2
0.277,0.00146889,A1-2,1,2
0.264,0.00147663,A1-2,1,2
0.251,0.00148536,A1-2,1,2
0.238,0.00149239,A1-2,1,2
0.225,0.00149995,A1-2,1,2
0.212,0.00150639,A1-2,1,2
0.199,0.00151338,A1-2,1,2
0.186,0.00151935,A1-2,1,2
0.173,0.001525,A1-2,1,2
0.16,0.00153025,A1-2,1,2
0.147,0.00153522,A1-2,1,2
0.134,0.00154026,A1-2,1,2
0.121,0.00154449,A1-2,1,2
0.108,0.00154876,A1-2,1,2
0.095,0.00155294,A1-2,1,2
0.082,0.00155633,A1-2,1,2
0.069,0.00156042,A1-2,1,2
0.056,0.00156376,A1-2,1,2
0.043,0.0015668,A1-2,1,2
0.03,0.00156935,A1-2,1,2
0.017,0.00157251,A1-2,1,2
0.004,0.00157495,A1-2,1,2
-0.009,0.00158026,A1-2,1,2
-0.022,0.00158071,A1-2,1,2
-0.035,0.00158233,A1-2,1,2
-0.048,0.00158512,A1-2,1,2
-0.061,0.00158674,A1-2,1,2
-0.074,0.0015891,A1-2,1,2
-0.087,0.00159147,A1-2,1,2
-0.1,0.00159311,A1-2,1,2
1.2,-0.0006688,A1-3,1,3
1.187,-0.00059936,A1-3,1,3
1.174,-0.00052724,A1-3,1,3
1.161,-0.00045497,A1-3,1,3
1.148,-0.00038407,A1-3,1,3
1.135,-0.00031547,A1-3,1,3
1.122,-0.00024953,A1-3,1,3
1.109,-0.00018704,A1-3,1,3
1.096,-0.00012797,A1-3,1,3
1.083,-7.13e-05,A1-3,1,3
