Vmeas,Imeas,Jmeas (mA/cm2),name,substrate,position,batch
-0.1,0.00163781,21.27025974025974,A1-3-A,3,A,1
-0.087,0.00163746,21.26571428571429,A1-3-A,3,A,1
-0.074,0.00163749,21.266103896103893,A1-3-A,3,A,1
-0.061,0.00163676,21.256623376623377,A1-3-A,3,A,1
-0.048,0.00163656,21.254025974025975,A1-3-A,3,A,1
-0.035,0.00163563,21.24194805194805,A1-3-A,3,A,1
-0.022,0.0016351,21.235064935064937,A1-3-A,3,A,1
-0.009,0.00163492,21.232727272727274,A1-3-A,3,A,1
0.004,0.00163566,21.24233766233766,A1-3-A,3,A,1
0.017,0.00163443,21.226363636363637,A1-3-A,3,A,1
0.03,0.00163346,21.213766233766233,A1-3-A,3,A,1
0.043,0.00163313,21.209480519480522,A1-3-A,3,A,1
0.056,0.00163238,21.19974025974026,A1-3-A,3,A,1
0.069,0.00163204,21.195324675324677,A1-3-A,3,A,1
0.082,0.00163127,21.185324675324676,A1-3-A,3,A,1
0.095,0.00163046,21.174805194805195,A1-3-A,3,A,1
0.108,0.00162936,21.160519480519483,A1-3-A,3,A,1
0.121,0.00162917,21.15805194805195,A1-3-A,3,A,1
0.134,0.00162873,21.152337662337665,A1-3-A,3,A,1
0.147,0.00162787,21.14116883116883,A1-3-A,3,A,1
0.16,0.00162667,21.125584415584417,A1-3-A,3,A,1
0.173,0.0016258,21.114285714285714,A1-3-A,3,A,1
0.186,0.00162558,21.111428571428572,A1-3-A,3,A,1
0.199,0.00162479,21.10116883116883,A1-3-A,3,A,1
0.212,0.00162335,21.082467532467533,A1-3-A,3,A,1
0.225,0.00162222,21.06779220779221,A1-3-A,3,A,1
0.238,0.00162162,21.060000000000002,A1-3-A,3,A,1
0.251,0.0016206,21.046753246753248,A1-3-A,3,A,1
0.264,0.0016196,21.033766233766233,A1-3-A,3,A,1
0.277,0.00161827,21.016493506493507,A1-3-A,3,A,1
0.29,0.00161705,21.000649350649354,A1-3-A,3,A,1
0.303,0.00161558,20.98155844155844,A1-3-A,3,A,1
0.316,0.00161506,20.974805194805196,A1-3-A,3,A,1
0.329,0.00161358,20.95558441558442,A1-3-A,3,A,1
0.342,0.00161137,20.92688311688312,A1-3-A,3,A,1
0.355,0.00160993,20.90818181818182,A1-3-A,3,A,1
0.368,0.0016082,20.885714285714286,A1-3-A,3,A,1
0.381,0.00160618,20.85948051948052,A1-3-A,3,A,1
0.394,0.00160477,20.841168831168833,A1-3-A,3,A,1
0.407,0.00160256,20.812467532467533,A1-3-A,3,A,1
0.42,0.00160059,20.786883116883118,A1-3-A,3,A,1
0.433,0.00159812,20.754805194805193,A1-3-A,3,A,1
0.446,0.00159602,20.727532467532466,A1-3-A,3,A,1
0.459,0.00159342,20.693766233766233,A1-3-A,3,A,1
0.472,0.00159059,20.657012987012987,A1-3-A,3,A,1
0.485,0.00158751,20.617012987012988,A1-3-A,3,A,1
0.498,0.00158474,20.581038961038963,A1-3-A,3,A,1
0.511,0.00158262,20.553506493506497,A1-3-A,3,A,1
