Voc V,Isc A,Jsc mA/cm2,Imax A,Vmax V,Pmax mW,Fill Factor,Efficiency,R at Voc,R at Isc,Power W,RShunt ohms,Cell Temp start,Cell Temp end,Exposure,Time,Date,name,substrate,position
1.01801175,0.00146359,18.96578123,0.00099346,0.60835665,0.60437974,40.5637,7.8318,376.13611,3374.37,0.00100442,,-7.024,,8.656,19:11:35,05/06/2024,A1-1,1,1
1.07387659,0.00157403,20.3969617,0.00104124,0.64254079,0.66903765,39.5806,8.6697,318.242887,3375.832,0.00113707,,,,8.5,19:13:18,05/06/2024,A1-2,1,2
1.06129782,0.00151764,19.66619233,0.00100503,0.66899907,0.67236602,41.7445,8.7128,263.189191,3903.867,0.00112627,,,,8.297,19:13:55,05/06/2024,A1-3,1,3
1.07983296,0.00138994,18.01143821,0.00098361,0.65039139,0.63972905,42.6229,8.2899,301.986044,4670.26,0.00105633,,,,8.297,19:24:12,05/06/2024,A1-4,1,4
0.62801117,0.00134087,17.37547781,0.00072776,0.3397534,0.24725986,29.363,3.2041,391.628863,731.976,0.00046756,,,,8.562,19:24:55,05/06/2024,A1-5,1,5
1.00558456,0.0013497,17.4899289,0.00093641,0.4255929,0.39852863,29.3633,5.1643,7262.851316,1996.036,0.00051443,,,,9.109,19:29:45,05/06/2024,A3-1,3,1
1.02313361,0.00111484,14.44657575,0.00073494,0.62276738,0.45769407,40.1263,5.931,290.119145,5011.07,0.00079136,,,,8.281,19:30:35,05/06/2024,A3-2,3,2
1.02545482,0.00163897,21.23840919,0.00107245,0.60382315,0.64756936,38.53,8.3915,203.542621,4187.854,0.00114929,,,,8.562,19:31:43,05/06/2024,A3-3,3,3
1.03968351,0.00153358,19.87270369,0.00106842,0.64057452,0.6844005,42.9243,8.8687,242.361799,5465.571,0.00114345,,,,8.484,19:32:20,05/06/2024,A3-4,3,4
1.06525438,0.00160012,20.73499454,0.00110137,0.65955017,0.7264083,42.6162,9.4131,230.735712,4589.564,0.00121701,,,,8.5,19:33:24,05/06/2024,A3-5,3,5
0.59136177,0.0011702,15.16397671,0.00067901,0.33014113,0.22416978,32.3938,2.9049,387.239063,952.992,0.00041216,,,,9.234,19:38:02,05/06/2024,A4-1,4,1
0.97458378,0.00144446,18.71785669,0.00091129,0.55093554,0.50205978,35.6641,6.5059,320.02446,2767.915,0.00090232,,,,8.5,19:38:26,05/06/2024,A4-2,4,2
0.95572646,0.00139081,18.02269809,0.00085703,0.52915542,0.45349994,34.1174,5.8766,367.819598,2683.799,0.00082616,,,,8.297,19:39:13,05/06/2024,A4-3,4,3
0.99692324,0.00151842,19.67627115,0.00084595,0.65660071,0.55545179,36.6939,7.1978,310.855796,3601.394,0.00100088,,,,8.297,19:39:36,05/06/2024,A4-4,4,4
0.9799349,0.00124245,16.1001859,0.00087462,0.56401107,0.49329717,40.5165,6.3923,246.893159,7072.446,0.00085424,,,,8.359,19:43:53,05/06/2024,A4-5,4,5
1.00087461,0.00113796,14.74615807,0.00086207,0.5586176,0.48156592,42.2813,6.2403,292.980864,11369.182,0.00081268,,,,8.687,19:56:12,05/06/2024,A5-1,5,1
1.01095064,0.00114122,14.7883872,0.00084286,0.57880147,0.48785124,42.2852,6.3218,287.127944,10242.216,0.00082592,,,,8.5,19:56:43,05/06/2024,A5-2,5,2
0.93440804,0.00124434,16.12464831,0.00079491,0.54047608,0.42962825,36.9503,5.5673,456.420201,2397.064,0.00074551,,,,8.281,19:58:38,05/06/2024,A5-3,5,3
1.03379286,0.00127369,16.50492579,0.00091757,0.55463479,0.50891818,38.6503,6.5948,369.309227,4680.935,0.00088102,,,,8.5,19:59:26,05/06/2024,A5-4,5,4
1.0129563,0.00091004,11.7927099,0.00068006,0.58856411,0.40026131,43.4201,5.1867,396.009016,11032.232,0.0006631,,,,8.359,20:00:18,05/06/2024,A5-5,5,5
1.01182002,0.00146923,19.03893597,0.00090417,0.51746222,0.46787531,31.4728,6.0629,2366.50922,2774.016,0.00080927,,,,8.281,20:02:29,05/06/2024,A6-2,6,2
0.99163446,0.00159169,20.62579815,0.0009668,0.48364255,0.46758794,29.6246,6.0592,5259.848721,2075.902,0.00079787,,,,8.297,20:03:13,05/06/2024,A6-3,6,3
1.02578039,0.0012651,16.39366685,0.00090306,0.46624388,0.42104387,32.445,5.4561,2853.516946,4391.535,0.00073804,,,,8.297,20:04:00,05/06/2024,A6-4,6,4
1.04354906,0.0016259,21.06906132,0.0011656,0.46453336,0.54146042,31.9125,7.0165,2250.056905,3708.013,0.00096128,,,,8.297,20:04:33,05/06/2024,A6-5,6,5
