Voc V,Isc A,Jsc mA/cm2,Imax A,Vmax V,Pmax mW,Fill Factor,Efficiency,R at Voc,R at Isc,Power W,RShunt ohms,Cell Temp start,Cell Temp end,Exposure,Time,Date,name,Experiment,substrate,position
0.27853086,0.00081626,10.2032774,0.00041485,0.14382146,0.05966473,26.2431,0.7458,310.112973,387.383,0.00011736,,,,8.609,10:02:25,06/19/2024,001-1,RT,001,1
0.20240221,0.00056698,7.08729779,0.00028832,0.10141985,0.02924113,25.4805,0.3655,337.191006,369.914,5.811e-05,,,,8.234,10:03:28,06/19/2024,001-2,RT,001,2
0.1832619,0.00065917,8.23966894,0.00033218,0.09216815,0.03061613,25.3442,0.3827,271.801751,284.103,6.097e-05,,,,8.422,10:03:59,06/19/2024,001-3,RT,001,3
0.2426443,0.00103774,12.97174135,0.00052455,0.12308608,0.06456474,25.6411,0.8071,213.673417,293.421,0.0001279,,,,8.359,10:04:23,06/19/2024,001-4,RT,001,4
0.42603818,0.00099906,12.48820438,0.00051784,0.22058673,0.11422825,26.8371,1.4279,394.045371,479.653,0.0002225,,,,8.562,10:04:45,06/19/2024,001-5,RT,001,5
0.41764583,0.00107387,13.42334904,0.00056126,0.21628927,0.1213949,27.0671,1.5174,355.203103,459.257,0.0002355,,,,8.562,10:05:27,06/19/2024,001-6,RT,001,6
0.95318682,0.00119316,14.91446761,0.00075324,0.58605232,0.44143641,38.8144,5.518,354.635481,2244.867,0.00075111,,,,8.484,10:06:50,06/19/2024,002-1,RT,002,1
1.05483867,0.00158391,19.79882671,0.00118307,0.70666789,0.83603897,50.0393,10.4505,177.084014,4864.43,0.00128547,,,,8.484,10:09:15,06/19/2024,002-2,RT,002,2
1.05182083,0.00160888,20.110951,0.00118798,0.70779644,0.84084837,49.6882,10.5106,176.512439,4161.885,0.00129213,,,,8.297,10:11:16,06/19/2024,002-3,RT,002,3
0.74656705,0.00155799,19.47487332,0.00097955,0.46055331,0.45113707,38.786,5.6392,315.420993,1473.207,0.00075668,,,,8.562,10:12:20,06/19/2024,002-4,RT,002,4
0.99568593,0.00155881,19.48507487,0.00100146,0.65478327,0.65574157,42.2492,8.1968,275.823986,2829.774,0.0010781,,,,8.359,10:13:04,06/19/2024,002-5,RT,002,5
0.99149578,0.00170958,21.36971931,0.00133669,0.61641865,0.8239615,48.6102,10.2995,207.617697,5560.98,0.00127402,,,,8.562,10:14:34,06/19/2024,002-6,RT,002,6
1.06544448,0.00149061,18.63265356,0.0009886,0.71992975,0.71172265,44.8142,8.8965,212.863942,3047.141,0.00114499,,,,8.297,10:18:25,06/19/2024,003-1,RT,003,1
1.06274635,0.0015293,19.11621732,0.0010082,0.71473017,0.72059305,44.3372,9.0074,240.588115,3305.492,0.00116681,,,,8.281,10:19:21,06/19/2024,003-2,RT,003,2
0.83244769,0.00105579,13.19737863,0.00061911,0.48782259,0.30201709,34.3635,3.7752,455.579808,1616.759,0.00053795,,,,8.484,10:20:10,06/19/2024,003-3,RT,003,3
1.08255769,0.00168238,21.02977991,0.00133853,0.7396051,0.98998707,54.3568,12.3748,150.149764,9226.66,0.00146079,,,,8.5,10:20:49,06/19/2024,003-4,RT,003,4
1.10003452,0.00169172,21.14648163,0.00129326,0.74625292,0.96509912,51.8606,12.0637,152.146284,5291.365,0.00145746,,,,8.281,10:22:18,06/19/2024,003-5,RT,003,5
1.04537353,0.00169756,21.21946913,0.00131383,0.64962422,0.85349636,48.0956,10.6687,214.429217,5053.326,0.00132811,,,,8.5,10:24:14,06/19/2024,003-6,RT,003,6
1.03751309,0.0014013,17.51625267,0.00099568,0.74450962,0.74128978,50.9874,9.2661,160.330049,4175.71,0.00112386,,,,8.437,10:31:15,06/19/2024,004-1,Dry Ice,004,1
1.03426643,0.00127501,15.93764993,0.0008479,0.68745302,0.58289084,44.2019,7.2861,225.942037,2988.59,0.00094369,,,,8.297,10:33:45,06/19/2024,004-2,Dry Ice,004,2
1.03097586,0.00141102,17.63776417,0.00101982,0.74001326,0.75468011,51.8777,9.4335,163.577916,5642.334,0.00113816,,,,8.375,10:36:45,06/19/2024,004-3,Dry Ice,004,3
1.03944421,0.00149852,18.73155512,0.00120285,0.73966093,0.8896992,57.1187,11.1212,122.821876,9391.406,0.00128569,,,,8.375,10:38:28,06/19/2024,004-4,Dry Ice,004,4
1.05459293,0.00158129,19.76616257,0.00122345,0.69145948,0.84596849,50.7291,10.5746,157.2121,7120.236,0.00130517,,,,8.562,10:39:56,06/19/2024,004-5,Dry Ice,004,5
1.04497458,0.00149667,18.70838878,0.00119766,0.74615956,0.89364816,57.1392,11.1706,122.080771,8632.368,0.00128955,,,,8.359,10:42:23,06/19/2024,004-6,Dry Ice,004,6
1.04004532,0.00136467,17.05842324,0.00091121,0.66544045,0.60635338,42.7213,7.5794,264.914205,2923.778,0.0009952,,,,8.5,10:49:22,06/19/2024,005-1,Dry Ice,005,1
1.04207169,0.00138157,17.26962057,0.00093615,0.67209406,0.6291807,43.7024,7.8648,232.619964,3185.027,0.00102532,,,,8.5,10:51:50,06/19/2024,005-2,Dry Ice,005,2
1.05152669,0.0013831,17.28868783,0.00092074,0.66917004,0.61613367,42.3646,7.7017,240.994106,3013.399,0.00101949,,,,8.297,10:54:00,06/19/2024,005-3,Dry Ice,005,3
1.04141627,0.00148021,18.5025657,0.00101908,0.75431042,0.7686999,49.8667,9.6087,165.600285,4693.037,0.00118549,,,,8.562,10:56:30,06/19/2024,005-4,Dry Ice,005,4
1.05503485,0.00148713,18.58911906,0.00099113,0.75379688,0.74710816,47.6176,9.3389,173.93292,3936.169,0.0011763,,,,8.5,10:57:56,06/19/2024,005-5,Dry Ice,005,5
1.04730936,0.00153276,19.15950186,0.00101609,0.76969007,0.78207772,48.7193,9.776,162.06259,3889.905,0.00122021,,,,8.359,11:00:06,06/19/2024,005-6,Dry Ice,005,6
1.04170648,0.00144302,18.03770944,0.00100454,0.74449021,0.74787196,49.752,9.3484,157.804577,3835.263,0.00114878,,,,8.562,11:05:44,06/19/2024,006-1,Dry Ice,006,1
0.10327356,0.00068248,8.53102077,0.0003437,0.05105208,0.01754658,24.895,0.2193,146.315149,151.809,3.507e-05,,,,8.359,11:07:34,06/19/2024,006-2,Dry Ice,006,2
0.82222556,0.00133886,16.73572856,0.00082116,0.49124071,0.40338875,36.6436,5.0424,316.449457,1529.504,0.00070246,,,,8.562,11:08:20,06/19/2024,006-3,Dry Ice,006,3
1.03386777,0.00151304,18.91306172,0.00122556,0.74341233,0.9110943,58.2434,11.3887,121.757958,11585.601,0.00130126,,,,8.375,11:10:32,06/19/2024,006-4,Dry Ice,006,4
1.04185357,0.00150703,18.83790975,0.00118242,0.73632098,0.87064391,55.4512,10.883,128.56009,8235.984,0.00127937,,,,8.484,11:12:04,06/19/2024,006-5,Dry Ice,006,5
1.0555928,0.00155173,19.39657747,0.00118306,0.7288015,0.86221252,52.6384,10.7777,138.738524,6413.884,0.00130203,,,,8.547,11:13:20,06/19/2024,006-6,Dry Ice,006,6
0.48734455,0.00068478,8.55973004,0.0003522,0.2512315,0.08848352,26.5141,1.106,665.871982,778.603,0.00017306,,,,8.422,11:15:33,06/19/2024,007-1,LN2,007,1
0.33466384,0.00079812,9.97647381,0.0004034,0.16879806,0.06809335,25.4935,0.8512,395.554699,430.694,0.00013511,,,,8.219,11:16:17,06/19/2024,007-2,LN2,007,2
0.60611943,0.00079723,9.96540005,0.00042607,0.33042491,0.14078287,29.1345,1.7598,519.539029,984.76,0.00026713,,,,8.219,11:16:45,06/19/2024,007-3,LN2,007,3
1.00922583,0.00107104,13.38799658,0.00089564,0.77529302,0.69438046,64.2397,8.6798,128.314813,16356.067,0.00093406,,,,8.359,11:18:20,06/19/2024,007-4,LN2,007,4
0.3734605,0.00086215,10.77693096,0.00044294,0.1899926,0.08415547,26.1368,1.0519,386.805976,469.854,0.00016561,,,,8.359,11:20:30,06/19/2024,008-1,LN2,008,1
1.02069506,0.00096554,12.06928887,0.00078691,0.78194613,0.61531938,62.4357,7.6915,150.487533,15061.197,0.0008409,,,,8.203,11:23:19,06/19/2024,008-2,LN2,008,2
1.01378038,0.0009957,12.4462552,0.00077159,0.73664079,0.56838245,56.3077,7.1048,194.58207,9249.197,0.00082042,,,,8.437,11:24:59,06/19/2024,008-3,LN2,008,3
1.03421137,0.00097221,12.15257551,0.00076774,0.78506437,0.60272231,59.9445,7.534,157.833574,11913.097,0.00084264,,,,8.219,11:26:25,06/19/2024,008-4,LN2,008,4
0.32411232,0.00086077,10.75961446,0.00043581,0.16385302,0.07140944,25.5961,0.8926,338.631358,395.158,0.00014123,,,,8.359,11:28:16,06/19/2024,009-1,LN2,009,1
1.02666834,0.00098448,12.30599287,0.00073528,0.75925795,0.55826441,55.2336,6.9783,174.805843,6952.858,0.00081345,,,,8.422,11:29:15,06/19/2024,009-2,LN2,009,2
1.02364058,0.00097814,12.22675338,0.00077486,0.7859827,0.60902921,60.826,7.6129,140.205493,11126.178,0.00084421,,,,8.203,11:30:33,06/19/2024,009-3,LN2,009,3
0.2467587,0.00082559,10.31984939,0.00043183,0.12464438,0.05382579,26.4213,0.6728,257.168899,338.341,0.00010597,,,,8.359,11:31:45,06/19/2024,009-4,LN2,009,4
