Labels,3-1,
Type,Emission Scan,
Comment,,
Start,700.00,
Stop,900.00,
Step,1.00,
Fixed/Offset,500.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.0001483,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.0004635,
Detector,Detector 1,

700.00,1.40927490E+3,
701.00,1.55097266E+3,
702.00,1.71166711E+3,
703.00,1.77593176E+3,
704.00,1.87193909E+3,
705.00,1.96292566E+3,
706.00,2.08264160E+3,
707.00,2.41938818E+3,
708.00,2.47470215E+3,
709.00,2.54878076E+3,
710.00,2.77786621E+3,
711.00,2.99804565E+3,
712.00,3.15698511E+3,
713.00,3.41025073E+3,
714.00,3.41628052E+3,
715.00,3.60339771E+3,
716.00,3.94201782E+3,
717.00,4.20281299E+3,
718.00,4.47607324E+3,
719.00,4.83871484E+3,
720.00,5.39035547E+3,
721.00,5.60055566E+3,
722.00,5.95131592E+3,
723.00,6.26050830E+3,
724.00,6.96879590E+3,
725.00,7.54403516E+3,
726.00,8.35356250E+3,
727.00,8.68041895E+3,
728.00,9.25240332E+3,
729.00,9.84285938E+3,
730.00,1.11321816E+4,
731.00,1.19407695E+4,
732.00,1.30804697E+4,
733.00,1.36106709E+4,
734.00,1.46747754E+4,
735.00,1.60970332E+4,
736.00,1.69640801E+4,
737.00,1.89370313E+4,
738.00,1.98673262E+4,
739.00,2.19414180E+4,
740.00,2.38241094E+4,
741.00,2.56928164E+4,
742.00,2.73681777E+4,
743.00,2.99899766E+4,
744.00,3.20888008E+4,
745.00,3.40968164E+4,
746.00,3.68843320E+4,
747.00,4.10397930E+4,
748.00,4.40650352E+4,
749.00,4.75672891E+4,
750.00,5.12723516E+4,
751.00,5.58383008E+4,
752.00,6.07204688E+4,
753.00,6.55950313E+4,
754.00,7.06621172E+4,
755.00,7.69149141E+4,
756.00,8.21726250E+4,
757.00,8.91855859E+4,
758.00,9.62847031E+4,
759.00,1.04075484E+5,
760.00,1.11823180E+5,
761.00,1.20927648E+5,
762.00,1.30421188E+5,
763.00,1.41440172E+5,
764.00,1.51488250E+5,
765.00,1.64961109E+5,
766.00,1.77327156E+5,
767.00,1.90540391E+5,
768.00,2.05028391E+5,
769.00,2.20456703E+5,
770.00,2.36758094E+5,
771.00,2.57766484E+5,
772.00,2.74606156E+5,
773.00,2.96189719E+5,
774.00,3.22623375E+5,
775.00,3.40920469E+5,
776.00,3.65354250E+5,
777.00,3.85243125E+5,
778.00,4.11701813E+5,
779.00,4.47827375E+5,
780.00,4.80076906E+5,
781.00,5.07905719E+5,
782.00,5.32052688E+5,
783.00,5.72418438E+5,
784.00,6.01859625E+5,
785.00,6.32331313E+5,
786.00,6.62127438E+5,
787.00,6.95706938E+5,
788.00,7.33212875E+5,
789.00,7.69255250E+5,
790.00,7.96594375E+5,
791.00,8.26678938E+5,
792.00,8.49757438E+5,
793.00,8.72360063E+5,
794.00,8.91885063E+5,
795.00,9.03737250E+5,
796.00,9.15110438E+5,
797.00,9.25883375E+5,
798.00,9.41056500E+5,
799.00,9.47289438E+5,
800.00,9.39466625E+5,
801.00,9.39591188E+5,
802.00,9.28403750E+5,
803.00,9.10500563E+5,
804.00,8.95523375E+5,
805.00,8.80375250E+5,
806.00,8.61938813E+5,
807.00,8.43649375E+5,
808.00,8.19392750E+5,
809.00,8.04071313E+5,
810.00,7.78159938E+5,
811.00,7.53875375E+5,
812.00,7.31098125E+5,
813.00,7.07899250E+5,
814.00,6.84372500E+5,
815.00,6.63328875E+5,
816.00,6.40367438E+5,
817.00,6.14950188E+5,
818.00,5.92377000E+5,
819.00,5.76064938E+5,
820.00,5.58967750E+5,
821.00,5.41600625E+5,
822.00,5.23496750E+5,
823.00,5.08810969E+5,
824.00,4.90173750E+5,
825.00,4.65978031E+5,
826.00,4.46983719E+5,
827.00,4.29627344E+5,
828.00,4.09954563E+5,
829.00,3.93147563E+5,
830.00,3.70143844E+5,
831.00,3.54201469E+5,
832.00,3.36756656E+5,
833.00,3.19109094E+5,
834.00,3.06166094E+5,
835.00,2.89873438E+5,
836.00,2.75336813E+5,
837.00,2.61328031E+5,
838.00,2.44587141E+5,
839.00,2.30612188E+5,
840.00,2.16448344E+5,
841.00,2.05036844E+5,
842.00,1.90734984E+5,
843.00,1.81852906E+5,
844.00,1.70233391E+5,
845.00,1.61104031E+5,
846.00,1.50181391E+5,
847.00,1.41383266E+5,
848.00,1.31724734E+5,
849.00,1.20848508E+5,
850.00,1.12285742E+5,
851.00,1.05707633E+5,
852.00,9.95638047E+4,
853.00,9.27130391E+4,
854.00,8.62962188E+4,
855.00,8.05472500E+4,
856.00,7.56238672E+4,
857.00,7.00018359E+4,
858.00,6.66106719E+4,
859.00,6.14388203E+4,
860.00,5.72339844E+4,
861.00,5.37779063E+4,
862.00,4.98093633E+4,
863.00,4.66588398E+4,
864.00,4.34513633E+4,
865.00,4.07048594E+4,
866.00,3.80928164E+4,
867.00,3.67878945E+4,
868.00,3.35236719E+4,
869.00,3.11667676E+4,
870.00,2.95047793E+4,
871.00,2.77196348E+4,
872.00,2.59011133E+4,
873.00,2.49230898E+4,
874.00,2.22953438E+4,
875.00,2.17478750E+4,
876.00,2.13722520E+4,
877.00,2.05085000E+4,
878.00,2.05560508E+4,
879.00,2.18696523E+4,
880.00,2.48528125E+4,
881.00,3.16717578E+4,
882.00,3.45282148E+4,
883.00,3.24177246E+4,
884.00,2.94232832E+4,
885.00,2.33500938E+4,
886.00,1.90651016E+4,
887.00,1.67489160E+4,
888.00,1.49388584E+4,
889.00,1.28534697E+4,
890.00,1.26430264E+4,
891.00,1.09765273E+4,
892.00,1.20797275E+4,
893.00,1.19329707E+4,
894.00,1.44856709E+4,
895.00,1.36633848E+4,
896.00,1.38037998E+4,
897.00,1.23111963E+4,
898.00,1.14043105E+4,
899.00,1.00865830E+4,
900.00,9.88917285E+3,
