Labels,AD,
Type,Emission Scan,
Comment,,
Start,700.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,634.300,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.99968487,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99968487,
Detector,Detector 1,

700.00,-1.44371750E+2,
702.00,-4.38866333E+2,
704.00,2.96489746E+2,
706.00,1.50481491E+2,
708.00,4.57366394E+2,
710.00,3.09418854E+2,
712.00,9.42791138E+2,
714.00,1.59506516E+2,
716.00,-8.10658264E+1,
718.00,1.64486252E+2,
720.00,1.08494202E+3,
722.00,0.00000000E+0,
724.00,4.30145111E+2,
726.00,5.23929199E+2,
728.00,-8.86018600E+1,
730.00,1.79836197E+2,
732.00,5.48025330E+2,
734.00,0.00000000E+0,
736.00,9.41858276E+2,
738.00,1.05224792E+3,
740.00,1.26354834E+3,
742.00,9.86516342E+1,
744.00,7.01408630E+2,
746.00,9.17019104E+2,
748.00,1.86576660E+3,
750.00,1.26504688E+3,
752.00,1.28691211E+3,
754.00,1.52844946E+3,
756.00,2.66630859E+3,
758.00,2.93924121E+3,
760.00,2.76707300E+3,
762.00,1.99713391E+3,
764.00,4.54331543E+3,
766.00,4.49521094E+3,
768.00,6.43450977E+3,
770.00,6.30237402E+3,
772.00,6.03359766E+3,
774.00,8.09471533E+3,
776.00,9.69407324E+3,
778.00,9.87481641E+3,
780.00,8.39676465E+3,
782.00,1.28876006E+4,
784.00,1.41082061E+4,
786.00,1.73801152E+4,
788.00,1.68130117E+4,
790.00,1.89079570E+4,
792.00,1.82918574E+4,
794.00,2.26204043E+4,
796.00,2.39340605E+4,
798.00,2.84861563E+4,
800.00,2.21275840E+4,
802.00,2.61039766E+4,
804.00,2.36460879E+4,
806.00,2.42898945E+4,
808.00,2.60034785E+4,
810.00,2.44792129E+4,
812.00,2.35917461E+4,
814.00,2.43122441E+4,
816.00,2.06421582E+4,
818.00,2.01686563E+4,
820.00,1.76253945E+4,
822.00,1.83876680E+4,
824.00,1.80062891E+4,
826.00,1.81904980E+4,
828.00,1.37086836E+4,
830.00,1.32355010E+4,
832.00,1.39399805E+4,
834.00,1.24689209E+4,
836.00,1.21634844E+4,
838.00,8.38224902E+3,
840.00,9.69844531E+3,
842.00,7.91639648E+3,
844.00,7.56025195E+3,
846.00,5.09291699E+3,
848.00,4.08780713E+3,
850.00,6.34463623E+3,
852.00,2.67118604E+3,
854.00,4.07687915E+3,
856.00,3.69664526E+3,
858.00,1.41912927E+3,
860.00,1.70330383E+3,
862.00,0.00000000E+0,
864.00,1.83225574E+3,
866.00,5.73795313E+3,
868.00,1.72020422E+3,
870.00,3.33294214E+3,
872.00,3.54053369E+3,
874.00,1.72441846E+3,
876.00,3.73413940E+2,
878.00,-1.22089038E+3,
880.00,7.12434326E+3,
882.00,1.47328076E+3,
884.00,3.82368994E+3,
886.00,2.44368115E+3,
888.00,0.00000000E+0,
890.00,-3.91756226E+3,
892.00,-8.95106873E+2,
894.00,7.16312988E+3,
896.00,1.99828672E+4,
898.00,1.08486299E+4,
900.00,3.13037915E+3,
