Labels,AD3,
Type,Emission Scan,
Comment,,
Start,700.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,634.300,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.99968487,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99968487,
Detector,Detector 1,

700.00,7.20353012E+1,
702.00,3.65187927E+2,
704.00,1.62729675E+3,
706.00,5.99922058E+2,
708.00,-7.60691147E+1,
710.00,1.07959009E+3,
712.00,1.25261487E+3,
714.00,1.82708508E+3,
716.00,2.50623999E+3,
718.00,9.04485718E+2,
720.00,1.33531323E+3,
722.00,1.10032349E+3,
724.00,1.37732690E+3,
726.00,3.23629736E+3,
728.00,2.04039429E+3,
730.00,3.59822266E+3,
732.00,5.01938135E+3,
734.00,4.44827539E+3,
736.00,5.27550439E+3,
738.00,5.55978516E+3,
740.00,6.91387109E+3,
742.00,8.98664648E+3,
744.00,8.73748438E+3,
746.00,1.16349150E+4,
748.00,1.28637490E+4,
750.00,1.44907695E+4,
752.00,1.82148965E+4,
754.00,2.14004883E+4,
756.00,2.43253730E+4,
758.00,2.74604629E+4,
760.00,3.18944277E+4,
762.00,3.63311563E+4,
764.00,4.49924492E+4,
766.00,4.71783203E+4,
768.00,6.10513555E+4,
770.00,6.89588047E+4,
772.00,7.68801719E+4,
774.00,9.90949922E+4,
776.00,1.04795750E+5,
778.00,1.23251281E+5,
780.00,1.41161734E+5,
782.00,1.58466500E+5,
784.00,1.84404234E+5,
786.00,2.00595484E+5,
788.00,2.21242250E+5,
790.00,2.52655797E+5,
792.00,2.81306344E+5,
794.00,3.28776844E+5,
796.00,3.53227156E+5,
798.00,3.75817125E+5,
800.00,3.96190438E+5,
802.00,4.19840469E+5,
804.00,4.21532594E+5,
806.00,4.42604219E+5,
808.00,4.63053750E+5,
810.00,4.48039688E+5,
812.00,4.60718406E+5,
814.00,4.61212250E+5,
816.00,4.84088063E+5,
818.00,4.58281125E+5,
820.00,4.51498188E+5,
822.00,4.21845156E+5,
824.00,4.41941281E+5,
826.00,4.19791000E+5,
828.00,3.99962781E+5,
830.00,3.87026375E+5,
832.00,3.53079781E+5,
834.00,3.39453500E+5,
836.00,3.17739844E+5,
838.00,2.73875313E+5,
840.00,2.60663250E+5,
842.00,2.25065500E+5,
844.00,1.97901219E+5,
846.00,1.76608359E+5,
848.00,1.70897422E+5,
850.00,1.46180953E+5,
852.00,1.13090055E+5,
854.00,1.11817672E+5,
856.00,8.73514453E+4,
858.00,7.57342031E+4,
860.00,6.59971563E+4,
862.00,5.51929531E+4,
864.00,5.32970508E+4,
866.00,4.98355977E+4,
868.00,3.68920273E+4,
870.00,3.50816016E+4,
872.00,2.51056035E+4,
874.00,2.17457871E+4,
876.00,3.09998203E+4,
878.00,2.19714453E+4,
880.00,2.71728809E+4,
882.00,2.60279609E+4,
884.00,2.18405625E+4,
886.00,1.10011436E+4,
888.00,1.37703145E+4,
890.00,6.26287207E+3,
892.00,-8.94359741E+2,
894.00,1.12399209E+4,
896.00,1.05659404E+4,
898.00,9.48859863E+3,
900.00,2.34437031E+4,
