Labels,AD4,
Type,Emission Scan,
Comment,,
Start,700.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,634.300,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.99968487,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99968487,
Detector,Detector 1,

700.00,1.44825830E+3,
702.00,1.09854272E+3,
704.00,2.15134644E+3,
706.00,1.50324585E+3,
708.00,2.28683179E+3,
710.00,3.01620532E+3,
712.00,2.82719458E+3,
714.00,2.63350513E+3,
716.00,3.16156738E+3,
718.00,3.37689917E+3,
720.00,5.18298584E+3,
722.00,6.17745117E+3,
724.00,9.53330273E+3,
726.00,8.64663477E+3,
728.00,1.12735830E+4,
730.00,1.38791807E+4,
732.00,1.15229414E+4,
734.00,1.81978906E+4,
736.00,1.83101699E+4,
738.00,2.39745898E+4,
740.00,2.64814219E+4,
742.00,3.06521621E+4,
744.00,3.49863828E+4,
746.00,4.36981289E+4,
748.00,5.08470703E+4,
750.00,6.20188047E+4,
752.00,6.58676250E+4,
754.00,8.28063125E+4,
756.00,9.67435625E+4,
758.00,1.12291328E+5,
760.00,1.34252125E+5,
762.00,1.54410234E+5,
764.00,1.82085656E+5,
766.00,2.18975359E+5,
768.00,2.45377578E+5,
770.00,2.79699375E+5,
772.00,3.33890813E+5,
774.00,3.74471531E+5,
776.00,4.40574531E+5,
778.00,5.07085875E+5,
780.00,5.57829125E+5,
782.00,6.56728750E+5,
784.00,7.35720750E+5,
786.00,8.39314750E+5,
788.00,9.44232563E+5,
790.00,1.03510794E+6,
792.00,1.14322238E+6,
794.00,1.22127888E+6,
796.00,1.33746925E+6,
798.00,1.40676700E+6,
800.00,1.47707338E+6,
802.00,1.52927675E+6,
804.00,1.62862388E+6,
806.00,1.64002788E+6,
808.00,1.67947788E+6,
810.00,1.70959113E+6,
812.00,1.68599450E+6,
814.00,1.70890113E+6,
816.00,1.69549338E+6,
818.00,1.63760913E+6,
820.00,1.63957588E+6,
822.00,1.60258938E+6,
824.00,1.56018650E+6,
826.00,1.47129413E+6,
828.00,1.41305363E+6,
830.00,1.31878213E+6,
832.00,1.19127325E+6,
834.00,1.13468113E+6,
836.00,1.01572563E+6,
838.00,9.18777313E+5,
840.00,8.07940188E+5,
842.00,7.06212000E+5,
844.00,6.35426563E+5,
846.00,5.43131313E+5,
848.00,4.61011031E+5,
850.00,4.01549438E+5,
852.00,3.53934719E+5,
854.00,3.01248938E+5,
856.00,2.55352750E+5,
858.00,2.33926813E+5,
860.00,2.06773609E+5,
862.00,1.85507516E+5,
864.00,1.55740047E+5,
866.00,1.24452305E+5,
868.00,1.12838164E+5,
870.00,9.74644141E+4,
872.00,8.10754453E+4,
874.00,8.47081797E+4,
876.00,5.48804141E+4,
878.00,5.73101328E+4,
880.00,4.72184453E+4,
882.00,4.23221875E+4,
884.00,5.25705195E+4,
886.00,3.18606680E+4,
888.00,3.10284473E+4,
890.00,4.69617422E+4,
892.00,2.32194316E+4,
894.00,1.73599297E+4,
896.00,1.52587354E+4,
898.00,1.08463711E+4,
900.00,1.56681914E+4,
