Collective data

Labels,AD4,AD3,AD2,AD1,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,
Start,700.00,700.00,700.00,700.00,
Stop,900.00,900.00,900.00,900.00,
Step,2.00,2.00,2.00,2.00,
Fixed/Offset,634.300,634.300,634.300,634.300,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,
Repeats,1,1,1,1,
Dwell Time,0.10,0.10,0.10,0.10,
Lamp,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,
Scan Slit,0.99968487,0.99968487,0.99968487,0.99968487,
Fixed/Offset Polariser,None,None,None,None,
Fixed/Offset Slit,0.99968487,0.99968487,0.99968487,0.99968487,
Detector,Detector 1,Detector 1,Detector 1,Detector 1,

700.00,1.44825830E+3,7.20353012E+1,-1.44371750E+2,0.00000000E+0,
702.00,1.09854272E+3,3.65187927E+2,-4.38866333E+2,-3.65187927E+2,
704.00,2.15134644E+3,1.62729675E+3,2.96489746E+2,-1.47905273E+2,
706.00,1.50324585E+3,5.99922058E+2,1.50481491E+2,6.75193359E+2,
708.00,2.28683179E+3,-7.60691147E+1,4.57366394E+2,9.87870728E+2,
710.00,3.01620532E+3,1.07959009E+3,3.09418854E+2,9.24402466E+2,
712.00,2.82719458E+3,1.25261487E+3,9.42791138E+2,3.91117096E+2,
714.00,2.63350513E+3,1.82708508E+3,1.59506516E+2,7.95376205E+1,
716.00,3.16156738E+3,2.50623999E+3,-8.10658264E+1,4.04232269E+2,
718.00,3.37689917E+3,9.04485718E+2,1.64486252E+2,6.57122559E+2,
720.00,5.18298584E+3,1.33531323E+3,1.08494202E+3,-1.66809799E+2,
722.00,6.17745117E+3,1.10032349E+3,0.00000000E+0,1.26748889E+3,
724.00,9.53330273E+3,1.37732690E+3,4.30145111E+2,1.02955469E+3,
726.00,8.64663477E+3,3.23629736E+3,5.23929199E+2,9.60336487E+2,
728.00,1.12735830E+4,2.04039429E+3,-8.86018600E+1,6.21378601E+2,
730.00,1.38791807E+4,3.59822266E+3,1.79836197E+2,9.91784058E+2,
732.00,1.15229414E+4,5.01938135E+3,5.48025330E+2,2.19393042E+3,
