Labels,LN2-001 (RoomTemp) - 820nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,5.15195508E+3,
652.00,5.37447217E+3,
654.00,4.41915088E+3,
656.00,4.65284180E+3,
658.00,4.18456299E+3,
660.00,3.97202026E+3,
662.00,3.96035303E+3,
664.00,3.75509204E+3,
666.00,4.09054956E+3,
668.00,4.45560840E+3,
670.00,3.80981738E+3,
672.00,3.50198096E+3,
674.00,3.58496509E+3,
676.00,3.66934766E+3,
678.00,4.09171509E+3,
680.00,7.43455811E+2,
682.00,1.63162488E+3,
684.00,1.30389124E+3,
686.00,1.65004858E+3,
688.00,1.67320972E+3,
690.00,1.13175684E+3,
692.00,1.60831165E+3,
694.00,1.18794055E+3,
696.00,1.81835071E+3,
698.00,1.87043884E+3,
700.00,1.41081506E+3,
702.00,1.94836462E+3,
704.00,2.59882520E+3,
706.00,2.30828931E+3,
708.00,2.47225244E+3,
710.00,3.03145825E+3,
712.00,3.55342920E+3,
714.00,4.14112451E+3,
716.00,3.95521826E+3,
718.00,4.04286230E+3,
720.00,5.32132861E+3,
722.00,5.71412646E+3,
724.00,6.88535107E+3,
726.00,8.50950098E+3,
728.00,1.10569678E+4,
730.00,1.19288750E+4,
732.00,1.29315576E+4,
734.00,1.60116611E+4,
736.00,1.88154688E+4,
738.00,2.08806699E+4,
740.00,2.50382051E+4,
742.00,2.60798398E+4,
744.00,3.44184375E+4,
746.00,3.96448945E+4,
748.00,4.43279648E+4,
750.00,5.17620664E+4,
752.00,6.37076211E+4,
754.00,7.41331484E+4,
756.00,9.20325547E+4,
758.00,1.00523648E+5,
760.00,1.16196969E+5,
762.00,1.37824703E+5,
764.00,1.60525594E+5,
766.00,1.87371344E+5,
768.00,2.18846703E+5,
770.00,2.48662484E+5,
772.00,3.02515469E+5,
774.00,3.43396500E+5,
776.00,3.97343750E+5,
778.00,4.64109344E+5,
780.00,5.48753938E+5,
782.00,6.09863000E+5,
784.00,7.06936750E+5,
786.00,8.07042375E+5,
788.00,9.30793375E+5,
790.00,1.05299188E+6,
792.00,1.19038350E+6,
794.00,1.32445563E+6,
796.00,1.48492588E+6,
798.00,1.64388000E+6,
800.00,1.80451663E+6,
802.00,1.92930000E+6,
804.00,2.10575375E+6,
806.00,2.23120475E+6,
808.00,2.33348200E+6,
810.00,2.46234950E+6,
812.00,2.54144050E+6,
814.00,2.60311500E+6,
816.00,2.62178125E+6,
818.00,2.68109950E+6,
820.00,2.72729225E+6,
822.00,2.72811275E+6,
824.00,2.67901775E+6,
826.00,2.61380375E+6,
828.00,2.51801175E+6,
830.00,2.38703600E+6,
832.00,2.26167950E+6,
834.00,2.09798500E+6,
836.00,1.95135375E+6,
838.00,1.77640600E+6,
840.00,1.59377163E+6,
842.00,1.41817200E+6,
844.00,1.27425588E+6,
846.00,1.11539225E+6,
848.00,9.91283375E+5,
850.00,8.56382938E+5,
852.00,7.42708938E+5,
854.00,6.53937625E+5,
856.00,5.56003438E+5,
858.00,4.89599594E+5,
860.00,4.21395281E+5,
862.00,3.79741781E+5,
864.00,3.23812219E+5,
866.00,2.70938250E+5,
868.00,2.31668344E+5,
870.00,2.15707109E+5,
872.00,1.75222063E+5,
874.00,1.59012359E+5,
876.00,1.34140391E+5,
878.00,1.13961391E+5,
880.00,1.15232375E+5,
882.00,1.19467266E+5,
884.00,9.99754063E+4,
886.00,7.91961797E+4,
888.00,6.54724336E+4,
890.00,6.33003555E+4,
892.00,5.70908633E+4,
894.00,4.97130820E+4,
896.00,5.42860195E+4,
898.00,3.70452227E+4,
900.00,2.96145586E+4,
