Labels,LN2-002 (RoomTemp),
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,8.66072852E+3,
652.00,8.50333887E+3,
654.00,8.58799023E+3,
656.00,6.87660498E+3,
658.00,8.32531543E+3,
660.00,8.61433105E+3,
662.00,7.65038477E+3,
664.00,6.78973047E+3,
666.00,7.42030127E+3,
668.00,7.02679053E+3,
670.00,6.85265820E+3,
672.00,6.32253857E+3,
674.00,6.64022461E+3,
676.00,6.83537158E+3,
678.00,6.73573438E+3,
680.00,1.21552271E+3,
682.00,1.75025427E+3,
684.00,1.70282080E+3,
686.00,1.93459412E+3,
688.00,1.62966589E+3,
690.00,2.34670752E+3,
692.00,2.55055469E+3,
694.00,1.74857117E+3,
696.00,2.94389624E+3,
698.00,2.73120117E+3,
700.00,2.48950854E+3,
702.00,3.51220068E+3,
704.00,3.82571362E+3,
706.00,4.76732471E+3,
708.00,5.27217529E+3,
710.00,6.62008740E+3,
712.00,8.29461230E+3,
714.00,8.64766992E+3,
716.00,1.02310039E+4,
718.00,1.07699141E+4,
720.00,1.41724414E+4,
722.00,1.66949902E+4,
724.00,1.81890234E+4,
726.00,2.36123730E+4,
728.00,2.77617246E+4,
730.00,3.05768340E+4,
732.00,3.56777148E+4,
734.00,4.07708086E+4,
736.00,4.90833281E+4,
738.00,6.02899414E+4,
740.00,7.02327578E+4,
742.00,8.44250234E+4,
744.00,9.69786953E+4,
746.00,1.11410352E+5,
748.00,1.30857945E+5,
750.00,1.55929313E+5,
752.00,1.84455766E+5,
754.00,2.12408391E+5,
756.00,2.48639094E+5,
758.00,2.93581500E+5,
760.00,3.44066875E+5,
762.00,4.02527906E+5,
764.00,4.72542375E+5,
766.00,5.48831625E+5,
768.00,6.43980875E+5,
770.00,7.34220438E+5,
772.00,8.64659063E+5,
774.00,1.00393325E+6,
776.00,1.17299800E+6,
778.00,1.34841088E+6,
780.00,1.54733163E+6,
782.00,1.76505338E+6,
784.00,2.00637525E+6,
786.00,2.27511350E+6,
788.00,2.51446075E+6,
790.00,2.78297050E+6,
792.00,3.07899650E+6,
794.00,3.32668800E+6,
796.00,3.54532050E+6,
798.00,3.70102775E+6,
800.00,3.83061000E+6,
802.00,3.92191825E+6,
804.00,3.97515250E+6,
806.00,3.92979475E+6,
808.00,3.88748175E+6,
810.00,3.77267275E+6,
812.00,3.66506175E+6,
814.00,3.52823825E+6,
816.00,3.38386125E+6,
818.00,3.23547650E+6,
820.00,3.08703075E+6,
822.00,2.98424000E+6,
824.00,2.81642200E+6,
826.00,2.67196800E+6,
828.00,2.51243225E+6,
830.00,2.32163725E+6,
832.00,2.11267175E+6,
834.00,1.97989938E+6,
836.00,1.78007088E+6,
838.00,1.63241988E+6,
840.00,1.45777725E+6,
842.00,1.32782863E+6,
844.00,1.15396050E+6,
846.00,1.03587369E+6,
848.00,9.19676625E+5,
850.00,8.16291125E+5,
852.00,7.05665688E+5,
854.00,6.23741375E+5,
856.00,5.63251750E+5,
858.00,4.92432688E+5,
860.00,4.39850875E+5,
862.00,3.84238875E+5,
864.00,3.35187844E+5,
866.00,2.96235469E+5,
868.00,2.72797813E+5,
870.00,2.29627719E+5,
872.00,2.08218281E+5,
874.00,1.88043984E+5,
876.00,1.59997953E+5,
878.00,1.53089031E+5,
880.00,1.43392875E+5,
882.00,1.42195250E+5,
884.00,1.25665102E+5,
886.00,1.07930750E+5,
888.00,9.31960859E+4,
890.00,7.27999609E+4,
892.00,6.48473242E+4,
894.00,7.11895625E+4,
896.00,6.83459766E+4,
898.00,5.22797852E+4,
900.00,5.19867461E+4,
