Labels,LN2-009 (DryIce_-20C) - 800nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,3.55278516E+3,
652.00,3.48631445E+3,
654.00,3.81412720E+3,
656.00,2.95270679E+3,
658.00,3.24809766E+3,
660.00,3.28880859E+3,
662.00,3.59214624E+3,
664.00,2.85243750E+3,
666.00,3.21983301E+3,
668.00,3.73501563E+3,
670.00,3.34790527E+3,
672.00,3.51853833E+3,
674.00,2.97168872E+3,
676.00,2.84592358E+3,
678.00,3.11443457E+3,
680.00,8.85015991E+2,
682.00,1.24541174E+3,
684.00,1.37200867E+3,
686.00,1.52437268E+3,
688.00,1.52173303E+3,
690.00,1.81866064E+3,
692.00,1.84406689E+3,
694.00,2.10797461E+3,
696.00,2.49821899E+3,
698.00,2.41094189E+3,
700.00,2.54436548E+3,
702.00,3.07958472E+3,
704.00,3.37584570E+3,
706.00,4.01680737E+3,
708.00,4.49282568E+3,
710.00,5.75368994E+3,
712.00,7.38202246E+3,
714.00,8.23621094E+3,
716.00,9.26339355E+3,
718.00,1.05379521E+4,
720.00,1.21537656E+4,
722.00,1.55116924E+4,
724.00,1.70300781E+4,
726.00,2.01010547E+4,
728.00,2.43383281E+4,
730.00,2.81871641E+4,
732.00,3.21061797E+4,
734.00,3.68512070E+4,
736.00,4.33405781E+4,
738.00,5.47837500E+4,
740.00,6.00796914E+4,
742.00,7.22641328E+4,
744.00,8.35707891E+4,
746.00,1.00636344E+5,
748.00,1.15949359E+5,
750.00,1.41129281E+5,
752.00,1.64466766E+5,
754.00,1.87756297E+5,
756.00,2.15078359E+5,
758.00,2.54553891E+5,
760.00,2.96525813E+5,
762.00,3.53291594E+5,
764.00,4.11726188E+5,
766.00,4.83055500E+5,
768.00,5.49246250E+5,
770.00,6.32131875E+5,
772.00,7.26287688E+5,
774.00,8.31355438E+5,
776.00,9.69956750E+5,
778.00,1.08760075E+6,
780.00,1.25650300E+6,
782.00,1.43094350E+6,
784.00,1.55111675E+6,
786.00,1.70987863E+6,
788.00,1.87317488E+6,
790.00,2.03792250E+6,
792.00,2.13376300E+6,
794.00,2.23238650E+6,
796.00,2.28947900E+6,
798.00,2.37442750E+6,
800.00,2.33508850E+6,
802.00,2.35539550E+6,
804.00,2.29662650E+6,
806.00,2.23936775E+6,
808.00,2.18283025E+6,
810.00,2.09544050E+6,
812.00,2.03732200E+6,
814.00,1.98178700E+6,
816.00,1.88776263E+6,
818.00,1.83641838E+6,
820.00,1.77725838E+6,
822.00,1.73595150E+6,
824.00,1.64527713E+6,
826.00,1.57650638E+6,
828.00,1.48835300E+6,
830.00,1.38858450E+6,
832.00,1.28839600E+6,
834.00,1.18860275E+6,
836.00,1.08739963E+6,
838.00,9.88955313E+5,
840.00,8.92721250E+5,
842.00,7.91834063E+5,
844.00,7.20238500E+5,
846.00,6.37393938E+5,
848.00,5.72901750E+5,
850.00,4.99647281E+5,
852.00,4.38558469E+5,
854.00,3.85638594E+5,
856.00,3.44616688E+5,
858.00,3.08503125E+5,
860.00,2.68458063E+5,
862.00,2.39881656E+5,
864.00,2.12276266E+5,
866.00,1.79171688E+5,
868.00,1.67487719E+5,
870.00,1.40356000E+5,
872.00,1.25807953E+5,
874.00,1.12026016E+5,
876.00,1.00738727E+5,
878.00,9.16345938E+4,
880.00,8.25291250E+4,
882.00,7.61332813E+4,
884.00,7.22843750E+4,
886.00,5.80290469E+4,
888.00,4.61614570E+4,
890.00,4.70238828E+4,
892.00,4.38551133E+4,
894.00,4.45193828E+4,
896.00,3.70872695E+4,
898.00,3.77605547E+4,
900.00,2.37524023E+4,
