Labels,LN2-010 (LN_-50C) - 810nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,5.69422119E+3,
652.00,5.94513281E+3,
654.00,5.23081934E+3,
656.00,4.88399268E+3,
658.00,4.92761377E+3,
660.00,5.36182861E+3,
662.00,5.12633105E+3,
664.00,5.18637695E+3,
666.00,4.61501270E+3,
668.00,4.63193555E+3,
670.00,5.34014258E+3,
672.00,4.93780713E+3,
674.00,4.58285596E+3,
676.00,4.37891846E+3,
678.00,4.97631885E+3,
680.00,2.33819897E+3,
682.00,2.70697754E+3,
684.00,2.45214600E+3,
686.00,3.35289673E+3,
688.00,2.63291284E+3,
690.00,2.80755298E+3,
692.00,3.79760815E+3,
694.00,3.47291284E+3,
696.00,4.06375684E+3,
698.00,5.10765869E+3,
700.00,5.33181641E+3,
702.00,6.96928125E+3,
704.00,7.19619482E+3,
706.00,8.15348145E+3,
708.00,1.04828252E+4,
710.00,1.17419746E+4,
712.00,1.35760039E+4,
714.00,1.69070508E+4,
716.00,1.87144277E+4,
718.00,2.15085781E+4,
720.00,2.43160176E+4,
722.00,2.82479434E+4,
724.00,3.21219316E+4,
726.00,4.10143906E+4,
728.00,5.15026133E+4,
730.00,5.74077891E+4,
732.00,6.24828164E+4,
734.00,7.55309766E+4,
736.00,8.83441094E+4,
738.00,1.05797406E+5,
740.00,1.24667852E+5,
742.00,1.44499266E+5,
744.00,1.70690672E+5,
746.00,2.05829828E+5,
748.00,2.38604875E+5,
750.00,2.79920625E+5,
752.00,3.26241750E+5,
754.00,3.87045188E+5,
756.00,4.49859844E+5,
758.00,5.30164563E+5,
760.00,6.11770813E+5,
762.00,7.26884188E+5,
764.00,8.37625125E+5,
766.00,9.87438438E+5,
768.00,1.13684175E+6,
770.00,1.33308438E+6,
772.00,1.54850363E+6,
774.00,1.79716263E+6,
776.00,2.04365813E+6,
778.00,2.33090550E+6,
780.00,2.68124200E+6,
782.00,3.03866475E+6,
784.00,3.46162775E+6,
786.00,3.85714100E+6,
788.00,4.29342800E+6,
790.00,4.72995650E+6,
792.00,5.20787600E+6,
794.00,5.66655750E+6,
796.00,6.06123400E+6,
798.00,6.45559550E+6,
800.00,6.74427650E+6,
802.00,7.10018250E+6,
804.00,7.30583150E+6,
806.00,7.42316200E+6,
808.00,7.57627500E+6,
810.00,7.55127550E+6,
812.00,7.53904900E+6,
814.00,7.37721750E+6,
816.00,7.22017150E+6,
818.00,6.93679650E+6,
820.00,6.58108150E+6,
822.00,6.19750450E+6,
824.00,5.78346400E+6,
826.00,5.25583200E+6,
828.00,4.81562600E+6,
830.00,4.31328000E+6,
832.00,3.87265800E+6,
834.00,3.41855850E+6,
836.00,3.02467275E+6,
838.00,2.62627125E+6,
840.00,2.30926950E+6,
842.00,2.02375750E+6,
844.00,1.75286263E+6,
846.00,1.52394363E+6,
848.00,1.30220113E+6,
850.00,1.13145700E+6,
852.00,9.84663625E+5,
854.00,8.34484188E+5,
856.00,7.21406625E+5,
858.00,6.42383188E+5,
860.00,5.39328750E+5,
862.00,4.70728688E+5,
864.00,4.03724750E+5,
866.00,3.50693563E+5,
868.00,3.08432875E+5,
870.00,2.68660219E+5,
872.00,2.31814109E+5,
874.00,2.03510609E+5,
876.00,1.71524969E+5,
878.00,1.55755469E+5,
880.00,1.33223859E+5,
882.00,1.39232984E+5,
884.00,1.21874953E+5,
886.00,9.52173984E+4,
888.00,8.27984063E+4,
890.00,6.63645078E+4,
892.00,6.39722930E+4,
894.00,7.17830547E+4,
896.00,6.78374063E+4,
898.00,5.21559570E+4,
900.00,5.28288320E+4,
