Labels,LN2-013(LN_-50C) - 814nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,4.73462500E+3,
652.00,4.89364844E+3,
654.00,4.54435059E+3,
656.00,4.39052148E+3,
658.00,4.42986426E+3,
660.00,4.85071484E+3,
662.00,4.23473145E+3,
664.00,4.01926953E+3,
666.00,3.88056250E+3,
668.00,4.10254492E+3,
670.00,4.74639209E+3,
672.00,4.36407373E+3,
674.00,4.02072412E+3,
676.00,3.50272729E+3,
678.00,4.17557715E+3,
680.00,1.04320374E+3,
682.00,1.27079529E+3,
684.00,1.57089307E+3,
686.00,1.23789661E+3,
688.00,1.03060620E+3,
690.00,1.31880762E+3,
692.00,1.36319849E+3,
694.00,1.40643396E+3,
696.00,1.87500415E+3,
698.00,1.80271692E+3,
700.00,1.85298816E+3,
702.00,2.19920142E+3,
704.00,2.70490918E+3,
706.00,2.49131958E+3,
708.00,2.44979907E+3,
710.00,3.19119800E+3,
712.00,3.58986182E+3,
714.00,3.96974438E+3,
716.00,4.52764355E+3,
718.00,5.21059131E+3,
720.00,5.20339258E+3,
722.00,6.76231299E+3,
724.00,7.14106787E+3,
726.00,9.36541504E+3,
728.00,1.16392598E+4,
730.00,1.18916494E+4,
732.00,1.24353721E+4,
734.00,1.50666074E+4,
736.00,1.86946152E+4,
738.00,2.08986465E+4,
740.00,2.33416348E+4,
742.00,2.78639707E+4,
744.00,3.36623242E+4,
746.00,3.84162500E+4,
748.00,4.39601758E+4,
750.00,5.23855508E+4,
752.00,6.34378047E+4,
754.00,6.86838750E+4,
756.00,8.30596875E+4,
758.00,9.52748359E+4,
760.00,1.11167055E+5,
762.00,1.34763531E+5,
764.00,1.61039250E+5,
766.00,1.78019563E+5,
768.00,2.12560906E+5,
770.00,2.40086125E+5,
772.00,2.86625750E+5,
774.00,3.27561563E+5,
776.00,3.79359656E+5,
778.00,4.29031750E+5,
780.00,4.90494781E+5,
782.00,5.58572313E+5,
784.00,6.24013750E+5,
786.00,7.01560063E+5,
788.00,7.70189750E+5,
790.00,8.61068000E+5,
792.00,9.40903063E+5,
794.00,1.00590250E+6,
796.00,1.10214325E+6,
798.00,1.17317963E+6,
800.00,1.21782313E+6,
802.00,1.29163825E+6,
804.00,1.36523813E+6,
806.00,1.40510213E+6,
808.00,1.40585788E+6,
810.00,1.45914575E+6,
812.00,1.47730513E+6,
814.00,1.48574163E+6,
816.00,1.45232200E+6,
818.00,1.42687325E+6,
820.00,1.38931988E+6,
822.00,1.33017300E+6,
824.00,1.26174050E+6,
826.00,1.15672013E+6,
828.00,1.07320663E+6,
830.00,9.58969250E+5,
832.00,8.58295313E+5,
834.00,7.49200938E+5,
836.00,6.87436063E+5,
838.00,5.90909938E+5,
840.00,5.30926563E+5,
842.00,4.63421031E+5,
844.00,4.06211313E+5,
846.00,3.51655438E+5,
848.00,3.06653750E+5,
850.00,2.65932313E+5,
852.00,2.20501203E+5,
854.00,2.00693375E+5,
856.00,1.71526000E+5,
858.00,1.47409297E+5,
860.00,1.23779008E+5,
862.00,1.07567563E+5,
864.00,9.44460234E+4,
866.00,7.96228047E+4,
868.00,7.31740313E+4,
870.00,6.54172734E+4,
872.00,5.68763711E+4,
874.00,5.39679805E+4,
876.00,4.40761367E+4,
878.00,4.33187500E+4,
880.00,4.15467500E+4,
882.00,6.13356484E+4,
884.00,3.87489922E+4,
886.00,2.69672090E+4,
888.00,2.21678262E+4,
890.00,2.70478555E+4,
892.00,1.87975449E+4,
894.00,2.46370273E+4,
896.00,3.18848633E+4,
898.00,1.74681406E+4,
900.00,1.69778418E+4,
