Labels,LN2-015(LN_-50C) - NoQuench - 810nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,4.56087207E+3,
652.00,4.38685693E+3,
654.00,4.10522314E+3,
656.00,3.78221387E+3,
658.00,4.64928271E+3,
660.00,3.96288232E+3,
662.00,4.08056812E+3,
664.00,4.10925000E+3,
666.00,3.78069434E+3,
668.00,3.90902881E+3,
670.00,3.88451294E+3,
672.00,3.99743896E+3,
674.00,3.54769971E+3,
676.00,4.10702441E+3,
678.00,3.54102100E+3,
680.00,1.46827124E+3,
682.00,1.37858777E+3,
684.00,1.33165222E+3,
686.00,1.17274658E+3,
688.00,1.83677661E+3,
690.00,1.74785059E+3,
692.00,1.63557019E+3,
694.00,1.82498535E+3,
696.00,1.99466858E+3,
698.00,2.09353198E+3,
700.00,2.56041309E+3,
702.00,2.74029468E+3,
704.00,2.65030420E+3,
706.00,2.89498364E+3,
708.00,3.09910254E+3,
710.00,4.40349414E+3,
712.00,4.78580322E+3,
714.00,5.82564355E+3,
716.00,5.78044385E+3,
718.00,6.42063184E+3,
720.00,7.16612744E+3,
722.00,8.32939746E+3,
724.00,1.00648828E+4,
726.00,1.24572822E+4,
728.00,1.26942197E+4,
730.00,1.40685391E+4,
732.00,1.65288379E+4,
734.00,1.96735547E+4,
736.00,2.27789199E+4,
738.00,2.56283125E+4,
740.00,3.00380508E+4,
742.00,3.67886992E+4,
744.00,4.06726367E+4,
746.00,4.65301211E+4,
748.00,5.40343828E+4,
750.00,6.09681953E+4,
752.00,7.65495000E+4,
754.00,8.44252813E+4,
756.00,9.92879297E+4,
758.00,1.16116250E+5,
760.00,1.36861469E+5,
762.00,1.53928313E+5,
764.00,1.81546422E+5,
766.00,2.05115750E+5,
768.00,2.33166656E+5,
770.00,2.73941313E+5,
772.00,3.14415094E+5,
774.00,3.62600781E+5,
776.00,4.14721063E+5,
778.00,4.66558156E+5,
780.00,5.26845688E+5,
782.00,5.85837250E+5,
784.00,6.63345938E+5,
786.00,7.46864188E+5,
788.00,8.33073188E+5,
790.00,9.15415813E+5,
792.00,1.00252231E+6,
794.00,1.06521763E+6,
796.00,1.15173738E+6,
798.00,1.23779700E+6,
800.00,1.32442813E+6,
802.00,1.37944838E+6,
804.00,1.41840600E+6,
806.00,1.45389963E+6,
808.00,1.47599700E+6,
810.00,1.49989463E+6,
812.00,1.47595638E+6,
814.00,1.43728175E+6,
816.00,1.38889013E+6,
818.00,1.31823475E+6,
820.00,1.22837538E+6,
822.00,1.15022988E+6,
824.00,1.07979613E+6,
826.00,9.81655563E+5,
828.00,8.91247000E+5,
830.00,7.89803313E+5,
832.00,6.84520875E+5,
834.00,6.07303688E+5,
836.00,5.31040500E+5,
838.00,4.77840500E+5,
840.00,4.08692844E+5,
842.00,3.60319406E+5,
844.00,3.12550406E+5,
846.00,2.76024844E+5,
848.00,2.34636578E+5,
850.00,1.99294922E+5,
852.00,1.68122250E+5,
854.00,1.53531875E+5,
856.00,1.29912758E+5,
858.00,1.16448711E+5,
860.00,9.47939453E+4,
862.00,8.13542109E+4,
864.00,7.54880391E+4,
866.00,6.38607969E+4,
868.00,5.68484453E+4,
870.00,5.09013086E+4,
872.00,4.43126953E+4,
874.00,4.41822695E+4,
876.00,3.93227344E+4,
878.00,3.11363809E+4,
880.00,3.51664219E+4,
882.00,4.60897344E+4,
884.00,3.23762598E+4,
886.00,2.44137070E+4,
888.00,2.11877891E+4,
890.00,1.50699951E+4,
892.00,1.44828320E+4,
894.00,1.93410898E+4,
896.00,1.86712305E+4,
898.00,1.05570713E+4,
900.00,1.11369668E+4,
