Labels,LN2-016(LN_-50C) - AirQuench - 808nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,1.13975605E+4,
652.00,1.21022051E+4,
654.00,1.09734590E+4,
656.00,1.09865811E+4,
658.00,1.00469170E+4,
660.00,1.06499268E+4,
662.00,9.52496582E+3,
664.00,8.97715625E+3,
666.00,1.02314502E+4,
668.00,9.46898242E+3,
670.00,1.03949912E+4,
672.00,9.33198340E+3,
674.00,9.23404688E+3,
676.00,8.53324805E+3,
678.00,9.80657617E+3,
680.00,2.74405493E+3,
682.00,3.13999536E+3,
684.00,3.09024829E+3,
686.00,3.48570776E+3,
688.00,3.06419385E+3,
690.00,2.81232642E+3,
692.00,3.65938013E+3,
694.00,3.40824707E+3,
696.00,3.83593921E+3,
698.00,3.64676782E+3,
700.00,3.94222827E+3,
702.00,4.31844629E+3,
704.00,4.40643652E+3,
706.00,5.38709131E+3,
708.00,5.72316895E+3,
710.00,6.74142529E+3,
712.00,8.90315625E+3,
714.00,8.84694824E+3,
716.00,8.49707324E+3,
718.00,9.31860938E+3,
720.00,1.09280762E+4,
722.00,1.28245791E+4,
724.00,1.49898291E+4,
726.00,1.79260449E+4,
728.00,2.09767656E+4,
730.00,2.20444512E+4,
732.00,2.29837012E+4,
734.00,2.68608281E+4,
736.00,2.96885898E+4,
738.00,3.53940977E+4,
740.00,4.18882070E+4,
742.00,4.84945352E+4,
744.00,5.72581758E+4,
746.00,6.66458438E+4,
748.00,7.67014844E+4,
750.00,9.06125859E+4,
752.00,1.01341023E+5,
754.00,1.16303125E+5,
756.00,1.40530219E+5,
758.00,1.62192469E+5,
760.00,1.90483484E+5,
762.00,2.23956344E+5,
764.00,2.58395016E+5,
766.00,2.97163563E+5,
768.00,3.48302219E+5,
770.00,4.01985281E+5,
772.00,4.68438844E+5,
774.00,5.33359688E+5,
776.00,6.28715375E+5,
778.00,7.04367000E+5,
780.00,8.11794375E+5,
782.00,9.34940813E+5,
784.00,1.05283738E+6,
786.00,1.16480350E+6,
788.00,1.32806213E+6,
790.00,1.46702250E+6,
792.00,1.60750800E+6,
794.00,1.77588075E+6,
796.00,1.91312225E+6,
798.00,2.04520388E+6,
800.00,2.16476250E+6,
802.00,2.25054600E+6,
804.00,2.35626550E+6,
806.00,2.36431475E+6,
808.00,2.40051850E+6,
810.00,2.35675325E+6,
812.00,2.31102275E+6,
814.00,2.24725350E+6,
816.00,2.12579675E+6,
818.00,1.99657188E+6,
820.00,1.85541675E+6,
822.00,1.75268363E+6,
824.00,1.59793625E+6,
826.00,1.41674150E+6,
828.00,1.28013563E+6,
830.00,1.14523200E+6,
832.00,9.95141250E+5,
834.00,8.78820250E+5,
836.00,7.83357125E+5,
838.00,6.81370625E+5,
840.00,5.87740500E+5,
842.00,5.15770906E+5,
844.00,4.42551406E+5,
846.00,3.80737438E+5,
848.00,3.26432906E+5,
850.00,2.86922219E+5,
852.00,2.55793469E+5,
854.00,2.20861531E+5,
856.00,1.81312953E+5,
858.00,1.56548141E+5,
860.00,1.36481422E+5,
862.00,1.18365609E+5,
864.00,1.04503477E+5,
866.00,9.47343516E+4,
868.00,8.20089844E+4,
870.00,6.75636406E+4,
872.00,6.39543047E+4,
874.00,5.52862773E+4,
876.00,5.38862617E+4,
878.00,4.46792656E+4,
880.00,5.93867578E+4,
882.00,7.55459531E+4,
884.00,4.91595938E+4,
886.00,3.74189609E+4,
888.00,3.16630215E+4,
890.00,2.27307441E+4,
892.00,2.32180742E+4,
894.00,2.96162949E+4,
896.00,2.73237363E+4,
898.00,2.01389883E+4,
900.00,2.22077773E+4,
