Labels,LN2-018(DryIce_-20C) - AirQuench - 814nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,7.16518555E+3,
652.00,7.63096387E+3,
654.00,6.36732471E+3,
656.00,6.99468213E+3,
658.00,6.30128564E+3,
660.00,6.07825391E+3,
662.00,6.28234619E+3,
664.00,5.70151074E+3,
666.00,6.27229492E+3,
668.00,6.45369189E+3,
670.00,5.77323145E+3,
672.00,5.47417334E+3,
674.00,6.26539355E+3,
676.00,5.68909814E+3,
678.00,5.39286084E+3,
680.00,2.25304614E+3,
682.00,2.42958130E+3,
684.00,2.70082275E+3,
686.00,2.76120166E+3,
688.00,2.84435986E+3,
690.00,2.90675439E+3,
692.00,3.22323853E+3,
694.00,3.61783130E+3,
696.00,3.71464600E+3,
698.00,3.86132520E+3,
700.00,3.45381909E+3,
702.00,4.01548975E+3,
704.00,4.81600000E+3,
706.00,5.39146387E+3,
708.00,6.19672119E+3,
710.00,7.52584570E+3,
712.00,9.26204199E+3,
714.00,9.85723730E+3,
716.00,1.15849932E+4,
718.00,1.20818613E+4,
720.00,1.47314219E+4,
722.00,1.57826748E+4,
724.00,1.94219648E+4,
726.00,2.41213789E+4,
728.00,2.75668262E+4,
730.00,3.22535332E+4,
732.00,3.65656055E+4,
734.00,4.40334531E+4,
736.00,5.04081445E+4,
738.00,5.43544883E+4,
740.00,6.78516484E+4,
742.00,7.75622656E+4,
744.00,9.37623125E+4,
746.00,1.08001406E+5,
748.00,1.29253883E+5,
750.00,1.52686016E+5,
752.00,1.76025016E+5,
754.00,2.04055188E+5,
756.00,2.43185844E+5,
758.00,2.81791563E+5,
760.00,3.24666188E+5,
762.00,3.79889094E+5,
764.00,4.49975594E+5,
766.00,5.27799438E+5,
768.00,6.07726500E+5,
770.00,6.98161750E+5,
772.00,8.12704250E+5,
774.00,9.39456625E+5,
776.00,1.09692463E+6,
778.00,1.25723575E+6,
780.00,1.45136588E+6,
782.00,1.63025550E+6,
784.00,1.88242313E+6,
786.00,2.11504650E+6,
788.00,2.40181750E+6,
790.00,2.69462725E+6,
792.00,3.00333700E+6,
794.00,3.30595500E+6,
796.00,3.58628075E+6,
798.00,3.90544575E+6,
800.00,4.19442800E+6,
802.00,4.43638700E+6,
804.00,4.67667350E+6,
806.00,4.86538550E+6,
808.00,5.00874950E+6,
810.00,5.14235450E+6,
812.00,5.20943100E+6,
814.00,5.23768900E+6,
816.00,5.15646900E+6,
818.00,5.11352950E+6,
820.00,4.96136650E+6,
822.00,4.74439900E+6,
824.00,4.52857300E+6,
826.00,4.19580200E+6,
828.00,3.88401325E+6,
830.00,3.54354350E+6,
832.00,3.18193950E+6,
834.00,2.86889750E+6,
836.00,2.56832800E+6,
838.00,2.25568675E+6,
840.00,1.97650613E+6,
842.00,1.73199350E+6,
844.00,1.50176500E+6,
846.00,1.31686250E+6,
848.00,1.13871525E+6,
850.00,1.00187275E+6,
852.00,8.46940000E+5,
854.00,7.45897563E+5,
856.00,6.24636875E+5,
858.00,5.53439563E+5,
860.00,4.83026844E+5,
862.00,4.13864031E+5,
864.00,3.58027844E+5,
866.00,3.21991781E+5,
868.00,2.70407094E+5,
870.00,2.33989672E+5,
872.00,2.00546125E+5,
874.00,1.74928391E+5,
876.00,1.60507922E+5,
878.00,1.31205156E+5,
880.00,1.29780359E+5,
882.00,1.31908984E+5,
884.00,1.13915938E+5,
886.00,9.08594766E+4,
888.00,6.86710859E+4,
890.00,6.48342656E+4,
892.00,6.76968516E+4,
894.00,5.90971055E+4,
896.00,5.52387617E+4,
898.00,4.95723398E+4,
900.00,3.50093438E+4,
