FZS09 Emission Map

Labels,Ex=300.00nm,Ex=400.00nm,Ex=500.00nm,Ex=600.00nm,Ex=700.00nm,Ex=800.00nm,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,
Start,700.00,700.00,700.00,700.00,702.00,802.00,
Stop,950.00,950.00,950.00,950.00,950.00,950.00,
Step,0.500,0.500,0.500,0.500,0.500,0.500,
Fixed/Offset,300.00,400.00,500.00,600.00,700.00,800.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,False,False,
Repeats,1,1,1,1,1,1,
Dwell Time,0.10,0.10,0.10,0.10,0.10,0.10,
Lamp,Xenon,Xenon,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,
Scan Slit,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,
Fixed/Offset Polariser,None,None,None,None,None,None,
Fixed/Offset Slit,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,
Detector,Detector 1,Detector 1,Detector 1,Detector 1,Detector 1,Detector 1,

700.00,3.56877588E+3,4.81358838E+3,4.44557764E+3,4.67420410E+3, , ,
700.500,3.90684180E+3,4.89618066E+3,4.31825879E+3,4.08452832E+3, , ,
701.00,3.87520288E+3,5.02548682E+3,4.72116406E+3,4.63341211E+3, , ,
701.500,3.52451929E+3,4.96387158E+3,5.22478857E+3,4.54344434E+3, , ,
702.00,3.34673706E+3,5.14726514E+3,5.12527832E+3,5.18159131E+3,5.27479880E+7, ,
702.500,3.75676636E+3,5.51810596E+3,5.11487939E+3,4.84842871E+3,3.68890920E+7, ,
703.00,3.54923267E+3,5.31849268E+3,5.30630371E+3,4.59741553E+3,2.10111060E+7, ,
703.500,3.95058984E+3,5.64973340E+3,5.18267334E+3,5.15780078E+3,9.62599400E+6, ,
704.00,4.47360938E+3,5.83285889E+3,5.35771240E+3,5.53093262E+3,2.93835800E+6, ,
704.500,4.47710400E+3,6.31194189E+3,5.96325684E+3,5.79590918E+3,8.69718625E+5, ,
705.00,4.09035107E+3,6.21455566E+3,6.16145068E+3,5.80596240E+3,1.58483609E+5, ,
705.500,4.16433936E+3,6.16138428E+3,6.02000049E+3,5.93684912E+3,1.08025023E+5, ,
706.00,4.69076709E+3,6.84037598E+3,6.71244629E+3,6.19559912E+3,9.11369766E+4, ,
706.500,4.84034570E+3,6.79592529E+3,6.52579102E+3,6.79995313E+3,8.02830938E+4, ,
707.00,4.39808301E+3,7.21187842E+3,6.78534180E+3,6.77810840E+3,7.67544141E+4, ,
707.500,4.71723926E+3,7.46273828E+3,7.22639941E+3,6.93579395E+3,7.00405547E+4, ,
708.00,4.89780273E+3,8.02644238E+3,8.15937842E+3,7.11200488E+3,6.28739102E+4, ,
708.500,5.63017090E+3,7.58774902E+3,7.50385596E+3,7.60518799E+3,5.87379492E+4, ,
709.00,5.40590332E+3,8.73984863E+3,8.02596826E+3,7.84531494E+3,5.27120352E+4, ,
709.500,5.71545068E+3,8.64391113E+3,8.07316113E+3,8.04637012E+3,4.89430508E+4, ,
710.00,5.43382764E+3,8.73372656E+3,8.21217188E+3,7.97530566E+3,4.37226133E+4, ,
710.500,5.63059375E+3,9.56178809E+3,9.19987012E+3,9.43651563E+3,4.26174297E+4, ,
711.00,6.32581689E+3,9.45402148E+3,9.02282129E+3,8.72015723E+3,4.00216094E+4, ,
711.500,6.00081299E+3,1.05364658E+4,9.51854492E+3,9.10201855E+3,3.62694961E+4, ,
