Labels,FZS09_803_5,
Type,Emission Scan,
Comment,,
Start,700.00,
Stop,900.00,
Step,0.500,
Fixed/Offset,500.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.30,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99968487,
Detector,Detector 1,

700.00,3.18831812E+3,
700.500,3.08385278E+3,
701.00,3.09081104E+3,
701.500,3.51349048E+3,
702.00,3.59468555E+3,
702.500,3.92806836E+3,
703.00,3.37035254E+3,
703.500,3.91807422E+3,
704.00,4.16884570E+3,
704.500,4.16881787E+3,
705.00,4.93878564E+3,
705.500,5.11709521E+3,
706.00,4.64708643E+3,
706.500,5.19458838E+3,
707.00,4.99918994E+3,
707.500,5.35084375E+3,
708.00,5.78489648E+3,
708.500,6.02477051E+3,
709.00,6.45267285E+3,
709.500,6.63068164E+3,
710.00,6.97952881E+3,
710.500,7.52572314E+3,
711.00,6.99508252E+3,
711.500,8.00504541E+3,
712.00,7.90526465E+3,
712.500,8.60251953E+3,
713.00,9.18624316E+3,
713.500,8.82427832E+3,
714.00,9.25498242E+3,
714.500,9.14986328E+3,
715.00,1.08043623E+4,
715.500,1.04660156E+4,
716.00,1.06058047E+4,
716.500,1.17907529E+4,
717.00,1.14513242E+4,
717.500,1.32799971E+4,
718.00,1.31229531E+4,
718.500,1.39729600E+4,
719.00,1.50131836E+4,
719.500,1.45659561E+4,
720.00,1.47778809E+4,
720.500,1.50206104E+4,
721.00,1.62003896E+4,
721.500,1.75053359E+4,
722.00,1.86050449E+4,
722.500,1.89471992E+4,
723.00,1.96940684E+4,
723.500,1.97747930E+4,
724.00,2.20464004E+4,
724.500,2.29424824E+4,
725.00,2.39352461E+4,
725.500,2.39348457E+4,
726.00,2.52322266E+4,
726.500,2.66277090E+4,
727.00,2.77259609E+4,
727.500,2.78675625E+4,
728.00,2.89874395E+4,
728.500,3.02532617E+4,
729.00,3.22345664E+4,
729.500,3.41487383E+4,
730.00,3.49200703E+4,
730.500,3.71495391E+4,
731.00,3.80211133E+4,
731.500,3.93639336E+4,
732.00,4.21742773E+4,
732.500,4.30635078E+4,
733.00,4.43270117E+4,
733.500,4.77373906E+4,
734.00,4.98696758E+4,
734.500,5.06833047E+4,
735.00,5.37155703E+4,
735.500,5.40232266E+4,
736.00,5.76452031E+4,
736.500,5.91703789E+4,
737.00,6.27411367E+4,
737.500,6.62167656E+4,
738.00,6.84947734E+4,
738.500,6.93040703E+4,
739.00,7.30908047E+4,
739.500,7.85052109E+4,
740.00,8.26613516E+4,
740.500,8.49610078E+4,
741.00,8.84876719E+4,
741.500,9.13836641E+4,
742.00,9.27752188E+4,
742.500,1.02957617E+5,
743.00,1.00537961E+5,
743.500,1.07568742E+5,
744.00,1.13408656E+5,
744.500,1.17688531E+5,
745.00,1.23105539E+5,
745.500,1.29032688E+5,
746.00,1.30185180E+5,
746.500,1.38747219E+5,
747.00,1.45343656E+5,
747.500,1.51573328E+5,
748.00,1.55129406E+5,
748.500,1.61996406E+5,
749.00,1.68414344E+5,
749.500,1.74914813E+5,
750.00,1.81977484E+5,
750.500,1.91130594E+5,
751.00,1.98908375E+5,
751.500,2.04752391E+5,
752.00,2.14468781E+5,
752.500,2.25839844E+5,
753.00,2.34225594E+5,
753.500,2.37393625E+5,
754.00,2.56526000E+5,
754.500,2.66032063E+5,
755.00,2.70393313E+5,
755.500,2.88583938E+5,
756.00,3.01633250E+5,
756.500,3.13765094E+5,
757.00,3.16377438E+5,
757.500,3.39474094E+5,
758.00,3.50385906E+5,
758.500,3.62679938E+5,
759.00,3.74472000E+5,
759.500,3.96803000E+5,
760.00,4.14077938E+5,
760.500,4.26496156E+5,
761.00,4.42397813E+5,
761.500,4.55641531E+5,
762.00,4.78788375E+5,
762.500,5.03252656E+5,
763.00,5.21688813E+5,
763.500,5.39983250E+5,
764.00,5.62032125E+5,
764.500,5.85210750E+5,
765.00,6.04451625E+5,
765.500,6.28483188E+5,
766.00,6.56645063E+5,
766.500,6.79143438E+5,
767.00,7.04634313E+5,
767.500,7.31223750E+5,
768.00,7.64240938E+5,
768.500,7.92976813E+5,
769.00,8.28857000E+5,
769.500,8.63264375E+5,
770.00,8.92236063E+5,
770.500,9.32531750E+5,
771.00,9.56102938E+5,
771.500,9.90515375E+5,
772.00,1.03377281E+6,
772.500,1.07557013E+6,
773.00,1.10798963E+6,
773.500,1.14362150E+6,
774.00,1.19759425E+6,
774.500,1.23240163E+6,
775.00,1.29193275E+6,
775.500,1.34141500E+6,
776.00,1.36652213E+6,
776.500,1.42733050E+6,
777.00,1.46928238E+6,
777.500,1.53982925E+6,
778.00,1.57223488E+6,
778.500,1.65495013E+6,
779.00,1.69972538E+6,
779.500,1.75394000E+6,
780.00,1.81611475E+6,
780.500,1.87276400E+6,
781.00,1.92687475E+6,
781.500,1.98727625E+6,
782.00,2.05156550E+6,
782.500,2.12990675E+6,
783.00,2.18798200E+6,
783.500,2.25956950E+6,
784.00,2.31729175E+6,
784.500,2.39368175E+6,
785.00,2.44562100E+6,
785.500,2.53637450E+6,
786.00,2.59960800E+6,
786.500,2.68324625E+6,
787.00,2.74359150E+6,
787.500,2.79754175E+6,
788.00,2.88033900E+6,
788.500,2.95730700E+6,
789.00,3.01591125E+6,
789.500,3.09519650E+6,
790.00,3.16593700E+6,
790.500,3.22526075E+6,
791.00,3.30742700E+6,
791.500,3.36588775E+6,
792.00,3.41632250E+6,
792.500,3.51208975E+6,
793.00,3.55399200E+6,
793.500,3.61933750E+6,
794.00,3.67327950E+6,
794.500,3.71765025E+6,
795.00,3.77356975E+6,
795.500,3.81729875E+6,
796.00,3.84448025E+6,
796.500,3.90054125E+6,
797.00,3.96149650E+6,
797.500,3.99120450E+6,
798.00,4.01440050E+6,
798.500,4.06428850E+6,
799.00,4.08131050E+6,
799.500,4.09610200E+6,
800.00,4.11705975E+6,
800.500,4.12853250E+6,
801.00,4.12722750E+6,
801.500,4.15367150E+6,
802.00,4.19139675E+6,
802.500,4.18135025E+6,
803.00,4.17352500E+6,
803.500,4.17837925E+6,
804.00,4.18029775E+6,
804.500,4.15549250E+6,
805.00,4.15246075E+6,
805.500,4.14291525E+6,
806.00,4.13801225E+6,
806.500,4.09217700E+6,
807.00,4.12509700E+6,
807.500,4.06976850E+6,
808.00,4.03277400E+6,
808.500,4.03720800E+6,
809.00,3.98703250E+6,
809.500,3.96075125E+6,
810.00,3.93959250E+6,
810.500,3.92483375E+6,
811.00,3.87249925E+6,
811.500,3.87269950E+6,
812.00,3.78855875E+6,
812.500,3.80574100E+6,
813.00,3.77585550E+6,
813.500,3.72672400E+6,
814.00,3.68795700E+6,
814.500,3.64573050E+6,
815.00,3.59556450E+6,
815.500,3.56189800E+6,
816.00,3.50481950E+6,
816.500,3.47273825E+6,
817.00,3.43291975E+6,
817.500,3.41357575E+6,
818.00,3.37121550E+6,
818.500,3.31818600E+6,
819.00,3.30474375E+6,
819.500,3.25002875E+6,
820.00,3.22025150E+6,
820.500,3.16310625E+6,
821.00,3.12819800E+6,
821.500,3.10259075E+6,
822.00,3.06448100E+6,
822.500,3.04019150E+6,
823.00,2.99855175E+6,
823.500,2.93470050E+6,
824.00,2.90746975E+6,
824.500,2.83331500E+6,
825.00,2.80311275E+6,
825.500,2.77515575E+6,
826.00,2.72273850E+6,
826.500,2.69197050E+6,
827.00,2.63084225E+6,
827.500,2.59367350E+6,
828.00,2.55110850E+6,
828.500,2.47397825E+6,
829.00,2.44377825E+6,
829.500,2.39164800E+6,
830.00,2.36472150E+6,
830.500,2.31212575E+6,
831.00,2.27245625E+6,
831.500,2.20587700E+6,
832.00,2.17714475E+6,
832.500,2.12069475E+6,
833.00,2.07910613E+6,
833.500,2.04205275E+6,
834.00,1.96173475E+6,
834.500,1.94941588E+6,
835.00,1.89959913E+6,
835.500,1.85838688E+6,
836.00,1.81213488E+6,
836.500,1.74276350E+6,
837.00,1.70808050E+6,
837.500,1.66079138E+6,
838.00,1.62448325E+6,
838.500,1.57462263E+6,
839.00,1.52938063E+6,
839.500,1.49917263E+6,
840.00,1.43649113E+6,
840.500,1.41089800E+6,
841.00,1.35459163E+6,
841.500,1.34467950E+6,
842.00,1.28741350E+6,
842.500,1.24112075E+6,
843.00,1.21011663E+6,
843.500,1.17883688E+6,
844.00,1.13160513E+6,
844.500,1.10222700E+6,
845.00,1.06712125E+6,
845.500,1.02674931E+6,
846.00,1.01630000E+6,
846.500,9.71485750E+5,
847.00,9.44558000E+5,
847.500,9.02489813E+5,
848.00,8.75286063E+5,
848.500,8.69289750E+5,
849.00,8.12448375E+5,
849.500,7.97151563E+5,
850.00,7.80772875E+5,
850.500,7.50811875E+5,
851.00,7.24410938E+5,
851.500,6.90469500E+5,
852.00,6.73919813E+5,
852.500,6.47709438E+5,
853.00,6.22261938E+5,
853.500,6.09449625E+5,
854.00,5.89312313E+5,
854.500,5.74084000E+5,
855.00,5.37993750E+5,
855.500,5.34010688E+5,
856.00,5.12092594E+5,
856.500,4.96990531E+5,
857.00,4.85331063E+5,
857.500,4.68010125E+5,
858.00,4.56972563E+5,
858.500,4.34597781E+5,
859.00,4.13047094E+5,
859.500,3.97341938E+5,
860.00,3.92843188E+5,
860.500,3.77795875E+5,
861.00,3.76566813E+5,
861.500,3.52802281E+5,
862.00,3.42800656E+5,
862.500,3.24918094E+5,
863.00,3.15014156E+5,
863.500,3.06383000E+5,
864.00,2.94679938E+5,
864.500,2.93398031E+5,
865.00,2.73350219E+5,
865.500,2.68838781E+5,
866.00,2.52335781E+5,
866.500,2.48560141E+5,
867.00,2.49058625E+5,
867.500,2.32254734E+5,
868.00,2.27534141E+5,
868.500,2.15562141E+5,
869.00,2.12786266E+5,
869.500,2.03746438E+5,
870.00,1.94865328E+5,
870.500,1.87834641E+5,
871.00,1.80044969E+5,
871.500,1.84305875E+5,
872.00,1.74393172E+5,
872.500,1.70708688E+5,
873.00,1.59822000E+5,
873.500,1.57046984E+5,
874.00,1.57340422E+5,
874.500,1.46432750E+5,
875.00,1.38658375E+5,
875.500,1.37158109E+5,
876.00,1.34475094E+5,
876.500,1.26560000E+5,
877.00,1.27247305E+5,
877.500,1.25201859E+5,
878.00,1.18162836E+5,
878.500,1.16246273E+5,
879.00,1.16835727E+5,
879.500,1.02161781E+5,
880.00,1.03264734E+5,
880.500,1.06864727E+5,
881.00,1.02689469E+5,
881.500,1.03534273E+5,
882.00,1.02188414E+5,
882.500,1.00576828E+5,
883.00,9.21035547E+4,
883.500,8.97066094E+4,
884.00,8.87674531E+4,
884.500,8.44842422E+4,
885.00,8.41533047E+4,
885.500,7.50309922E+4,
886.00,7.64590234E+4,
886.500,7.75483906E+4,
887.00,7.29296328E+4,
887.500,6.59759844E+4,
888.00,6.59151250E+4,
888.500,6.06944063E+4,
889.00,6.06056523E+4,
889.500,5.75055508E+4,
890.00,5.62343438E+4,
890.500,5.81625469E+4,
891.00,5.63483594E+4,
891.500,5.39592422E+4,
892.00,5.01322539E+4,
892.500,4.38674375E+4,
893.00,4.49391875E+4,
893.500,4.75101563E+4,
894.00,4.91695625E+4,
894.500,4.28154766E+4,
895.00,4.48499727E+4,
895.500,4.12924922E+4,
896.00,4.17126719E+4,
896.500,4.04696289E+4,
897.00,3.88084180E+4,
897.500,3.72321367E+4,
898.00,3.26302754E+4,
898.500,3.59714844E+4,
899.00,2.92326758E+4,
899.500,3.20217832E+4,
900.00,3.17247617E+4,
