Labels,FZS15,
Type,Emission Scan,
Comment,,
Start,700.00,
Stop,900.00,
Step,0.500,
Fixed/Offset,500.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99968487,
Detector,Detector 1,

700.00,3.31939307E+3,
700.500,2.66978638E+3,
701.00,2.67506372E+3,
701.500,2.68294629E+3,
702.00,3.10521802E+3,
702.500,2.61867480E+3,
703.00,3.21256982E+3,
703.500,2.51005737E+3,
704.00,3.01859180E+3,
704.500,3.11700610E+3,
705.00,2.97078906E+3,
705.500,2.59935986E+3,
706.00,3.29637427E+3,
706.500,2.75107471E+3,
707.00,3.18641943E+3,
707.500,3.32740210E+3,
708.00,2.86259375E+3,
708.500,3.44260425E+3,
709.00,3.89359253E+3,
709.500,3.72849023E+3,
710.00,3.56149487E+3,
710.500,3.92764746E+3,
711.00,5.22844287E+3,
711.500,5.07420557E+3,
712.00,4.38251270E+3,
712.500,4.98492725E+3,
713.00,4.06151392E+3,
713.500,4.80198877E+3,
714.00,4.90287842E+3,
714.500,5.05998340E+3,
715.00,5.66917480E+3,
715.500,5.63280811E+3,
716.00,5.42779980E+3,
716.500,6.28242578E+3,
717.00,6.53862646E+3,
717.500,6.89162061E+3,
718.00,6.63971875E+3,
718.500,7.22375586E+3,
719.00,7.99748193E+3,
719.500,7.59931982E+3,
720.00,8.14689209E+3,
720.500,7.93994922E+3,
721.00,8.45072266E+3,
721.500,8.42654785E+3,
722.00,8.29345898E+3,
722.500,8.41479102E+3,
723.00,9.99306445E+3,
723.500,9.90509570E+3,
724.00,1.18662891E+4,
724.500,1.06488711E+4,
725.00,1.00036699E+4,
725.500,1.04350625E+4,
726.00,1.15178408E+4,
726.500,1.29944434E+4,
727.00,1.34817441E+4,
727.500,1.42364131E+4,
728.00,1.42777900E+4,
728.500,1.52848662E+4,
729.00,1.49438701E+4,
729.500,1.43456328E+4,
730.00,1.58451348E+4,
730.500,1.72018828E+4,
731.00,1.77188438E+4,
731.500,1.83012266E+4,
732.00,1.94610137E+4,
732.500,2.04466563E+4,
733.00,2.16893262E+4,
733.500,2.21026855E+4,
734.00,2.26233965E+4,
734.500,2.42713320E+4,
735.00,2.55341758E+4,
735.500,2.28071035E+4,
736.00,2.92315449E+4,
736.500,2.64255664E+4,
737.00,2.77582246E+4,
737.500,2.86628066E+4,
738.00,3.16619395E+4,
738.500,2.98046113E+4,
739.00,3.33548047E+4,
739.500,3.43359063E+4,
740.00,3.46308711E+4,
740.500,3.54686563E+4,
741.00,3.56872344E+4,
741.500,3.94066992E+4,
742.00,4.13634180E+4,
742.500,4.27375508E+4,
743.00,4.78565898E+4,
743.500,4.84654297E+4,
744.00,4.82812188E+4,
744.500,5.18763945E+4,
745.00,5.27246367E+4,
745.500,5.39034492E+4,
746.00,5.33628047E+4,
746.500,5.68635000E+4,
747.00,6.03655352E+4,
747.500,6.05758984E+4,
748.00,6.23417227E+4,
748.500,6.81665703E+4,
749.00,6.74283438E+4,
749.500,7.13804141E+4,
750.00,7.62393125E+4,
750.500,7.66433516E+4,
751.00,8.15333125E+4,
751.500,8.06901016E+4,
752.00,9.10065781E+4,
752.500,8.62838438E+4,
753.00,9.26453047E+4,
753.500,9.40057109E+4,
754.00,1.03064203E+5,
754.500,1.07094539E+5,
755.00,1.10234945E+5,
755.500,1.13018742E+5,
756.00,1.19016508E+5,
756.500,1.22227734E+5,
757.00,1.27289164E+5,
757.500,1.31737141E+5,
758.00,1.40015891E+5,
758.500,1.47301016E+5,
759.00,1.48597250E+5,
759.500,1.55907875E+5,
760.00,1.63768563E+5,
760.500,1.66676250E+5,
761.00,1.69074500E+5,
761.500,1.80758016E+5,
762.00,1.91618281E+5,
762.500,1.89482516E+5,
763.00,2.10138844E+5,
763.500,2.13826797E+5,
764.00,2.17322156E+5,
764.500,2.29380500E+5,
765.00,2.40046078E+5,
765.500,2.43368750E+5,
766.00,2.61652656E+5,
766.500,2.60953359E+5,
767.00,2.74918594E+5,
767.500,2.82132188E+5,
768.00,2.92668156E+5,
768.500,2.99064688E+5,
769.00,3.19225781E+5,
769.500,3.29366000E+5,
770.00,3.37510625E+5,
770.500,3.63906406E+5,
771.00,3.60680438E+5,
771.500,3.83193063E+5,
772.00,3.97743094E+5,
772.500,3.96999750E+5,
773.00,4.30162469E+5,
773.500,4.35053719E+5,
774.00,4.53927000E+5,
774.500,4.52740250E+5,
775.00,4.84258844E+5,
775.500,5.02583094E+5,
776.00,5.39412625E+5,
776.500,5.39206500E+5,
777.00,5.58614750E+5,
777.500,5.86045438E+5,
778.00,6.07766000E+5,
778.500,6.24921313E+5,
779.00,6.49503938E+5,
779.500,6.63563313E+5,
780.00,6.90942688E+5,
780.500,7.06468375E+5,
781.00,7.29856250E+5,
781.500,7.53040000E+5,
782.00,7.86883625E+5,
782.500,8.07102188E+5,
783.00,8.41151063E+5,
783.500,8.57834313E+5,
784.00,8.77184063E+5,
784.500,9.09038688E+5,
785.00,9.30791250E+5,
785.500,9.80082250E+5,
786.00,9.94649375E+5,
786.500,1.02187888E+6,
787.00,1.04816869E+6,
787.500,1.07229213E+6,
788.00,1.11112375E+6,
788.500,1.14672925E+6,
789.00,1.14549275E+6,
789.500,1.18140563E+6,
790.00,1.23160825E+6,
790.500,1.25542625E+6,
791.00,1.29060325E+6,
791.500,1.32389100E+6,
792.00,1.37027650E+6,
792.500,1.37980100E+6,
793.00,1.40505688E+6,
793.500,1.43331550E+6,
794.00,1.45598188E+6,
794.500,1.49165575E+6,
795.00,1.52958025E+6,
795.500,1.53325463E+6,
796.00,1.58209413E+6,
796.500,1.59653913E+6,
797.00,1.64360888E+6,
797.500,1.65546138E+6,
798.00,1.66928400E+6,
798.500,1.72532713E+6,
799.00,1.72343088E+6,
799.500,1.75889738E+6,
800.00,1.75421363E+6,
800.500,1.79733500E+6,
801.00,1.79845550E+6,
801.500,1.82647000E+6,
802.00,1.85413663E+6,
802.500,1.88519625E+6,
803.00,1.90450725E+6,
803.500,1.90095138E+6,
804.00,1.88754025E+6,
804.500,1.90246450E+6,
805.00,1.93220125E+6,
805.500,1.95326063E+6,
806.00,1.92821850E+6,
806.500,1.94363775E+6,
807.00,1.97240375E+6,
807.500,1.92722538E+6,
808.00,1.99043038E+6,
808.500,1.94871150E+6,
809.00,1.99721075E+6,
809.500,1.98010075E+6,
810.00,1.96400938E+6,
810.500,1.97026213E+6,
811.00,1.96386875E+6,
811.500,1.96320775E+6,
812.00,1.95097488E+6,
812.500,1.95612600E+6,
813.00,1.94670738E+6,
813.500,1.92228763E+6,
814.00,1.92094375E+6,
814.500,1.89851538E+6,
815.00,1.90267725E+6,
815.500,1.90674388E+6,
816.00,1.91186900E+6,
816.500,1.83709113E+6,
817.00,1.87179150E+6,
817.500,1.82615250E+6,
818.00,1.80915838E+6,
818.500,1.82121875E+6,
819.00,1.78657138E+6,
819.500,1.77379013E+6,
820.00,1.71718563E+6,
820.500,1.70737613E+6,
821.00,1.68611063E+6,
821.500,1.65597513E+6,
822.00,1.65497888E+6,
822.500,1.64471750E+6,
823.00,1.60149250E+6,
823.500,1.59688738E+6,
824.00,1.55819688E+6,
824.500,1.52231938E+6,
825.00,1.50255213E+6,
825.500,1.45985538E+6,
826.00,1.41663438E+6,
826.500,1.38678538E+6,
827.00,1.38498013E+6,
827.500,1.36695063E+6,
828.00,1.31439950E+6,
828.500,1.28718963E+6,
829.00,1.24270075E+6,
829.500,1.21775363E+6,
830.00,1.18989513E+6,
830.500,1.15791688E+6,
831.00,1.13548863E+6,
831.500,1.11054950E+6,
832.00,1.05542413E+6,
832.500,1.03626588E+6,
833.00,1.02024625E+6,
833.500,9.94951188E+5,
834.00,9.82234375E+5,
834.500,9.30773313E+5,
835.00,9.15489500E+5,
835.500,9.05704438E+5,
836.00,8.65688688E+5,
836.500,8.11171813E+5,
837.00,8.01063625E+5,
837.500,7.70544438E+5,
838.00,7.49619000E+5,
838.500,7.30702063E+5,
839.00,7.02678438E+5,
839.500,6.76544938E+5,
840.00,6.41619125E+5,
840.500,6.36746625E+5,
841.00,6.10149438E+5,
841.500,6.04784688E+5,
842.00,5.92819938E+5,
842.500,5.73636063E+5,
843.00,5.44451875E+5,
843.500,5.29272188E+5,
844.00,5.19779125E+5,
844.500,4.82050250E+5,
845.00,4.68008469E+5,
845.500,4.61530469E+5,
846.00,4.52898156E+5,
846.500,4.26420781E+5,
847.00,4.25970000E+5,
847.500,3.91580094E+5,
848.00,3.82285094E+5,
848.500,3.82702500E+5,
849.00,3.64024688E+5,
849.500,3.40859594E+5,
850.00,3.36813500E+5,
850.500,3.33955875E+5,
851.00,3.14346281E+5,
851.500,3.03560563E+5,
852.00,2.94946219E+5,
852.500,2.78354531E+5,
853.00,2.69358688E+5,
853.500,2.63365375E+5,
854.00,2.52261766E+5,
854.500,2.54690953E+5,
855.00,2.44875109E+5,
855.500,2.31702703E+5,
856.00,2.27569719E+5,
856.500,2.12294688E+5,
857.00,2.07492469E+5,
857.500,1.94096531E+5,
858.00,1.99136781E+5,
858.500,1.89847328E+5,
859.00,1.78213297E+5,
859.500,1.61632484E+5,
860.00,1.72690359E+5,
860.500,1.57841484E+5,
861.00,1.61986141E+5,
861.500,1.53104969E+5,
862.00,1.49653984E+5,
862.500,1.39845047E+5,
863.00,1.36594547E+5,
863.500,1.25231664E+5,
864.00,1.35073109E+5,
864.500,1.27634359E+5,
865.00,1.18396789E+5,
865.500,1.14998984E+5,
866.00,1.16406586E+5,
866.500,1.05004109E+5,
867.00,9.55830859E+4,
867.500,1.00743078E+5,
868.00,8.17317031E+4,
868.500,8.88767813E+4,
869.00,9.35995391E+4,
869.500,8.10916953E+4,
870.00,8.83005703E+4,
870.500,8.28695313E+4,
871.00,7.55436406E+4,
871.500,7.16799844E+4,
872.00,6.65691719E+4,
872.500,7.03041328E+4,
873.00,6.96036797E+4,
873.500,6.44795859E+4,
874.00,6.53075820E+4,
874.500,6.25455039E+4,
875.00,6.25281875E+4,
875.500,5.90513711E+4,
876.00,5.43297578E+4,
876.500,5.56803984E+4,
877.00,5.37658242E+4,
877.500,5.01845781E+4,
878.00,6.14832344E+4,
878.500,5.19975938E+4,
879.00,5.09900469E+4,
879.500,5.26533047E+4,
880.00,4.72756758E+4,
880.500,5.04961523E+4,
881.00,6.11690547E+4,
881.500,7.07411328E+4,
882.00,7.45851797E+4,
882.500,6.56268359E+4,
883.00,7.15163516E+4,
883.500,5.97192852E+4,
884.00,6.65194219E+4,
884.500,5.52614883E+4,
885.00,5.94508945E+4,
885.500,5.47343672E+4,
886.00,4.73033125E+4,
886.500,4.29545469E+4,
887.00,3.42915391E+4,
887.500,3.60961953E+4,
888.00,2.78164180E+4,
888.500,3.67803711E+4,
889.00,2.96287773E+4,
889.500,2.88789570E+4,
890.00,2.45170977E+4,
890.500,2.25844727E+4,
891.00,1.90305898E+4,
891.500,2.21019277E+4,
892.00,3.40038711E+4,
892.500,1.52219805E+4,
893.00,2.11566113E+4,
893.500,2.29935371E+4,
894.00,2.14713906E+4,
894.500,2.58008320E+4,
895.00,2.04784023E+4,
895.500,3.27711836E+4,
896.00,2.66436602E+4,
896.500,1.93512891E+4,
897.00,2.51092383E+4,
897.500,2.01127578E+4,
898.00,1.54555176E+4,
898.500,0.00000000E+0,
899.00,1.24426973E+4,
899.500,1.20424951E+4,
900.00,2.49717891E+4,
