AD1-fit data

Labels,AD1,AD1F2,AD1F2R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,80.078125,80.078125,
Stop,1998.046900,1998.046900,1998.046900,
Step,1.9531250,1.9531250,1.9531250,
Fixed/Offset, , , ,
XAxis,Time(ns),Time,Time,
YAxis,Counts (a.u.),Counts (a.u.),Counts (a.u.),
Chi2,,1.0643170,,
dt,,,,
dtErr,,,,
A,,24.7810,,
Tau1,,83.62670,,
Tau2,,942.329940,,
Tau3,,,,
Tau4,,,,
B1,,22.713463,,
B2,,26.514709,,
B3,,,,
B4,,,,
Tau1Err,,21.589017,,
Tau2Err,,229.354310,,
Tau3Err,,,,
Tau4Err,,,,
B1Err,,2.9925151,,
B2Err,,1.3643286,,
B3Err,,,,
B4Err,,,,
TauAvInt,,881.661830,,
TauAvAmp,,546.131550,,
TauAvIntErr,,227.386830,,
TauAvAmpErr,,127.555640,,

0.00,0.00000000E+0, , ,
1.9531250,0.00000000E+0, , ,
3.906250,0.00000000E+0, , ,
5.8593750,0.00000000E+0, , ,
7.81250,0.00000000E+0, , ,
9.7656250,0.00000000E+0, , ,
11.718750,0.00000000E+0, , ,
13.671875,0.00000000E+0, , ,
15.6250,0.00000000E+0, , ,
17.578125,0.00000000E+0, , ,
19.531250,0.00000000E+0, , ,
21.484375,0.00000000E+0, , ,
23.43750,0.00000000E+0, , ,
25.390625,0.00000000E+0, , ,
27.343750,0.00000000E+0, , ,
29.296875,0.00000000E+0, , ,
31.250,0.00000000E+0, , ,
33.203125,0.00000000E+0, , ,
35.156250,0.00000000E+0, , ,
37.109375,0.00000000E+0, , ,
39.06250,0.00000000E+0, , ,
41.015625,2.60000000E+1, , ,
42.968750,3.60000000E+1, , ,
44.921875,2.20000000E+1, , ,
46.8750,3.50000000E+1, , ,
48.828125,3.00000000E+1, , ,
50.781250,3.40000000E+1, , ,
52.734375,3.20000000E+1, , ,
54.68750,3.00000000E+1, , ,
56.640625,3.10000000E+1, , ,
58.593750,2.30000000E+1, , ,
60.546875,2.50000000E+1, , ,
62.50,2.90000000E+1, , ,
64.453125,3.30000000E+1, , ,
66.406250,3.10000000E+1, , ,
68.359375,4.00000000E+1, , ,
70.31250,2.90000000E+1, , ,
72.265625,5.60000000E+1, , ,
