LN2 - 002		LN2 - 004		  LN2 - 001	
06/12_10:24:50	Time=82.000 sec	06/12_10:30:53	Time=82.000 sec	06/12_10:42:30	Time=82.000 sec
					
Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)
300.000000	26.532062	300.000000	33.161099	300.000000	15.618368
310.000000	5.308997	310.000000	12.540235	310.000000	5.865755
320.000000	3.021569	320.000000	4.577448	320.000000	3.118832
330.000000	2.650726	330.000000	3.395118	330.000000	2.080251
340.000000	1.283241	340.000000	1.685177	340.000000	1.519263
350.000000	1.025161	350.000000	1.669481	350.000000	1.750055
360.000000	2.194040	360.000000	2.276564	360.000000	2.353121
370.000000	1.693900	370.000000	2.010204	370.000000	2.094112
380.000000	1.941125	380.000000	2.581373	380.000000	2.469330
390.000000	1.413057	390.000000	1.696581	390.000000	1.778794
400.000000	1.196150	400.000000	1.648615	400.000000	1.515686
410.000000	1.139826	410.000000	1.760884	410.000000	1.739256
420.000000	1.253081	420.000000	1.537029	420.000000	1.403621
430.000000	1.077306	430.000000	1.442885	430.000000	1.544405
440.000000	1.128821	440.000000	1.382487	440.000000	1.353204
450.000000	1.039494	450.000000	1.414576	450.000000	1.357732
460.000000	1.036662	460.000000	1.412819	460.000000	1.340555
470.000000	1.134438	470.000000	1.410287	470.000000	1.425604
480.000000	1.032127	480.000000	1.225938	480.000000	1.281580
490.000000	1.010041	490.000000	1.320554	490.000000	1.254364
500.000000	0.975067	500.000000	1.222106	500.000000	1.147735
510.000000	0.941459	510.000000	1.317446	510.000000	1.253648
520.000000	1.040607	520.000000	1.240321	520.000000	1.147071
530.000000	1.059836	530.000000	1.180323	530.000000	1.242514
540.000000	1.021975	540.000000	1.276690	540.000000	1.133238
550.000000	1.190340	550.000000	1.380457	550.000000	1.178386
560.000000	1.198633	560.000000	1.424567	560.000000	1.121300
570.000000	1.359355	570.000000	1.546413	570.000000	1.135781
580.000000	1.512242	580.000000	1.793435	580.000000	1.141439
590.000000	1.925699	590.000000	2.157168	590.000000	1.165304
600.000000	2.296770	600.000000	2.454564	600.000000	1.309780
610.000000	2.763314	610.000000	2.770380	610.000000	1.460562
620.000000	3.344791	620.000000	3.440092	620.000000	1.482204
630.000000	3.905237	630.000000	4.247429	630.000000	1.616195
640.000000	4.760127	640.000000	4.940207	640.000000	1.868219
650.000000	5.549988	650.000000	5.604013	650.000000	2.052713
660.000000	6.400622	660.000000	6.593543	660.000000	2.328904
670.000000	7.360814	670.000000	7.363742	670.000000	2.450612
680.000000	8.215434	680.000000	8.367668	680.000000	3.109003
690.000000	8.962136	690.000000	9.157743	690.000000	3.345416
700.000000	9.909848	700.000000	10.100310	700.000000	3.834862
710.000000	10.792178	710.000000	10.946100	710.000000	4.035246
720.000000	11.446075	720.000000	11.495186	720.000000	4.378668
730.000000	12.319213	730.000000	12.421513	730.000000	4.694924
740.000000	13.078948	740.000000	13.083350	740.000000	5.013141
750.000000	13.781105	750.000000	13.752140	750.000000	5.551126
760.000000	14.300581	760.000000	14.412228	760.000000	5.779424
770.000000	15.147639	770.000000	15.316162	770.000000	6.183659
780.000000	18.829742	780.000000	18.785746	780.000000	8.337960
790.000000	29.666973	790.000000	29.576654	790.000000	16.924172
800.000000	48.842122	800.000000	48.071642	800.000000	35.527438
810.000000	65.370294	810.000000	64.510522	810.000000	54.679210
820.000000	72.835384	820.000000	71.478472	820.000000	66.968427
830.000000	73.380345	830.000000	71.949220	830.000000	69.700367
840.000000	72.567695	840.000000	71.615274	840.000000	71.318850
850.000000	71.918294	850.000000	71.060377	850.000000	72.294565
860.000000	71.341118	860.000000	70.988833	860.000000	72.359212
870.000000	71.505683	870.000000	71.533855	870.000000	72.600639
880.000000	72.531416	880.000000	73.009318	880.000000	73.249986
890.000000	73.266293	890.000000	74.082966	890.000000	73.304153
900.000000	74.614855	900.000000	75.594613	900.000000	74.078461
910.000000	75.964795	910.000000	77.041250	910.000000	74.650408
920.000000	77.653222	920.000000	78.568166	920.000000	75.686220
930.000000	79.676376	930.000000	80.280173	930.000000	76.778262
940.000000	81.118614	940.000000	81.866735	940.000000	77.299609
950.000000	82.504021	950.000000	83.060428	950.000000	77.750256
960.000000	83.736350	960.000000	84.197781	960.000000	77.967994
970.000000	84.672345	970.000000	84.635774	970.000000	77.730727
980.000000	85.247719	980.000000	84.942916	980.000000	77.649876
990.000000	85.344445	990.000000	84.730813	990.000000	77.084782
1000.000000	85.160804	1000.000000	84.170839	1000.000000	76.534362
1010.000000	84.601241	1010.000000	83.394294	1010.000000	76.110586
1020.000000	83.603365	1020.000000	82.449408	1020.000000	75.519248
1030.000000	82.728663	1030.000000	81.430426	1030.000000	75.540291
1040.000000	81.934879	1040.000000	80.513088	1040.000000	75.797858
1050.000000	81.260560	1050.000000	79.773707	1050.000000	76.138437
1060.000000	80.422539	1060.000000	78.503677	1060.000000	76.555600
1070.000000	78.683868	1070.000000	77.813549	1070.000000	77.579044
1080.000000	76.837007	1080.000000	74.680476	1080.000000	76.053725
1090.000000	76.305144	1090.000000	77.093185	1090.000000	78.593673
1100.000000	69.589040	1100.000000	72.540415	1100.000000	74.096006
