001		  002		003		 004		  005		  006		  007		  008		  009		 010		  011		011-2		012		013		 014		015		 016		017		 018	
06/12_11:42:48	Time=83.000 sec	06/12_11:45:03	Time=82.000 sec	06/12_11:47:13	Time=82.000 sec	06/12_11:49:17	Time=83.000 sec	06/12_11:51:30	Time=83.000 sec	06/12_11:53:38	Time=82.000 sec	06/12_12:01:16	Time=83.000 sec	06/12_12:04:23	Time=83.000 sec	06/12_12:06:24	Time=83.000 sec	06/12_12:09:11	Time=82.000 sec	06/12_12:12:15	Time=82.000 sec	06/12_12:13:58	Time=82.000 sec	06/12_12:16:20	Time=82.000 sec	06/12_12:18:34	Time=82.000 sec	06/12_12:20:58	Time=82.000 sec	06/12_12:23:34	Time=82.000 sec	06/12_12:25:41	Time=82.000 sec	06/12_12:28:38	Time=83.000 sec	06/12_12:30:46	Time=82.000 sec
																																					
Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)
300.000000	10.926895	300.000000	9.166027	300.000000	10.740863	300.000000	5.263139	300.000000	35.805459	300.000000	38.025081	300.000000	8.133966	300.000000	38.896500	300.000000	22.398787	300.000000	58.921999	300.000000	50.613294	300.000000	61.192653	300.000000	20.110033	300.000000	42.976206	300.000000	47.292914	300.000000	61.865530	300.000000	76.089051	300.000000	33.272209	300.000000	37.964183
310.000000	4.146459	310.000000	0.330079	310.000000	1.655141	310.000000	3.873220	310.000000	5.585036	310.000000	6.388041	310.000000	6.798357	310.000000	8.707277	310.000000	8.620588	310.000000	22.048019	310.000000	39.935785	310.000000	37.702478	310.000000	7.676720	310.000000	33.478946	310.000000	40.501656	310.000000	45.311324	310.000000	45.071436	310.000000	20.946153	310.000000	6.184531
320.000000	3.619910	320.000000	2.077788	320.000000	1.743480	320.000000	3.071768	320.000000	3.371266	320.000000	3.519240	320.000000	2.366337	320.000000	5.384408	320.000000	3.850936	320.000000	18.856976	320.000000	35.326650	320.000000	34.846008	320.000000	3.379766	320.000000	27.970708	320.000000	39.358905	320.000000	42.629044	320.000000	38.447835	320.000000	18.353815	320.000000	5.711070
330.000000	1.847053	330.000000	0.051993	330.000000	0.643530	330.000000	2.894473	330.000000	2.456554	330.000000	2.510773	330.000000	2.348893	330.000000	2.644098	330.000000	2.570374	330.000000	19.298660	330.000000	35.113698	330.000000	34.774258	330.000000	3.720041	330.000000	29.742766	330.000000	40.695299	330.000000	42.667821	330.000000	40.459894	330.000000	19.101177	330.000000	4.619714
340.000000	1.234814	340.000000	0.446425	340.000000	0.992027	340.000000	1.439284	340.000000	2.613160	340.000000	1.737175	340.000000	1.748460	340.000000	2.010358	340.000000	1.899539	340.000000	19.372510	340.000000	34.826664	340.000000	33.928718	340.000000	2.437703	340.000000	29.895458	340.000000	40.729063	340.000000	42.604220	340.000000	40.357916	340.000000	18.791068	340.000000	3.549793
350.000000	0.935205	350.000000	0.671334	350.000000	1.119755	350.000000	1.418744	350.000000	1.844989	350.000000	2.125683	350.000000	1.399459	350.000000	2.547704	350.000000	1.718314	350.000000	21.127383	350.000000	33.735553	350.000000	33.903770	350.000000	2.544642	350.000000	29.652468	350.000000	40.977554	350.000000	42.959703	350.000000	40.877989	350.000000	19.194836	350.000000	3.653239
360.000000	1.268814	360.000000	0.954366	360.000000	1.341187	360.000000	1.947311	360.000000	2.503173	360.000000	2.855963	360.000000	2.237307	360.000000	2.594215	360.000000	2.315674	360.000000	22.187318	360.000000	34.127933	360.000000	34.189826	360.000000	2.715879	360.000000	29.922772	360.000000	41.735377	360.000000	42.538708	360.000000	41.675209	360.000000	19.892243	360.000000	3.974477
